Date,Low,Open,Volume,High,Close,Adjusted Close
15-04-1994,19.0,19.25,549900,19.625,19.5,2.5147132873535156
18-04-1994,19.25,19.625,21100,19.625,19.25,2.482473373413086
19-04-1994,19.0,19.25,47600,19.25,19.25,2.482473373413086
20-04-1994,19.0,19.0,11600,19.125,19.125,2.46635365486145
21-04-1994,19.0,19.125,16300,19.125,19.0,2.4502344131469727
22-04-1994,19.0,19.0,13400,19.125,19.0,2.4502344131469727
25-04-1994,19.0,19.0,21700,19.125,19.125,2.46635365486145
26-04-1994,19.0,19.0,22500,19.125,19.0,2.4502344131469727
28-04-1994,19.0,19.125,15300,19.125,19.0,2.4502344131469727
29-04-1994,19.0,19.0,15300,19.125,19.0,2.4502344131469727
02-05-1994,19.0,19.0,12900,19.125,19.0,2.4502344131469727
03-05-1994,19.0,19.125,42800,19.125,19.0,2.4502344131469727
04-05-1994,19.0,19.125,6400,19.125,19.0,2.4502344131469727
05-05-1994,19.0,19.0,13900,19.125,19.125,2.46635365486145
06-05-1994,19.0,19.0,56200,19.125,19.0,2.4502344131469727
09-05-1994,18.5,19.0,53100,19.0,18.875,2.4341142177581787
10-05-1994,18.75,18.875,1100,18.875,18.75,2.4179954528808594
11-05-1994,18.75,18.75,1000,18.75,18.75,2.4179954528808594
12-05-1994,18.125,18.5,4300,18.625,18.125,2.337395668029785
13-05-1994,17.125,18.0,61400,18.0,17.75,2.2890353202819824
16-05-1994,17.875,17.875,11400,18.5,18.0,2.3212742805480957
17-05-1994,18.0,18.25,5200,18.375,18.25,2.353515386581421
18-05-1994,18.25,18.25,3900,18.5,18.5,2.3857545852661133
19-05-1994,18.375,18.5,4900,18.5,18.375,2.3696353435516357
20-05-1994,18.0,18.25,16600,18.5,18.5,2.3857545852661133
23-05-1994,18.25,18.5,2400,18.5,18.5,2.3857545852661133
24-05-1994,18.0,18.25,5300,18.375,18.125,2.337395668029785
25-05-1994,18.0,18.125,4800,18.375,18.0,2.3212742805480957
26-05-1994,18.125,18.25,9000,18.375,18.125,2.337395668029785
27-05-1994,18.0,18.125,13200,18.125,18.0,2.3212742805480957
31-05-1994,18.0,18.0,18300,18.125,18.125,2.337395668029785
01-06-1994,18.0,18.125,5700,18.375,18.125,2.337395668029785
02-06-1994,18.125,18.375,5300,18.5,18.5,2.3857545852661133
03-06-1994,18.25,18.25,6800,18.5,18.5,2.3857545852661133
06-06-1994,18.375,18.375,5000,18.875,18.5,2.3857545852661133
07-06-1994,17.875,18.5,8800,18.5,17.875,2.3051536083221436
08-06-1994,18.125,18.125,3100,18.625,18.625,2.401874303817749
09-06-1994,18.375,18.625,7200,18.75,18.75,2.4179954528808594
10-06-1994,18.5,18.5,8300,19.0,18.625,2.401874303817749
13-06-1994,18.5,18.625,3000,18.625,18.5,2.3857545852661133
14-06-1994,18.25,18.375,10000,18.375,18.375,2.3696353435516357
15-06-1994,18.125,18.375,5000,18.375,18.25,2.353515386581421
16-06-1994,18.25,18.375,3900,18.625,18.625,2.401874303817749
17-06-1994,18.375,18.375,8400,18.625,18.5,2.3857545852661133
20-06-1994,18.0,18.25,12800,18.25,18.25,2.4121901988983154
21-06-1994,18.25,18.25,6900,18.25,18.25,2.4121901988983154
22-06-1994,18.25,18.25,3700,18.75,18.625,2.4617550373077393
23-06-1994,18.625,18.625,4500,19.125,19.0,2.5113205909729004
24-06-1994,18.625,19.25,10800,19.25,18.75,2.4782779216766357
27-06-1994,18.25,18.75,6600,18.75,18.25,2.4121901988983154
28-06-1994,18.125,18.125,4700,18.75,18.75,2.4782779216766357
29-06-1994,18.375,18.5,2000,18.5,18.5,2.4452333450317383
30-06-1994,18.0,18.5,5500,18.625,18.25,2.4121901988983154
01-07-1994,18.25,18.25,30100,18.25,18.25,2.4121901988983154
05-07-1994,18.125,18.125,900,18.25,18.125,2.3956685066223145
06-07-1994,18.125,18.125,0,18.125,18.125,2.3956685066223145
07-07-1994,17.875,18.375,31200,18.375,18.125,2.3956685066223145
08-07-1994,17.75,17.875,2600,18.0,17.75,2.346102237701416
11-07-1994,17.75,18.0,2200,18.125,18.125,2.3956685066223145
12-07-1994,18.0,18.0,10600,18.25,18.25,2.4121901988983154
13-07-1994,18.0,18.0,8200,18.25,18.25,2.4121901988983154
14-07-1994,17.875,18.0,1500,18.25,18.25,2.4121901988983154
15-07-1994,17.875,18.125,2700,18.125,18.0,2.379145622253418
18-07-1994,17.625,17.75,2100,18.0,17.875,2.3626232147216797
19-07-1994,17.875,17.875,1500,17.875,17.875,2.3626232147216797
20-07-1994,17.5,18.0,3900,18.0,17.75,2.346102237701416
21-07-1994,17.375,17.75,1700,17.75,17.375,2.2965362071990967
22-07-1994,17.25,17.25,4500,17.375,17.375,2.2965362071990967
25-07-1994,17.0,17.375,2800,17.375,17.0,2.2469708919525146
26-07-1994,16.625,17.0,3300,17.0,16.875,2.2304494380950928
27-07-1994,16.25,16.875,16400,16.875,16.75,2.2139275074005127
28-07-1994,16.5,16.75,7100,16.75,16.75,2.2139275074005127
29-07-1994,16.25,16.75,26300,16.75,16.375,2.1643619537353516
01-08-1994,16.375,16.375,13100,17.125,17.125,2.2634928226470947
02-08-1994,16.625,17.125,7100,17.125,17.0,2.2469708919525146
03-08-1994,17.25,17.25,4900,17.5,17.5,2.3130581378936768
04-08-1994,17.25,17.5,5500,17.5,17.25,2.280014991760254
05-08-1994,17.5,17.5,8200,17.875,17.75,2.346102237701416
08-08-1994,17.75,17.75,700,18.0,18.0,2.379145622253418
09-08-1994,17.375,17.75,7200,17.875,17.625,2.329580545425415
10-08-1994,17.625,17.875,3500,17.875,17.625,2.329580545425415
11-08-1994,17.625,17.75,3200,17.875,17.875,2.3626232147216797
12-08-1994,17.75,17.875,2100,17.875,17.875,2.3626232147216797
15-08-1994,17.625,17.75,3600,17.875,17.625,2.329580545425415
16-08-1994,17.625,17.875,5100,18.0,17.75,2.346102237701416
17-08-1994,17.75,17.75,18000,18.0,17.75,2.346102237701416
18-08-1994,17.625,17.625,2000,17.875,17.625,2.329580545425415
19-08-1994,17.75,17.75,2000,17.75,17.75,2.346102237701416
22-08-1994,17.5,17.75,4400,17.75,17.5,2.3130581378936768
23-08-1994,17.375,17.5,6400,17.625,17.625,2.329580545425415
24-08-1994,17.0,17.375,7500,17.375,17.0,2.2469708919525146
25-08-1994,16.875,17.25,3500,17.375,16.875,2.2304494380950928
26-08-1994,17.125,17.125,1100,17.375,17.25,2.280014991760254
29-08-1994,17.25,17.5,5600,17.5,17.25,2.280014991760254
30-08-1994,17.0,17.0,52800,17.375,17.375,2.2965362071990967
31-08-1994,16.875,17.0,15400,17.25,17.25,2.280014991760254
01-09-1994,17.25,17.375,3300,17.5,17.5,2.3130581378936768
02-09-1994,17.625,17.625,4100,17.875,17.75,2.346102237701416
06-09-1994,17.5,17.875,7400,17.875,17.5,2.3130581378936768
07-09-1994,17.5,17.625,6800,17.75,17.75,2.346102237701416
08-09-1994,17.5,17.75,5700,17.75,17.75,2.346102237701416
09-09-1994,17.625,17.625,5900,17.75,17.75,2.346102237701416
12-09-1994,17.5,17.625,10500,17.625,17.625,2.329580545425415
13-09-1994,17.0,17.5,29400,17.5,17.0,2.2469708919525146
14-09-1994,17.25,17.25,1500,17.25,17.25,2.280014991760254
15-09-1994,17.25,17.375,4400,17.5,17.5,2.3130581378936768
16-09-1994,17.0,17.5,34000,17.5,17.0,2.2469708919525146
19-09-1994,16.875,17.0,3700,17.0,17.0,2.2469708919525146
20-09-1994,16.75,17.0,6800,17.0,17.0,2.2469708919525146
21-09-1994,16.875,17.0,4400,17.0,17.0,2.2469708919525146
22-09-1994,16.75,17.0,8800,17.0,16.875,2.2304494380950928
23-09-1994,16.875,17.0,8200,17.125,17.0,2.2469708919525146
26-09-1994,16.5,16.75,3900,16.875,16.5,2.240183115005493
27-09-1994,16.5,16.5,15200,16.75,16.75,2.274125099182129
28-09-1994,16.5,16.75,8900,16.875,16.5,2.240183115005493
29-09-1994,16.375,16.625,600,16.625,16.375,2.2232120037078857
30-09-1994,16.125,16.125,5200,16.375,16.375,2.2232120037078857
03-10-1994,16.25,16.375,57900,16.375,16.375,2.2232120037078857
04-10-1994,16.125,16.375,2400,16.375,16.375,2.2232120037078857
05-10-1994,15.625,16.375,18300,16.375,16.0,2.1722984313964844
06-10-1994,16.0,16.0,18500,16.25,16.25,2.2062413692474365
07-10-1994,15.75,16.25,9000,16.25,16.125,2.189270257949829
10-10-1994,15.875,16.125,3100,16.125,15.875,2.155327796936035
11-10-1994,15.75,15.75,3300,16.0,16.0,2.1722984313964844
12-10-1994,16.0,16.125,9400,16.125,16.125,2.189270257949829
13-10-1994,16.0,16.25,7300,16.25,16.25,2.2062413692474365
14-10-1994,16.125,16.125,9000,16.25,16.25,2.2062413692474365
17-10-1994,16.25,16.25,5000,16.375,16.375,2.2232120037078857
18-10-1994,16.25,16.25,6300,16.375,16.375,2.2232120037078857
19-10-1994,16.0,16.125,10200,16.25,16.125,2.189270257949829
20-10-1994,15.875,16.0,7500,16.125,15.875,2.155327796936035
21-10-1994,15.875,15.875,5600,16.0,16.0,2.1722984313964844
24-10-1994,15.75,15.75,1800,16.0,15.75,2.1383557319641113
25-10-1994,15.625,15.875,3100,15.875,15.875,2.155327796936035
26-10-1994,15.75,15.875,1400,15.875,15.875,2.155327796936035
27-10-1994,15.5,15.625,2100,15.875,15.875,2.155327796936035
28-10-1994,15.5,15.625,5200,15.875,15.5,2.1044137477874756
31-10-1994,15.5,15.5,1100,15.875,15.625,2.121384859085083
01-11-1994,15.625,15.625,4100,16.0,16.0,2.1722984313964844
02-11-1994,15.875,16.0,2500,16.0,16.0,2.1722984313964844
03-11-1994,15.875,16.0,4300,16.0,16.0,2.1722984313964844
04-11-1994,15.875,15.875,23900,16.125,16.0,2.1722984313964844
07-11-1994,16.0,16.0,2000,16.125,16.0,2.1722984313964844
08-11-1994,15.875,16.25,4500,16.25,15.875,2.155327796936035
09-11-1994,15.875,15.875,6000,16.125,16.0,2.1722984313964844
10-11-1994,15.875,16.125,1800,16.125,15.875,2.155327796936035
11-11-1994,15.75,16.125,4800,16.125,16.0,2.1722984313964844
14-11-1994,15.875,16.125,4000,16.125,16.0,2.1722984313964844
15-11-1994,15.875,16.125,6100,16.125,16.125,2.189270257949829
16-11-1994,15.75,16.125,12600,16.125,15.875,2.155327796936035
17-11-1994,15.875,16.125,6900,16.125,16.0,2.1722984313964844
18-11-1994,15.75,16.125,6000,16.125,15.75,2.1383557319641113
21-11-1994,15.625,15.875,13200,16.0,15.875,2.155327796936035
22-11-1994,15.625,15.875,8600,15.875,15.625,2.121384859085083
23-11-1994,15.5,15.625,9600,15.75,15.75,2.1383557319641113
25-11-1994,15.875,15.875,1000,15.875,15.875,2.155327796936035
28-11-1994,15.75,15.75,7700,16.0,16.0,2.1722984313964844
29-11-1994,16.0,16.0,5800,16.125,16.0,2.1722984313964844
30-11-1994,16.0,16.125,2300,16.125,16.0,2.1722984313964844
01-12-1994,16.0,16.125,5200,16.125,16.125,2.189270257949829
02-12-1994,15.875,16.125,3500,16.125,16.125,2.189270257949829
05-12-1994,16.0,16.125,12700,16.125,16.0,2.1722984313964844
06-12-1994,15.75,16.125,6300,16.125,15.875,2.155327796936035
07-12-1994,15.625,16.0,5700,16.0,15.75,2.1383557319641113
08-12-1994,15.625,15.875,2600,16.0,16.0,2.1722984313964844
09-12-1994,15.875,16.0,5000,16.125,16.125,2.189270257949829
12-12-1994,16.0,16.125,2000,16.125,16.0,2.1722984313964844
13-12-1994,15.75,15.875,4900,16.0,15.75,2.1383557319641113
14-12-1994,15.625,15.625,3700,15.875,15.75,2.1383557319641113
15-12-1994,15.625,15.875,7500,15.875,15.75,2.1383557319641113
16-12-1994,15.5,15.625,10500,15.875,15.625,2.121384859085083
19-12-1994,15.375,15.75,4700,15.75,15.75,2.1383557319641113
20-12-1994,15.5,15.5,4000,15.875,15.875,2.155327796936035
21-12-1994,15.5,15.625,6800,15.75,15.5,2.1044137477874756
22-12-1994,15.5,15.5,7800,15.75,15.75,2.1383557319641113
23-12-1994,15.0,15.125,11800,15.375,15.0,2.0964279174804688
27-12-1994,15.0,15.125,2900,15.125,15.125,2.113898515701294
28-12-1994,14.75,15.25,11700,15.25,14.75,2.0614867210388184
29-12-1994,14.625,14.625,7800,15.5,15.5,2.166308879852295
30-12-1994,15.375,15.625,5700,15.625,15.5,2.166308879852295
03-01-1995,15.5,15.5,1500,15.625,15.625,2.1837785243988037
04-01-1995,15.5,15.625,400,15.625,15.5,2.166308879852295
05-01-1995,15.5,15.625,3900,15.625,15.625,2.1837785243988037
06-01-1995,15.5,15.5,500,15.5,15.5,2.166308879852295
09-01-1995,15.375,15.625,4800,15.625,15.625,2.1837785243988037
10-01-1995,15.625,15.625,2900,15.625,15.625,2.1837785243988037
11-01-1995,15.625,15.75,7300,15.75,15.625,2.1837785243988037
