Date,Low,Open,Volume,High,Close,Adjusted Close
02-01-1970,30.125,0.0,10300,31.0,30.625,0.957312285900116
05-01-1970,30.25,30.625,17600,31.0,31.0,0.9690350890159607
06-01-1970,30.75,31.0,14000,31.25,30.75,0.961220383644104
07-01-1970,30.5,30.75,7700,30.875,30.875,0.9651271104812622
08-01-1970,30.5,30.75,16300,30.75,30.5,0.9534051418304443
09-01-1970,30.375,30.5,16800,30.875,30.75,0.961220383644104
12-01-1970,30.25,30.625,11700,30.625,30.5,0.9534051418304443
13-01-1970,29.625,30.5,15900,30.5,29.625,0.926052987575531
14-01-1970,29.125,29.625,37800,29.75,29.625,0.926052987575531
15-01-1970,29.25,29.625,23500,29.625,29.5,0.9221458435058594
16-01-1970,29.375,29.5,23300,30.0,29.375,0.9182386994361877
19-01-1970,29.5,29.5,12600,30.125,29.875,0.9338682889938354
20-01-1970,29.25,29.875,19800,29.875,29.25,0.9143314957618713
21-01-1970,29.25,29.25,22400,30.125,29.625,0.926052987575531
22-01-1970,29.75,29.75,25300,30.625,30.5,0.9534051418304443
23-01-1970,29.25,30.5,11900,30.5,29.25,0.9143314957618713
26-01-1970,29.125,29.25,12000,29.625,29.125,0.9104229807853699
27-01-1970,28.625,29.0,12700,29.0,28.875,0.9026095271110535
28-01-1970,28.125,28.875,26700,28.875,28.375,0.8869788646697998
29-01-1970,27.625,28.375,26100,28.375,28.125,0.8791645765304565
30-01-1970,27.75,28.125,15200,28.25,27.75,0.8674426674842834
02-02-1970,28.125,28.125,27200,28.875,28.25,0.8830719590187073
03-02-1970,27.625,28.25,23600,28.5,28.375,0.8869788646697998
04-02-1970,27.875,28.375,21300,28.625,28.25,0.8960190415382385
05-02-1970,27.875,28.25,13100,28.25,28.0,0.888089656829834
06-02-1970,28.125,28.125,15200,28.75,28.25,0.8960190415382385
09-02-1970,28.125,28.25,15300,29.0,28.125,0.8920534253120422
10-02-1970,27.5,28.125,36400,28.125,27.75,0.8801604509353638
11-02-1970,27.25,27.75,24400,27.875,27.875,0.8841251134872437
12-02-1970,27.625,27.875,17500,27.875,27.875,0.8841251134872437
13-02-1970,27.625,27.875,27700,28.0,28.0,0.888089656829834
16-02-1970,27.25,28.0,22700,28.375,27.25,0.8643009662628174
17-02-1970,27.125,27.25,22600,27.875,27.375,0.8682665228843689
18-02-1970,27.5,27.5,16800,28.25,28.25,0.8960190415382385
19-02-1970,28.0,28.25,17900,28.5,28.0,0.888089656829834
20-02-1970,27.75,28.0,13000,28.25,28.25,0.8960190415382385
24-02-1970,28.0,28.25,18000,28.625,28.0,0.888089656829834
25-02-1970,28.375,28.375,21700,30.125,29.875,0.9475603103637695
26-02-1970,29.375,29.875,28200,30.0,29.75,0.943595290184021
27-02-1970,30.0,30.0,22100,30.5,30.125,0.9554895758628845
02-03-1970,30.125,30.125,26600,31.5,31.375,0.9951364398002625
03-03-1970,30.875,31.375,18300,31.625,31.125,0.9872066378593445
04-03-1970,31.0,31.125,23800,31.75,31.375,0.9951364398002625
05-03-1970,30.875,31.375,45700,31.625,31.0,0.9832417964935303
06-03-1970,30.25,31.0,22000,31.25,30.25,0.9594539999961853
09-03-1970,30.25,30.25,14200,30.625,30.25,0.9594539999961853
