Date,Low,Open,Volume,High,Close,Adjusted Close
07-07-1994,9.0,9.0,572400,9.375,9.3125,3.0224125385284424
08-07-1994,9.1875,9.4375,109200,9.4375,9.1875,2.9818432331085205
11-07-1994,9.0,9.125,149200,9.125,9.0,2.9209887981414795
12-07-1994,9.0,9.125,72400,9.125,9.125,2.961557388305664
13-07-1994,9.0625,9.125,192000,9.1875,9.1875,2.9818432331085205
14-07-1994,9.125,9.125,106800,9.3125,9.25,3.002126455307007
15-07-1994,9.0625,9.125,151400,9.1875,9.0625,2.9412732124328613
18-07-1994,9.0625,9.0625,62800,9.1875,9.0625,2.9412732124328613
19-07-1994,9.0625,9.125,49800,9.1875,9.125,2.961557388305664
20-07-1994,9.0,9.125,212200,9.125,9.0625,2.9412732124328613
21-07-1994,9.0,9.0,18800,9.0625,9.0,2.9209887981414795
22-07-1994,9.0,9.0625,194600,9.0625,9.0,2.9209887981414795
25-07-1994,9.0,9.0,77800,9.0,9.0,2.9209887981414795
26-07-1994,8.9375,8.9375,24000,9.0,8.9375,2.9091079235076904
27-07-1994,9.0,9.0,11200,9.0,9.0,2.9294519424438477
28-07-1994,9.0625,9.0625,198600,9.25,9.0625,2.9497945308685303
29-07-1994,9.1875,9.1875,270800,9.3125,9.25,3.01082444190979
01-08-1994,9.1875,9.25,220600,9.375,9.375,3.0515124797821045
02-08-1994,9.375,9.375,174400,9.6875,9.5,3.0921971797943115
03-08-1994,9.5625,9.5625,278600,9.875,9.6875,3.153228282928467
04-08-1994,9.6875,9.75,121000,9.875,9.75,3.173572301864624
05-08-1994,9.625,9.75,134400,9.75,9.6875,3.153228282928467
08-08-1994,9.6875,9.6875,88400,9.875,9.875,3.2142603397369385
09-08-1994,9.625,9.875,521800,10.0,9.75,3.173572301864624
10-08-1994,9.625,9.8125,323200,10.125,10.125,3.2956326007843018
11-08-1994,10.1875,10.25,359000,10.75,10.3125,3.356663465499878
12-08-1994,10.375,10.375,100000,10.875,10.875,3.5397534370422363
15-08-1994,10.875,11.125,53400,11.125,11.125,3.621126890182495
16-08-1994,11.0,11.25,181800,11.25,11.125,3.621126890182495
17-08-1994,11.1875,11.1875,230600,11.625,11.4375,3.7228446006774902
18-08-1994,11.5,11.5,131200,11.8125,11.8125,3.8449044227600098
19-08-1994,11.75,11.75,212400,12.75,12.75,4.150055885314941
22-08-1994,11.9375,12.875,215200,13.25,12.25,3.987307071685791
