Date,Low,Open,Volume,High,Close,Adjusted Close
17-11-1975,7.5,0.0,1300,7.5,7.5,1.9632853269577026
18-11-1975,7.5,0.0,200,7.5,7.5,1.9632853269577026
19-11-1975,7.5,0.0,1100,7.5,7.5,1.9632853269577026
20-11-1975,7.5,0.0,900,7.5,7.5,1.9632853269577026
21-11-1975,7.5,0.0,400,7.5,7.5,1.9632853269577026
24-11-1975,7.5,0.0,2700,7.5,7.5,1.9632853269577026
25-11-1975,7.5,0.0,5100,7.5,7.5,1.9632853269577026
26-11-1975,7.5,0.0,900,7.5,7.5,1.9632853269577026
28-11-1975,7.5,0.0,800,7.5,7.5,1.9632853269577026
01-12-1975,7.375,0.0,15400,7.375,7.375,1.93056321144104
02-12-1975,7.375,0.0,8200,7.375,7.375,1.93056321144104
03-12-1975,7.375,0.0,6300,7.375,7.375,1.93056321144104
04-12-1975,7.375,0.0,400,7.375,7.375,1.93056321144104
05-12-1975,7.375,0.0,3100,7.375,7.375,1.93056321144104
08-12-1975,7.375,0.0,2600,7.375,7.375,1.93056321144104
09-12-1975,7.375,0.0,11200,7.375,7.375,1.93056321144104
10-12-1975,7.375,0.0,1800,7.375,7.375,1.93056321144104
11-12-1975,7.375,0.0,700,7.375,7.375,1.93056321144104
12-12-1975,7.375,0.0,1100,7.375,7.375,1.93056321144104
15-12-1975,7.375,0.0,5000,7.375,7.375,1.93056321144104
16-12-1975,7.5,0.0,3100,7.5,7.5,1.9632853269577026
17-12-1975,7.375,0.0,1200,7.375,7.375,1.93056321144104
18-12-1975,7.375,0.0,4600,7.375,7.375,1.93056321144104
19-12-1975,7.25,0.0,1300,7.25,7.25,1.8978403806686401
22-12-1975,7.25,0.0,1200,7.25,7.25,1.8978403806686401
23-12-1975,7.25,0.0,9100,7.25,7.25,1.8978403806686401
24-12-1975,7.25,7.25,0,7.25,7.25,1.8978403806686401
26-12-1975,7.25,0.0,1900,7.25,7.25,1.8978403806686401
29-12-1975,7.25,0.0,8700,7.25,7.25,1.8978403806686401
30-12-1975,7.125,0.0,200,7.125,7.125,1.8651204109191895
