Date,Low,Open,Volume,High,Close,Adjusted Close
17-08-1999,4.46875,4.546875,13010400,4.765625,4.703125,0.869601309299469
18-08-1999,4.6875,4.734375,427600,4.734375,4.6875,0.8667122721672058
19-08-1999,4.671875,4.75,185200,4.75,4.6875,0.8667122721672058
20-08-1999,4.6875,4.6875,521200,4.71875,4.71875,0.8724905252456665
23-08-1999,4.65625,4.71875,470000,4.71875,4.65625,0.8609344363212585
24-08-1999,4.625,4.65625,942000,4.6875,4.625,0.8551562428474426
25-08-1999,4.375,4.625,635600,4.640625,4.453125,0.8233768343925476
26-08-1999,4.40625,4.4375,333600,4.453125,4.4375,0.8204877376556396
27-08-1999,4.3125,4.40625,330800,4.40625,4.3125,0.7973752617835999
30-08-1999,4.15625,4.3125,634400,4.328125,4.15625,0.7684848308563232
31-08-1999,4.15625,4.15625,282400,4.21875,4.15625,0.7684848308563232
01-09-1999,4.0,4.234375,584400,4.25,4.0,0.7395944595336914
02-09-1999,3.8125,4.015625,837200,4.015625,3.859375,0.7135933637619019
03-09-1999,3.84375,3.875,504000,3.953125,3.953125,0.7309274077415466
07-09-1999,3.75,3.96875,684400,3.96875,3.75,0.6933698654174805
08-09-1999,3.75,3.78125,566400,3.921875,3.890625,0.719371497631073
09-09-1999,3.625,3.96875,1126800,3.96875,3.6875,0.6818137168884277
10-09-1999,3.65625,3.71875,855200,4.0,3.90625,0.7222601175308228
13-09-1999,3.75,3.9375,858000,4.0,3.75,0.6933698654174805
14-09-1999,3.671875,3.789062976837158,927600,3.828125,3.6875,0.6818137168884277
15-09-1999,3.625,3.71875,954800,3.75,3.65625,0.6760357618331909
16-09-1999,3.5625,3.625,636000,3.71875,3.6875,0.6818137168884277
17-09-1999,3.6875,3.71875,596000,3.765625,3.75,0.6933698654174805
20-09-1999,3.59375,3.734375,948800,3.765625,3.59375,0.6644794344902039
21-09-1999,3.5,3.625,850000,3.625,3.515625,0.6500339508056641
22-09-1999,3.375,3.53125,1877600,3.5625,3.46875,0.6413666605949402
23-09-1999,3.382812976837158,3.46875,940000,3.5,3.4375,0.6355888843536377
24-09-1999,3.40625,3.421875,386400,3.53125,3.5,0.6471449732780457
27-09-1999,3.4375,3.53125,846400,3.5625,3.5,0.6471449732780457
28-09-1999,3.421875,3.46875,490400,3.515625,3.5,0.6471449732780457
29-09-1999,3.46875,3.5,861600,3.625,3.53125,0.6529233455657959
30-09-1999,3.5,3.546875,465200,3.625,3.59375,0.6644794344902039
01-10-1999,3.40625,3.59375,677200,3.59375,3.40625,0.6298110485076904
04-10-1999,3.3125,3.40625,462800,3.46875,3.34375,0.6182546615600586
