Date,Low,Open,Volume,High,Close,Adjusted Close
28-06-2000,12.3125,12.5,2326700,12.5,12.3125,7.167792320251465
29-06-2000,12.125,12.125,372500,12.25,12.25,7.131410121917725
30-06-2000,12.1875,12.1875,213100,12.75,12.75,7.422488212585449
03-07-2000,12.5,12.75,47300,12.75,12.625,7.349714756011963
05-07-2000,12.5,12.5,90500,12.625,12.5625,7.313333511352539
06-07-2000,12.4375,12.5,176000,12.75,12.625,7.349714756011963
07-07-2000,12.5,12.5,130500,12.875,12.8125,7.458874702453613
10-07-2000,12.75,12.75,95500,12.9375,12.875,7.495255470275879
11-07-2000,12.625,12.75,64400,12.75,12.625,7.349714756011963
12-07-2000,12.625,12.625,81500,12.9375,12.9375,7.531641483306885
13-07-2000,12.875,12.875,43700,12.875,12.875,7.495255470275879
14-07-2000,12.8125,12.8125,62900,12.9375,12.875,7.495255470275879
17-07-2000,12.75,12.875,50900,12.875,12.8125,7.458874702453613
18-07-2000,12.625,12.6875,13800,12.8125,12.75,7.422488212585449
19-07-2000,12.5625,12.75,48300,12.75,12.5625,7.313333511352539
20-07-2000,12.625,12.6875,17100,12.6875,12.6875,7.386101245880127
21-07-2000,12.625,12.625,37400,12.75,12.75,7.422488212585449
24-07-2000,12.625,12.75,47400,12.75,12.6875,7.386101245880127
25-07-2000,12.5,12.625,11800,12.625,12.5625,7.313333511352539
26-07-2000,12.5625,12.625,48400,12.6875,12.6875,7.386101245880127
27-07-2000,12.625,12.6875,60500,12.8125,12.8125,7.458874702453613
28-07-2000,12.625,12.75,36000,12.8125,12.625,7.349714756011963
31-07-2000,12.5625,12.625,27000,12.625,12.5625,7.313333511352539
01-08-2000,12.5625,12.5625,38800,12.6875,12.625,7.349714756011963
02-08-2000,12.625,12.6875,45800,12.75,12.75,7.422488212585449
03-08-2000,12.625,12.625,64500,12.75,12.75,7.422488212585449
04-08-2000,12.6875,12.6875,241500,13.0,13.0,7.568027496337891
07-08-2000,13.0,13.0,218700,13.5,13.375,7.786335468292236
08-08-2000,13.3125,13.3125,60300,13.75,13.75,8.004644393920898
09-08-2000,13.6875,13.875,15300,13.875,13.6875,7.968255519866943
10-08-2000,13.5,13.6875,15200,13.6875,13.5,7.859102725982666
11-08-2000,13.6875,13.6875,20100,14.0,13.75,8.004644393920898
14-08-2000,13.875,13.875,23000,14.0,14.0,8.150182723999023
15-08-2000,13.9375,13.9375,31500,14.0,13.9375,8.113801956176758
16-08-2000,13.9375,14.0,24500,14.0,13.9375,8.113801956176758
17-08-2000,14.0,14.0,48900,14.4375,14.3125,8.332107543945312
18-08-2000,14.25,14.25,49100,14.4375,14.25,8.295717239379883
21-08-2000,14.3125,14.375,7000,14.375,14.3125,8.332107543945312
22-08-2000,14.3125,14.375,45100,14.5,14.5,8.441258430480957
23-08-2000,14.5,14.5,8800,14.625,14.5625,8.477645874023438
24-08-2000,14.75,14.75,36300,15.0,14.875,8.659565925598145
25-08-2000,14.875,14.875,5300,14.875,14.875,8.659565925598145
28-08-2000,14.75,14.875,9800,14.875,14.875,8.659565925598145
29-08-2000,14.875,14.875,19800,14.875,14.875,8.659565925598145
30-08-2000,14.6875,14.75,8000,14.75,14.6875,8.550414085388184
31-08-2000,14.5,14.625,9700,14.625,14.625,8.514030456542969
01-09-2000,14.5,14.5,500,14.5,14.5,8.441258430480957
05-09-2000,14.375,14.375,400,14.375,14.375,8.368488311767578
06-09-2000,14.5,14.625,12300,14.625,14.5,8.441258430480957
07-09-2000,14.625,14.625,37700,15.0,14.875,8.659565925598145
08-09-2000,14.5,14.75,15100,14.75,14.625,8.514030456542969
11-09-2000,14.5625,14.5625,1500,14.75,14.6875,8.550414085388184
12-09-2000,14.75,14.75,6200,14.875,14.75,8.586798667907715
13-09-2000,14.625,14.625,9000,14.75,14.75,8.586798667907715
14-09-2000,14.6875,14.75,13300,14.75,14.75,8.586798667907715
15-09-2000,14.6875,14.75,11900,14.75,14.75,8.586798667907715
18-09-2000,14.625,14.75,16700,14.75,14.75,8.586798667907715
19-09-2000,14.625,14.75,8100,14.75,14.625,8.514030456542969
20-09-2000,14.25,14.625,24000,14.625,14.4375,8.404874801635742
21-09-2000,14.0,14.25,43000,14.375,14.1875,8.259334564208984
22-09-2000,13.75,14.0625,45000,14.125,14.125,8.222955703735352
25-09-2000,14.0625,14.0625,21100,14.25,14.25,8.295717239379883
26-09-2000,14.125,14.125,41500,14.25,14.25,8.295717239379883
27-09-2000,14.125,14.125,7000,14.125,14.125,8.222955703735352
28-09-2000,14.1875,14.1875,37600,14.5,14.375,8.368488311767578
29-09-2000,14.375,14.375,1000,14.375,14.375,8.368488311767578
02-10-2000,14.3125,14.5,7800,14.5,14.375,8.368488311767578
03-10-2000,14.25,14.375,5000,14.375,14.25,8.295717239379883
04-10-2000,14.25,14.25,0,14.25,14.25,8.295717239379883
05-10-2000,14.1875,14.25,1500,14.25,14.1875,8.259334564208984
06-10-2000,14.0,14.3125,16400,14.3125,14.0,8.150182723999023
09-10-2000,13.75,14.0,9200,14.0,13.875,8.077414512634277
10-10-2000,13.875,13.875,24000,14.0,14.0,8.150182723999023
11-10-2000,13.625,13.75,29400,13.75,13.625,7.931869983673096
12-10-2000,13.125,13.75,30700,13.75,13.125,7.640791893005371
13-10-2000,13.0,13.25,15900,13.75,13.75,8.004644393920898
16-10-2000,13.75,13.75,5600,13.75,13.75,8.004644393920898
17-10-2000,13.5,13.5,1800,13.5,13.5,7.859102725982666
18-10-2000,13.5,13.5,3100,13.625,13.5,7.859102725982666
19-10-2000,13.375,13.375,800,13.375,13.375,7.786335468292236
20-10-2000,13.625,13.625,5700,13.625,13.625,7.931869983673096
23-10-2000,13.5625,13.5625,24200,13.75,13.75,8.004644393920898
24-10-2000,13.6875,13.6875,100,13.6875,13.6875,7.968255519866943
25-10-2000,13.625,13.625,1500,13.625,13.625,7.931869983673096
26-10-2000,13.625,13.625,12900,14.0,14.0,8.150182723999023
27-10-2000,14.125,14.125,41500,14.625,14.5625,8.477645874023438
30-10-2000,14.5,14.5,15000,14.75,14.625,8.514030456542969
31-10-2000,14.625,14.625,9800,14.6875,14.6875,8.550414085388184
01-11-2000,14.75,14.75,70900,15.0,14.875,8.718932151794434
02-11-2000,14.875,14.875,4000,15.0,15.0,8.792202949523926
03-11-2000,15.125,15.125,100,15.125,15.125,8.865467071533203
06-11-2000,15.0625,15.0625,5000,15.0625,15.0625,8.828834533691406
07-11-2000,15.0,15.25,25600,15.25,15.0,8.792202949523926
08-11-2000,14.9375,14.9375,2500,14.9375,14.9375,8.755565643310547
09-11-2000,14.75,14.75,6000,14.75,14.75,8.645661354064941
10-11-2000,14.5,14.625,5700,14.8125,14.5,8.499124526977539
13-11-2000,14.4375,14.4375,2000,14.4375,14.4375,8.462489128112793
14-11-2000,14.625,14.625,4900,14.9375,14.9375,8.755565643310547
15-11-2000,14.9375,14.9375,53200,15.25,15.25,8.938735008239746
16-11-2000,14.625,14.75,21000,15.0,14.75,8.645661354064941
17-11-2000,13.5,14.5,179800,14.5,13.5625,7.949610710144043
20-11-2000,13.5,13.625,19800,13.75,13.5625,7.949610710144043
21-11-2000,13.5,13.5,6200,13.5625,13.5,7.912978649139404
22-11-2000,13.125,13.5,24000,13.5,13.125,7.693171977996826
24-11-2000,13.25,13.25,200,13.25,13.25,7.766443252563477
27-11-2000,13.375,13.375,9100,13.5,13.5,7.912978649139404
28-11-2000,13.5,13.5,3500,13.5,13.5,7.912978649139404
29-11-2000,13.25,13.5625,31600,13.5625,13.375,7.839713096618652
30-11-2000,13.1875,13.5,9200,13.5,13.25,7.766443252563477
01-12-2000,13.375,13.375,16900,13.375,13.375,7.839713096618652
04-12-2000,13.375,13.4375,12500,13.5625,13.5625,7.949610710144043
05-12-2000,13.375,13.375,41100,13.5,13.4375,7.876343727111816
06-12-2000,13.5,13.5,27000,14.125,13.625,7.986245632171631
07-12-2000,13.625,13.75,4000,13.75,13.625,7.986245632171631
08-12-2000,13.75,13.75,33500,14.0625,14.0625,8.24268627166748
11-12-2000,14.125,14.125,29000,14.25,14.125,8.279321670532227
12-12-2000,13.875,14.0,38700,14.25,14.25,8.35258674621582
13-12-2000,14.0,14.125,158500,14.125,14.125,8.279321670532227
14-12-2000,14.25,14.25,15500,14.25,14.25,8.35258674621582
15-12-2000,14.0,14.25,91700,14.25,14.0,8.206049919128418
18-12-2000,14.0,14.0,116500,14.375,14.375,8.42585563659668
19-12-2000,13.9375,14.375,32400,14.75,14.25,8.35258674621582
20-12-2000,14.0,14.25,7500,14.3125,14.3125,8.389225959777832
21-12-2000,14.375,14.375,71500,14.5,14.375,8.42585563659668
22-12-2000,14.5,14.5,10200,15.0,14.9375,8.755565643310547
26-12-2000,14.75,14.75,9100,14.875,14.75,8.645661354064941
27-12-2000,14.75,14.75,13000,14.9375,14.875,8.718932151794434
28-12-2000,15.0,15.0,19400,15.875,15.625,9.158543586730957
29-12-2000,15.5625,15.625,96600,16.0,15.75,9.2318115234375
02-01-2001,14.875,15.625,46500,15.625,15.125,8.865467071533203
03-01-2001,14.875,15.0,60000,16.0,15.75,9.2318115234375
04-01-2001,15.75,15.75,73600,16.0,15.9375,9.34171199798584
05-01-2001,15.625,15.8125,59800,15.875,15.75,9.2318115234375
08-01-2001,15.6875,15.6875,25500,15.875,15.75,9.2318115234375
09-01-2001,15.625,15.625,56200,15.9375,15.875,9.30507755279541
10-01-2001,15.6875,15.75,16700,15.875,15.75,9.2318115234375
11-01-2001,15.6875,15.6875,20400,15.875,15.75,9.2318115234375
12-01-2001,15.625,15.625,44100,15.8125,15.6875,9.195176124572754
16-01-2001,15.6875,15.8125,35200,16.0,15.875,9.30507755279541
17-01-2001,16.0625,16.125,29000,16.125,16.0625,9.414978981018066
18-01-2001,16.0,16.0,2500,16.0,16.0,9.378344535827637
19-01-2001,16.0,16.0,36400,16.0625,16.0,9.378344535827637
22-01-2001,16.0,16.0,1900,16.0,16.0,9.378344535827637
23-01-2001,16.0625,16.0625,32500,16.4375,16.375,9.598150253295898
24-01-2001,16.5,16.5,89500,16.875,16.6875,9.781318664550781
25-01-2001,16.5,16.5,95500,16.75,16.75,9.817955017089844
26-01-2001,16.625,16.75,57600,16.75,16.75,9.817955017089844
29-01-2001,16.649999618530273,16.75,37800,16.75,16.75,9.817955017089844
30-01-2001,16.729999542236328,16.75,14300,16.75,16.75,9.817955017089844
31-01-2001,16.75,16.75,102400,17.25,17.0,9.964491844177246
01-02-2001,16.799999237060547,16.899999618530273,74300,17.25,17.0,10.023453712463379
02-02-2001,17.100000381469727,17.100000381469727,529700,17.780000686645508,17.780000686645508,10.483354568481445
05-02-2001,17.5,17.780000686645508,186600,18.0,17.770000457763672,10.477455139160156
06-02-2001,17.799999237060547,17.799999237060547,70000,17.93000030517578,17.899999618530273,10.554106712341309
07-02-2001,17.829999923706055,17.899999618530273,42800,17.90999984741211,17.899999618530273,10.554106712341309
08-02-2001,17.799999237060547,17.950000762939453,48700,17.950000762939453,17.799999237060547,10.495145797729492
09-02-2001,17.700000762939453,17.700000762939453,23600,18.0,18.0,10.613070487976074
12-02-2001,17.850000381469727,17.899999618530273,13100,18.0,18.0,10.613070487976074
13-02-2001,17.950000762939453,17.950000762939453,50700,18.200000762939453,18.110000610351562,10.677928924560547
14-02-2001,17.969999313354492,18.0,5800,18.110000610351562,17.979999542236328,10.601280212402344
15-02-2001,17.950000762939453,17.950000762939453,27400,18.700000762939453,18.510000228881836,10.913772583007812
