Date,Low,Open,Volume,High,Close,Adjusted Close
16-08-1994,20.0,20.0,215100,20.125,20.0,1.0252703428268433
17-08-1994,20.0,20.125,49600,20.125,20.0,1.0252703428268433
18-08-1994,20.0,20.0,210700,20.125,20.0,1.0252703428268433
19-08-1994,20.0,20.0,41500,20.125,20.125,1.0316779613494873
22-08-1994,20.0,20.125,50000,20.125,20.0,1.0252703428268433
23-08-1994,20.0,20.125,65000,20.125,20.125,1.0316779613494873
24-08-1994,20.0,20.125,59500,20.125,20.0,1.0252703428268433
25-08-1994,20.0,20.125,43300,20.125,20.125,1.0316779613494873
26-08-1994,20.0,20.125,42700,20.125,20.0,1.0252703428268433
29-08-1994,20.0,20.125,46100,20.125,20.125,1.0316779613494873
30-08-1994,20.0,20.0,41800,20.125,20.0,1.0252703428268433
31-08-1994,20.0,20.125,36300,20.125,20.0,1.0252703428268433
01-09-1994,20.0,20.0,20900,20.125,20.125,1.0316779613494873
02-09-1994,20.0,20.0,14200,20.125,20.0,1.0252703428268433
06-09-1994,20.0,20.125,271900,20.125,20.0,1.0252703428268433
07-09-1994,20.0,20.0,338200,20.125,20.0,1.0252703428268433
08-09-1994,20.0,20.0,228300,20.125,20.0,1.0252703428268433
09-09-1994,20.0,20.0,196900,20.125,20.0,1.0252703428268433
12-09-1994,20.0,20.0,196300,20.125,20.0,1.0252703428268433
13-09-1994,20.0,20.0,114300,20.125,20.0,1.0252703428268433
14-09-1994,20.0,20.0,105800,20.125,20.0,1.0252703428268433
15-09-1994,20.0,20.0,76500,20.125,20.0,1.0252703428268433
16-09-1994,20.0,20.0,94900,20.25,20.0,1.0252703428268433
19-09-1994,20.0,20.0,140800,20.125,20.125,1.0316779613494873
20-09-1994,20.0,20.0,111800,20.125,20.0,1.0252703428268433
21-09-1994,20.0,20.0,134300,20.125,20.0,1.0252703428268433
22-09-1994,20.0,20.0,106600,20.125,20.0,1.0252703428268433
23-09-1994,19.75,20.125,186000,20.125,19.75,1.0124543905258179
26-09-1994,19.75,19.75,136800,19.875,19.75,1.0124543905258179
27-09-1994,19.75,19.75,77400,19.875,19.75,1.0124543905258179
28-09-1994,19.75,19.75,43600,19.875,19.75,1.0124543905258179
29-09-1994,19.75,19.75,42400,19.875,19.75,1.0124543905258179
30-09-1994,19.75,19.75,42300,19.875,19.75,1.0124543905258179
03-10-1994,19.75,19.75,35000,19.875,19.75,1.0124543905258179
04-10-1994,19.75,19.875,80700,19.875,19.75,1.0124543905258179
05-10-1994,19.5,19.625,109900,19.75,19.5,0.9996381402015686
06-10-1994,19.25,19.625,60700,19.625,19.375,0.9932302832603455
07-10-1994,19.25,19.25,37200,19.375,19.25,0.9868228435516357
