Date,Low,Open,Volume,High,Close,Adjusted Close
22-07-1988,10.0,0.0,337500,10.0,10.0,0.28016719222068787
25-07-1988,10.0,0.0,47300,10.0,10.0,0.28016719222068787
26-07-1988,10.0,0.0,63600,10.0,10.0,0.28016719222068787
27-07-1988,10.0,0.0,51600,10.0,10.0,0.28016719222068787
28-07-1988,10.0,0.0,15300,10.0,10.0,0.28016719222068787
29-07-1988,10.0,0.0,4900,10.0,10.0,0.28016719222068787
01-08-1988,10.0,0.0,28900,10.0,10.0,0.28016719222068787
02-08-1988,10.0,0.0,15200,10.0,10.0,0.28016719222068787
03-08-1988,10.0,0.0,69300,10.0,10.0,0.28016719222068787
04-08-1988,10.0,0.0,9000,10.0,10.0,0.28016719222068787
05-08-1988,10.0,0.0,15800,10.0,10.0,0.28016719222068787
08-08-1988,10.0,0.0,54100,10.0,10.0,0.28016719222068787
09-08-1988,10.0,0.0,29000,10.0,10.0,0.28016719222068787
10-08-1988,10.0,0.0,29000,10.0,10.0,0.28016719222068787
11-08-1988,10.0,0.0,20500,10.0,10.0,0.28016719222068787
12-08-1988,9.875,0.0,196100,10.0,10.0,0.28016719222068787
15-08-1988,9.875,0.0,13800,10.0,10.0,0.28016719222068787
16-08-1988,9.875,0.0,16700,10.0,9.875,0.27666524052619934
17-08-1988,9.875,0.0,37900,10.0,9.875,0.27666524052619934
18-08-1988,9.875,0.0,97300,9.875,9.875,0.27666524052619934
19-08-1988,9.875,0.0,18400,10.0,9.875,0.27666524052619934
22-08-1988,9.875,0.0,18500,10.0,9.875,0.27666524052619934
23-08-1988,9.875,0.0,56600,10.0,10.0,0.28016719222068787
24-08-1988,9.875,0.0,12600,10.0,9.875,0.27666524052619934
25-08-1988,9.75,0.0,7000,9.875,9.75,0.2751132547855377
26-08-1988,9.875,0.0,400,9.875,9.875,0.2786402106285095
29-08-1988,9.875,0.0,47200,9.875,9.875,0.2786402106285095
30-08-1988,9.875,0.0,13400,9.875,9.875,0.2786402106285095
31-08-1988,9.875,0.0,14500,9.875,9.875,0.2786402106285095
01-09-1988,9.875,0.0,10400,10.0,9.875,0.2786402106285095
02-09-1988,9.875,0.0,8500,10.0,9.875,0.2786402106285095
06-09-1988,9.875,0.0,12800,10.0,9.875,0.2786402106285095
07-09-1988,9.875,0.0,19000,10.0,9.875,0.2786402106285095
08-09-1988,9.875,0.0,19600,9.875,9.875,0.2786402106285095
09-09-1988,9.875,0.0,22600,10.0,9.875,0.2786402106285095
12-09-1988,9.875,0.0,13600,9.875,9.875,0.2786402106285095
13-09-1988,9.75,0.0,47300,10.0,9.75,0.2751132547855377
14-09-1988,9.625,0.0,17300,9.875,9.75,0.2751132547855377
15-09-1988,9.625,0.0,11600,9.75,9.75,0.2751132547855377
16-09-1988,9.5,0.0,8400,9.625,9.5,0.26805901527404785
19-09-1988,9.25,0.0,31100,9.5,9.375,0.2645319700241089
20-09-1988,9.0,0.0,38500,9.25,9.25,0.26100489497184753
21-09-1988,9.125,0.0,7800,9.25,9.125,0.2574775516986847
22-09-1988,9.125,0.0,13800,9.375,9.375,0.2645319700241089
23-09-1988,9.125,0.0,30300,9.375,9.25,0.26100489497184753
26-09-1988,9.125,0.0,10100,9.375,9.125,0.2597237825393677
27-09-1988,9.125,0.0,20700,9.25,9.25,0.26328176259994507
28-09-1988,9.125,0.0,11100,9.25,9.25,0.26328176259994507
29-09-1988,9.125,0.0,9600,9.25,9.25,0.26328176259994507
30-09-1988,9.125,0.0,22700,9.25,9.25,0.26328176259994507
03-10-1988,9.125,0.0,14700,9.25,9.125,0.2597237825393677
04-10-1988,9.25,0.0,8700,9.375,9.375,0.2668396234512329
05-10-1988,9.25,9.25,31900,9.5,9.375,0.2668396234512329
06-10-1988,9.25,9.375,5200,9.375,9.25,0.26328176259994507
07-10-1988,9.25,9.25,4900,9.375,9.375,0.2668396234512329
10-10-1988,9.5,9.5,5500,9.625,9.625,0.27395546436309814
11-10-1988,9.5,9.625,6400,9.625,9.5,0.27039748430252075
12-10-1988,9.5,9.5,6200,9.625,9.625,0.27395546436309814
13-10-1988,9.5,9.5,6100,9.5,9.5,0.27039748430252075
14-10-1988,9.5,9.625,25800,9.625,9.625,0.27395546436309814
17-10-1988,9.5,9.625,7300,9.625,9.5,0.27039748430252075
18-10-1988,9.5,9.5,14300,9.625,9.625,0.27395546436309814
19-10-1988,9.5,9.625,10400,9.625,9.5,0.27039748430252075
20-10-1988,9.5,9.5,31000,9.625,9.5,0.27039748430252075
21-10-1988,9.5,9.5,21800,9.625,9.5,0.27039748430252075
24-10-1988,9.5,9.625,7900,9.625,9.5,0.27039748430252075
25-10-1988,9.375,9.375,12900,9.5,9.5,0.2726939618587494
26-10-1988,9.375,9.5,14300,9.5,9.375,0.2691056728363037
27-10-1988,9.25,9.375,24400,9.5,9.5,0.2726939618587494
28-10-1988,9.375,9.5,9800,9.5,9.5,0.2726939618587494
31-10-1988,9.375,9.375,15100,9.5,9.5,0.2726939618587494
01-11-1988,9.375,9.5,20600,9.625,9.625,0.2762819826602936
02-11-1988,9.5,9.625,17800,9.75,9.5,0.2726939618587494
03-11-1988,9.5,9.625,7500,9.625,9.625,0.2762819826602936
04-11-1988,9.375,9.5,19800,9.625,9.5,0.2726939618587494
07-11-1988,9.25,9.375,23900,9.5,9.5,0.2726939618587494
08-11-1988,9.25,9.375,6400,9.5,9.375,0.2691056728363037
09-11-1988,9.0,9.25,6000,9.375,9.375,0.2691056728363037
10-11-1988,9.25,9.375,9000,9.375,9.25,0.26551780104637146
11-11-1988,9.25,9.375,7100,9.375,9.375,0.2691056728363037
14-11-1988,9.25,9.25,19800,9.5,9.5,0.2726939618587494
15-11-1988,9.25,9.375,32200,9.625,9.375,0.2691056728363037
16-11-1988,9.25,9.5,29400,9.5,9.25,0.26551780104637146
17-11-1988,9.125,9.375,42000,9.375,9.125,0.26192957162857056
18-11-1988,9.125,9.125,4000,9.375,9.375,0.2691056728363037
21-11-1988,9.125,9.375,12900,9.375,9.125,0.26192957162857056
22-11-1988,9.125,9.25,11200,9.25,9.125,0.26192957162857056
23-11-1988,9.0,9.125,7500,9.125,9.125,0.26492008566856384
25-11-1988,9.125,9.25,7500,9.25,9.25,0.2685489356517792
28-11-1988,9.0,9.125,4000,9.125,9.125,0.26492008566856384
29-11-1988,8.875,9.125,27700,9.125,9.0,0.26129084825515747
30-11-1988,9.0,9.0,16500,9.125,9.125,0.26492008566856384
01-12-1988,9.125,9.25,13800,9.25,9.125,0.26492008566856384
02-12-1988,9.125,9.25,800,9.25,9.125,0.26492008566856384
05-12-1988,9.125,9.125,6700,9.25,9.25,0.2685489356517792
06-12-1988,9.125,9.125,10500,9.25,9.125,0.26492008566856384
07-12-1988,8.875,9.125,28800,9.125,9.0,0.26129084825515747
08-12-1988,8.75,9.0,22900,9.0,9.0,0.26129084825515747
09-12-1988,9.0,9.0,28800,9.25,9.25,0.2685489356517792
12-12-1988,9.125,9.125,21300,9.375,9.375,0.27217793464660645
13-12-1988,9.125,9.25,35300,9.375,9.125,0.26492008566856384
14-12-1988,9.25,9.25,17700,9.5,9.375,0.27217793464660645
15-12-1988,9.25,9.5,26400,9.5,9.25,0.2685489356517792
16-12-1988,9.0,9.25,24200,9.25,9.0,0.26129084825515747
19-12-1988,8.75,9.125,28700,9.125,8.75,0.25403285026550293
20-12-1988,8.75,8.875,22300,9.0,9.0,0.26129084825515747
21-12-1988,8.75,9.0,27800,9.0,8.875,0.2576618790626526
22-12-1988,8.75,9.0,33400,9.125,8.875,0.2576618790626526
23-12-1988,8.875,9.125,14800,9.125,9.0,0.2642684280872345
27-12-1988,8.875,9.0,19900,9.125,8.875,0.26059818267822266
28-12-1988,8.875,9.0,14100,9.125,9.125,0.26793888211250305
29-12-1988,9.0,9.125,50700,9.25,9.0,0.2642684280872345
30-12-1988,9.125,9.125,16200,9.25,9.25,0.271609365940094
03-01-1989,9.25,9.375,4000,9.375,9.25,0.271609365940094
04-01-1989,9.25,9.25,11600,9.375,9.25,0.271609365940094
05-01-1989,9.25,9.25,13700,9.375,9.375,0.2752797603607178
06-01-1989,9.375,9.375,8000,9.5,9.375,0.2752797603607178
09-01-1989,9.25,9.375,11100,9.375,9.25,0.271609365940094
10-01-1989,9.25,9.25,14300,9.375,9.375,0.2752797603607178
11-01-1989,9.25,9.375,6400,9.375,9.25,0.271609365940094
12-01-1989,9.25,9.375,9900,9.375,9.25,0.271609365940094
13-01-1989,9.25,9.25,7500,9.375,9.25,0.271609365940094
16-01-1989,9.25,9.25,13200,9.375,9.375,0.2752797603607178
17-01-1989,9.25,9.375,10300,9.375,9.375,0.2752797603607178
18-01-1989,9.25,9.25,13700,9.5,9.5,0.2789502739906311
19-01-1989,9.25,9.5,18700,9.5,9.375,0.2752797603607178
20-01-1989,9.25,9.25,28100,9.5,9.375,0.2752797603607178
23-01-1989,9.375,9.375,6300,9.5,9.5,0.2789502739906311
24-01-1989,9.375,9.5,16800,9.5,9.375,0.2752797603607178
25-01-1989,9.25,9.25,18600,9.5,9.25,0.2745377719402313
26-01-1989,9.25,9.25,18200,9.375,9.375,0.2782478332519531
27-01-1989,9.0,9.375,25600,9.375,9.25,0.2745377719402313
30-01-1989,9.125,9.375,10600,9.375,9.25,0.2745377719402313
31-01-1989,9.125,9.25,14100,9.375,9.25,0.2745377719402313
01-02-1989,9.125,9.375,14700,9.375,9.25,0.2745377719402313
02-02-1989,9.25,9.25,26900,9.5,9.5,0.2819575369358063
03-02-1989,9.375,9.5,12000,9.5,9.5,0.2819575369358063
06-02-1989,9.375,9.375,8800,9.5,9.5,0.2819575369358063
07-02-1989,9.375,9.375,9500,9.5,9.375,0.2782478332519531
08-02-1989,9.375,9.375,10400,9.625,9.5,0.2819575369358063
09-02-1989,9.375,9.5,8700,9.5,9.5,0.2819575369358063
10-02-1989,9.375,9.375,3600,9.5,9.5,0.2819575369358063
13-02-1989,9.375,9.375,11000,9.625,9.625,0.2856677770614624
14-02-1989,9.5,9.5,7500,9.625,9.5,0.2819575369358063
15-02-1989,9.375,9.625,17100,9.625,9.5,0.2819575369358063
16-02-1989,9.375,9.375,6600,9.5,9.375,0.2782478332519531
17-02-1989,9.375,9.5,9700,9.5,9.5,0.2819575369358063
21-02-1989,9.375,9.5,15600,9.5,9.375,0.2782478332519531
22-02-1989,9.125,9.25,21500,9.375,9.25,0.27749764919281006
23-02-1989,9.25,9.375,16000,9.375,9.375,0.2812477946281433
24-02-1989,9.125,9.25,19700,9.375,9.125,0.2737478017807007
27-02-1989,9.125,9.125,5300,9.25,9.25,0.27749764919281006
28-02-1989,9.125,9.25,15400,9.25,9.25,0.27749764919281006
01-03-1989,9.0,9.25,15200,9.25,9.125,0.2737478017807007
02-03-1989,9.125,9.25,33700,9.5,9.375,0.2812477946281433
03-03-1989,9.25,9.25,22200,9.375,9.25,0.27749764919281006
06-03-1989,9.0,9.375,20300,9.375,9.125,0.2737478017807007
07-03-1989,9.125,9.25,12100,9.375,9.125,0.2737478017807007
08-03-1989,9.125,9.125,15600,9.375,9.125,0.2737478017807007
09-03-1989,9.125,9.375,14700,9.375,9.25,0.27749764919281006
10-03-1989,9.125,9.25,14300,9.25,9.25,0.27749764919281006
13-03-1989,9.125,9.375,19800,9.375,9.25,0.27749764919281006
14-03-1989,9.125,9.125,77600,9.375,9.375,0.2812477946281433
15-03-1989,9.25,9.25,16900,9.5,9.5,0.28499743342399597
16-03-1989,9.375,9.375,11200,9.625,9.625,0.28874772787094116
17-03-1989,9.375,9.5,15900,9.5,9.375,0.2812477946281433
20-03-1989,9.25,9.25,15600,9.5,9.5,0.28499743342399597
21-03-1989,9.25,9.375,18100,9.375,9.25,0.27749764919281006
22-03-1989,9.25,9.25,14500,9.375,9.25,0.27749764919281006
23-03-1989,9.25,9.25,15800,9.375,9.375,0.2812477946281433
27-03-1989,9.25,9.25,26400,9.375,9.25,0.28048965334892273
28-03-1989,9.25,9.375,5400,9.375,9.25,0.28048965334892273
29-03-1989,9.125,9.25,16400,9.375,9.25,0.28048965334892273
30-03-1989,9.125,9.125,3500,9.25,9.125,0.2766989767551422
31-03-1989,9.125,9.125,6200,9.25,9.25,0.28048965334892273
03-04-1989,9.125,9.125,12400,9.25,9.25,0.28048965334892273
04-04-1989,9.125,9.25,21400,9.375,9.25,0.28048965334892273
05-04-1989,9.25,9.375,18700,9.375,9.375,0.28428027033805847
06-04-1989,9.25,9.25,10800,9.375,9.25,0.28048965334892273
07-04-1989,9.125,9.125,28100,9.25,9.125,0.2766989767551422
10-04-1989,9.125,9.25,16800,9.25,9.125,0.2766989767551422
11-04-1989,9.125,9.125,22200,9.25,9.125,0.2766989767551422
12-04-1989,9.125,9.125,4700,9.25,9.125,0.2766989767551422
13-04-1989,9.125,9.25,13400,9.25,9.125,0.2766989767551422
14-04-1989,9.125,9.125,16900,9.25,9.25,0.28048965334892273
17-04-1989,9.0,9.25,35500,9.25,9.125,0.2766989767551422
18-04-1989,9.0,9.25,20100,9.25,9.0,0.2729085683822632
19-04-1989,9.0,9.125,13300,9.125,9.0,0.2729085683822632
20-04-1989,9.0,9.0,28300,9.25,9.25,0.28048965334892273
21-04-1989,9.0,9.25,36700,9.25,9.125,0.2766989767551422
24-04-1989,9.0,9.25,13900,9.25,9.25,0.2835977077484131
25-04-1989,9.0,9.25,25300,9.25,9.0,0.27593281865119934
26-04-1989,9.0,9.125,17400,9.125,9.125,0.2797650694847107
27-04-1989,9.0,9.125,15000,9.25,9.0,0.27593281865119934
28-04-1989,9.0,9.125,20600,9.125,9.125,0.2797650694847107
01-05-1989,9.125,9.125,8200,9.25,9.125,0.2797650694847107
02-05-1989,9.125,9.25,12900,9.25,9.125,0.2797650694847107
03-05-1989,9.0,9.125,17000,9.25,9.0,0.27593281865119934
04-05-1989,9.0,9.125,7000,9.125,9.0,0.27593281865119934
05-05-1989,9.125,9.125,12000,9.25,9.25,0.2835977077484131
08-05-1989,9.125,9.25,14200,9.25,9.125,0.2797650694847107
09-05-1989,9.125,9.125,20500,9.25,9.25,0.2835977077484131
10-05-1989,9.125,9.125,11500,9.25,9.125,0.2797650694847107
11-05-1989,9.125,9.125,19800,9.25,9.25,0.2835977077484131
12-05-1989,9.125,9.25,24500,9.25,9.125,0.2797650694847107
15-05-1989,9.125,9.125,7300,9.25,9.125,0.2797650694847107
16-05-1989,9.0,9.0,16200,9.25,9.125,0.2797650694847107
17-05-1989,9.0,9.125,28400,9.125,9.0,0.27593281865119934
18-05-1989,9.0,9.0,34900,9.125,9.125,0.2797650694847107
19-05-1989,9.0,9.125,30900,9.25,9.25,0.2835977077484131
22-05-1989,9.25,9.25,22300,9.375,9.25,0.2835977077484131
23-05-1989,9.25,9.25,17000,9.375,9.375,0.2874300479888916
24-05-1989,9.125,9.25,22700,9.375,9.25,0.2866554260253906
25-05-1989,9.125,9.25,29600,9.375,9.25,0.2866554260253906
26-05-1989,9.25,9.25,8500,9.375,9.25,0.2866554260253906
30-05-1989,9.125,9.25,11800,9.25,9.125,0.28278136253356934
31-05-1989,9.25,9.25,12300,9.375,9.375,0.29052913188934326
01-06-1989,9.25,9.375,18300,9.375,9.375,0.29052913188934326
02-06-1989,9.25,9.25,14100,9.375,9.375,0.29052913188934326
05-06-1989,9.25,9.375,18300,9.5,9.25,0.2866554260253906
06-06-1989,9.25,9.25,21400,9.5,9.5,0.294402539730072
07-06-1989,9.375,9.5,19400,9.5,9.5,0.294402539730072
08-06-1989,9.375,9.5,24200,9.5,9.375,0.29052913188934326
09-06-1989,9.375,9.375,8700,9.5,9.375,0.29052913188934326
12-06-1989,9.375,9.5,24400,9.5,9.5,0.294402539730072
13-06-1989,8.625,9.375,17500,9.5,9.5,0.294402539730072
14-06-1989,8.75,9.5,18800,9.5,9.375,0.29052913188934326
15-06-1989,9.375,9.375,22700,9.5,9.5,0.294402539730072
16-06-1989,9.375,9.5,21200,9.5,9.5,0.294402539730072
19-06-1989,9.375,9.375,14500,9.625,9.625,0.29827651381492615
20-06-1989,9.5,9.5,26100,9.625,9.5,0.294402539730072
21-06-1989,9.5,9.625,16100,9.625,9.5,0.294402539730072
22-06-1989,9.25,9.5,30200,9.5,9.25,0.2866554260253906
23-06-1989,9.25,9.375,13600,9.375,9.375,0.29052913188934326
26-06-1989,9.25,9.25,8700,9.375,9.375,0.29366129636764526
27-06-1989,9.25,9.25,10600,9.375,9.375,0.29366129636764526
28-06-1989,9.25,9.25,10400,9.375,9.375,0.29366129636764526
29-06-1989,9.25,9.25,15000,9.375,9.375,0.29366129636764526
30-06-1989,9.25,9.25,6000,9.375,9.375,0.29366129636764526
03-07-1989,9.25,9.375,3100,9.375,9.25,0.28974610567092896
05-07-1989,9.25,9.25,22500,9.375,9.25,0.28974610567092896
06-07-1989,9.25,9.25,9500,9.375,9.375,0.29366129636764526
07-07-1989,9.125,9.25,12500,9.375,9.25,0.28974610567092896
10-07-1989,9.25,9.375,22200,9.375,9.25,0.28974610567092896
11-07-1989,9.25,9.25,16100,9.375,9.375,0.29366129636764526
12-07-1989,9.125,9.375,18700,9.375,9.375,0.29366129636764526
13-07-1989,9.25,9.25,21800,9.375,9.375,0.29366129636764526
14-07-1989,9.25,9.375,27400,9.375,9.25,0.28974610567092896
17-07-1989,9.125,9.25,19700,9.375,9.25,0.28974610567092896
18-07-1989,9.125,9.125,14600,9.25,9.125,0.2858302891254425
19-07-1989,9.125,9.125,16600,9.25,9.25,0.28974610567092896
20-07-1989,9.125,9.25,25800,9.25,9.125,0.2858302891254425
21-07-1989,8.875,9.125,17800,9.125,9.0,0.2819148898124695
24-07-1989,8.875,8.875,23200,9.125,9.125,0.2858302891254425
25-07-1989,8.875,9.0,10700,9.0,9.0,0.28503865003585815
26-07-1989,9.0,9.0,8900,9.125,9.125,0.2889973819255829
27-07-1989,9.125,9.125,42800,9.25,9.25,0.2929563522338867
28-07-1989,9.125,9.25,9000,9.25,9.125,0.2889973819255829
31-07-1989,9.125,9.125,31000,9.25,9.125,0.2889973819255829
01-08-1989,9.0,9.125,23300,9.25,9.0,0.28503865003585815
02-08-1989,8.875,9.125,28500,9.125,9.0,0.28503865003585815
03-08-1989,8.75,9.0,32200,9.0,9.0,0.28503865003585815
04-08-1989,8.875,8.875,6700,9.0,9.0,0.28503865003585815
07-08-1989,8.875,8.875,12000,9.0,9.0,0.28503865003585815
08-08-1989,8.625,8.875,34800,8.875,8.75,0.2771209180355072
09-08-1989,8.625,8.75,30700,8.875,8.75,0.2771209180355072
10-08-1989,8.75,8.875,13300,8.875,8.75,0.2771209180355072
11-08-1989,8.75,8.75,16200,8.875,8.75,0.2771209180355072
14-08-1989,8.75,8.75,13200,8.875,8.875,0.2810796797275543
15-08-1989,8.75,8.75,49700,8.875,8.875,0.2810796797275543
16-08-1989,8.875,9.0,45500,9.0,9.0,0.28503865003585815
17-08-1989,9.0,9.125,32300,9.25,9.25,0.2929563522338867
18-08-1989,9.125,9.25,43300,9.375,9.375,0.296915203332901
21-08-1989,9.125,9.25,10300,9.375,9.125,0.2889973819255829
22-08-1989,9.125,9.125,16300,9.25,9.25,0.2929563522338867
23-08-1989,9.125,9.25,23900,9.25,9.125,0.2889973819255829
24-08-1989,9.25,9.25,33200,9.375,9.25,0.2929563522338867
25-08-1989,9.0,9.0,31500,9.25,9.25,0.2961578965187073
28-08-1989,9.0,9.0,7300,9.125,9.125,0.29215574264526367
29-08-1989,9.0,9.125,12000,9.125,9.125,0.29215574264526367
30-08-1989,8.875,9.0,20800,9.125,9.0,0.2881537973880768
31-08-1989,8.75,8.875,24500,9.0,8.75,0.2801496088504791
01-09-1989,8.75,8.75,22900,8.875,8.875,0.2841515839099884
05-09-1989,8.75,8.875,29200,8.875,8.75,0.2801496088504791
06-09-1989,8.625,8.875,22100,8.875,8.75,0.2801496088504791
07-09-1989,8.625,8.75,22500,8.875,8.75,0.2801496088504791
08-09-1989,8.75,8.75,12600,8.875,8.875,0.2841515839099884
11-09-1989,8.625,8.75,11200,8.75,8.625,0.27614760398864746
12-09-1989,8.625,8.75,29700,8.875,8.875,0.2841515839099884
13-09-1989,8.75,8.75,12100,8.875,8.75,0.2801496088504791
14-09-1989,8.375,8.625,56400,8.75,8.5,0.2721453905105591
15-09-1989,8.25,8.5,36500,8.5,8.25,0.26414090394973755
18-09-1989,8.25,8.25,41100,8.5,8.5,0.2721453905105591
