Date,Low,Open,Volume,High,Close,Adjusted Close
20-05-1987,6.75,6.875,202900.0,7.0,6.875,3.359328031539917
21-05-1987,6.75,6.875,46100.0,7.0,6.875,3.359328031539917
22-05-1987,6.75,6.875,63100.0,7.0,6.875,3.359328031539917
26-05-1987,6.875,7.0,58100.0,7.25,7.0,3.420403480529785
27-05-1987,6.875,7.0,26500.0,7.125,7.0,3.420403480529785
28-05-1987,6.875,6.875,22900.0,7.0,6.875,3.359328031539917
29-05-1987,6.875,7.0,7600.0,7.0,7.0,3.420403480529785
01-06-1987,6.75,7.0,8600.0,7.0,7.0,3.420403480529785
02-06-1987,6.75,7.0,5900.0,7.0,7.0,3.420403480529785
03-06-1987,6.75,6.75,15700.0,7.0,6.75,3.2982470989227295
04-06-1987,6.75,6.75,13100.0,7.0,6.75,3.2982470989227295
05-06-1987,6.75,6.75,7500.0,6.75,6.75,3.2982470989227295
08-06-1987,6.75,7.0,5700.0,7.0,7.0,3.420403480529785
09-06-1987,6.75,7.0,11600.0,7.0,7.0,3.420403480529785
10-06-1987,6.75,6.75,2800.0,7.0,6.75,3.2982470989227295
11-06-1987,6.75,7.0,11700.0,7.0,7.0,3.420403480529785
12-06-1987,6.75,6.75,6300.0,7.0,6.75,3.2982470989227295
15-06-1987,6.75,6.75,1500.0,6.75,6.75,3.2982470989227295
16-06-1987,6.75,6.75,11100.0,7.0,6.75,3.2982470989227295
17-06-1987,6.75,7.0,30700.0,7.0,7.0,3.420403480529785
18-06-1987,6.75,7.125,29300.0,7.375,7.125,3.481483221054077
19-06-1987,7.0,7.25,13400.0,7.25,7.25,3.5425634384155273
22-06-1987,7.0,7.25,7700.0,7.25,7.25,3.5425634384155273
23-06-1987,7.0,7.25,28000.0,7.25,7.25,3.5425634384155273
24-06-1987,7.0,7.0,12100.0,7.375,7.0,3.420403480529785
25-06-1987,7.0,7.0,500.0,7.0,7.0,3.420403480529785
26-06-1987,7.0,7.0,20100.0,7.5,7.0,3.420403480529785
29-06-1987,7.0,7.25,12100.0,7.5,7.25,3.5425634384155273
30-06-1987,7.375,7.375,100.0,7.375,7.375,3.60364031791687
01-07-1987,7.0,7.375,3800.0,7.375,7.375,3.60364031791687
02-07-1987,7.25,7.25,2100.0,7.375,7.25,3.5425634384155273
06-07-1987,7.0,7.0,300.0,7.0,7.0,3.420403480529785
07-07-1987,6.875,6.875,3800.0,7.375,6.875,3.359328031539917
08-07-1987,,,,,,
09-07-1987,6.875,6.875,3500.0,6.875,6.875,3.359328031539917
10-07-1987,6.75,7.25,2800.0,7.25,7.25,3.5425634384155273
13-07-1987,6.75,6.75,2900.0,7.25,6.75,3.2982470989227295
14-07-1987,7.125,7.125,100.0,7.125,7.125,3.481483221054077
15-07-1987,6.75,6.75,1300.0,6.75,6.75,3.2982470989227295
16-07-1987,6.875,6.875,8500.0,7.125,6.875,3.359328031539917
17-07-1987,6.625,6.625,1000.0,6.625,6.625,3.2371673583984375
20-07-1987,6.875,7.0,5400.0,7.0,7.0,3.420403480529785
21-07-1987,6.625,6.75,10000.0,7.0,6.75,3.2982470989227295
22-07-1987,6.625,6.625,2000.0,7.0,6.625,3.2371673583984375
23-07-1987,7.0,7.0,500.0,7.0,7.0,3.420403480529785
24-07-1987,6.625,7.0,6400.0,7.0,7.0,3.420403480529785
27-07-1987,6.625,6.625,500.0,6.625,6.625,3.270338773727417
28-07-1987,6.625,6.625,500.0,6.625,6.625,3.270338773727417
29-07-1987,6.25,6.5,11300.0,6.875,6.5,3.2086360454559326
30-07-1987,,,,,,
31-07-1987,6.25,6.25,1000.0,6.75,6.25,3.085225820541382
03-08-1987,6.25,6.25,900.0,6.75,6.25,3.085225820541382
04-08-1987,6.125,6.25,5000.0,6.25,6.25,3.085225820541382
05-08-1987,6.0,6.0,2000.0,6.0,6.0,2.9618160724639893
06-08-1987,6.0,6.0,11500.0,6.5,6.0,2.9618160724639893
07-08-1987,6.0,6.0,1800.0,6.5,6.0,2.9618160724639893
10-08-1987,,,,,,
11-08-1987,5.75,6.25,4000.0,6.5,6.25,3.085225820541382
12-08-1987,6.25,6.375,5500.0,6.5,6.375,3.14693021774292
13-08-1987,6.125,6.125,8800.0,6.5,6.125,3.023521661758423
14-08-1987,,,,,,
17-08-1987,6.5,6.5,200.0,6.5,6.5,3.2086360454559326
18-08-1987,6.5,6.5,1000.0,6.5,6.5,3.2086360454559326
19-08-1987,6.0,6.0,7900.0,6.375,6.0,2.9618160724639893
20-08-1987,5.75,5.75,14100.0,6.25,5.75,2.8384082317352295
21-08-1987,6.25,6.25,700.0,6.25,6.25,3.085225820541382
24-08-1987,6.0,6.0,6200.0,6.5,6.0,2.9618160724639893
25-08-1987,,,,,,
26-08-1987,,,,,,
27-08-1987,6.25,6.25,100.0,6.25,6.25,3.085225820541382
28-08-1987,5.75,6.25,1500.0,6.25,6.25,3.085225820541382
31-08-1987,,,,,,
01-09-1987,6.0,6.25,2700.0,6.25,6.25,3.085225820541382
02-09-1987,5.75,6.25,4400.0,6.25,6.25,3.085225820541382
03-09-1987,,,,,,
04-09-1987,5.5,5.5,1500.0,5.625,5.5,2.7149994373321533
08-09-1987,5.5,5.5,5500.0,6.0,5.5,2.7149994373321533
09-09-1987,5.625,5.625,1100.0,6.0,5.625,2.776704788208008
10-09-1987,5.5,5.5,1000.0,5.5,5.5,2.7149994373321533
11-09-1987,6.0,6.0,500.0,6.0,6.0,2.9618160724639893
14-09-1987,5.625,6.25,29700.0,6.25,6.25,3.085225820541382
15-09-1987,5.875,6.0,23000.0,6.0,6.0,2.9618160724639893
16-09-1987,5.875,5.875,1700.0,6.25,5.875,2.9001119136810303
17-09-1987,5.75,5.75,7500.0,6.125,5.75,2.8384082317352295
18-09-1987,5.75,6.125,2800.0,6.125,6.125,3.023521661758423
21-09-1987,5.75,5.75,100.0,5.75,5.75,2.8384082317352295
22-09-1987,,,,,,
23-09-1987,5.75,6.0,2300.0,6.125,6.0,2.9618160724639893
24-09-1987,6.125,6.125,200.0,6.125,6.125,3.023521661758423
25-09-1987,6.0,6.0,100.0,6.0,6.0,2.9618160724639893
28-09-1987,,,,,,
29-09-1987,5.75,5.75,6000.0,5.75,5.75,2.8384082317352295
30-09-1987,5.5,5.5,1500.0,5.5,5.5,2.7149994373321533
01-10-1987,5.5,5.5,1000.0,5.5,5.5,2.7149994373321533
02-10-1987,5.5,5.5,1000.0,5.5,5.5,2.7149994373321533
05-10-1987,5.5,5.5,1000.0,5.5,5.5,2.7149994373321533
06-10-1987,5.5,5.875,600.0,5.875,5.875,2.9001119136810303
07-10-1987,5.625,5.625,5500.0,5.625,5.625,2.776704788208008
08-10-1987,5.5,5.5,1000.0,5.5,5.5,2.7149994373321533
09-10-1987,5.5,5.5,1600.0,5.5,5.5,2.7149994373321533
12-10-1987,5.5,5.5,3500.0,5.5,5.5,2.7149994373321533
13-10-1987,5.25,5.5,4100.0,5.625,5.5,2.7149994373321533
14-10-1987,,,,,,
15-10-1987,,,,,,
16-10-1987,5.25,5.25,4600.0,5.25,5.25,2.5915892124176025
19-10-1987,4.75,4.75,3300.0,5.25,4.75,2.3447721004486084
20-10-1987,4.5,4.75,500.0,4.75,4.75,2.3447721004486084
21-10-1987,4.25,5.0,14200.0,5.0,5.0,2.4681811332702637
22-10-1987,4.75,5.0,24500.0,5.0,5.0,2.4681811332702637
23-10-1987,5.0,5.25,5100.0,5.25,5.25,2.5915892124176025
26-10-1987,4.75,4.75,1100.0,4.875,4.75,2.3801352977752686
27-10-1987,4.5,5.0,2200.0,5.0,5.0,2.505404472351074
28-10-1987,4.5,4.75,15500.0,5.0,4.75,2.3801352977752686
29-10-1987,4.5,4.75,3800.0,4.75,4.75,2.3801352977752686
30-10-1987,4.5,5.0,1000.0,5.0,5.0,2.505404472351074
02-11-1987,5.0,5.0,200.0,5.0,5.0,2.505404472351074
03-11-1987,4.5,4.5,2900.0,4.5,4.5,2.254863977432251
04-11-1987,,,,,,
05-11-1987,,,,,,
06-11-1987,4.875,5.0,3100.0,5.0,5.0,2.505404472351074
09-11-1987,,,,,,
10-11-1987,,,,,,
11-11-1987,4.5,4.5,200.0,4.5,4.5,2.254863977432251
12-11-1987,4.5,4.5,5400.0,5.0,4.5,2.254863977432251
13-11-1987,4.5,4.5,1100.0,5.0,4.5,2.254863977432251
16-11-1987,4.5,4.75,4800.0,5.0,4.75,2.3801352977752686
17-11-1987,4.5,4.5,1500.0,4.75,4.5,2.254863977432251
18-11-1987,4.75,5.0,3000.0,5.0,5.0,2.505404472351074
19-11-1987,4.25,4.5,4700.0,4.75,4.5,2.254863977432251
20-11-1987,4.25,4.5,12000.0,4.75,4.5,2.254863977432251
23-11-1987,4.0,4.5,35100.0,4.75,4.5,2.254863977432251
24-11-1987,4.25,4.5,29200.0,4.5,4.5,2.254863977432251
25-11-1987,4.25,4.5,7200.0,4.5,4.5,2.254863977432251
27-11-1987,4.25,4.5,2100.0,4.5,4.5,2.254863977432251
30-11-1987,4.25,4.5,5600.0,4.5,4.5,2.254863977432251
01-12-1987,4.25,4.5,5200.0,4.5,4.5,2.254863977432251
02-12-1987,4.25,4.75,27100.0,4.75,4.75,2.3801352977752686
03-12-1987,4.25,4.5,1700.0,4.5,4.5,2.254863977432251
04-12-1987,4.0,4.25,6300.0,4.75,4.25,2.129593849182129
07-12-1987,4.0,4.25,2800.0,4.25,4.25,2.129593849182129
08-12-1987,4.0,4.5,9700.0,4.75,4.5,2.254863977432251
09-12-1987,4.75,4.75,3000.0,4.75,4.75,2.3801352977752686
10-12-1987,4.75,4.75,25100.0,4.75,4.75,2.3801352977752686
11-12-1987,4.25,4.75,11300.0,4.75,4.75,2.3801352977752686
14-12-1987,4.0,4.75,8300.0,4.75,4.75,2.3801352977752686
15-12-1987,4.0,4.75,3200.0,4.75,4.75,2.3801352977752686
16-12-1987,3.75,4.5,5200.0,4.5,4.5,2.254863977432251
17-12-1987,4.0,4.5,1500.0,4.5,4.5,2.254863977432251
18-12-1987,3.75,4.5,10500.0,4.5,4.5,2.254863977432251
21-12-1987,3.75,4.25,4900.0,4.25,4.25,2.129593849182129
22-12-1987,3.75,3.75,16300.0,4.25,3.75,1.8790526390075684
23-12-1987,3.75,4.0,20000.0,4.25,4.0,2.004321813583374
24-12-1987,3.75,4.0,7800.0,4.25,4.0,2.004321813583374
28-12-1987,3.75,4.25,20000.0,4.25,4.25,2.129593849182129
29-12-1987,3.75,4.25,3200.0,4.25,4.25,2.129593849182129
30-12-1987,3.5,4.0,12000.0,4.25,4.0,2.004321813583374
31-12-1987,3.75,4.0,37300.0,4.25,4.0,2.004321813583374
04-01-1988,3.75,4.5,15800.0,4.5,4.5,2.254863977432251
05-01-1988,4.25,4.75,10500.0,4.75,4.75,2.3801352977752686
