Date,Low,Open,Volume,High,Close,Adjusted Close
28-02-1992,10.125,10.125,247900,10.5,10.5,0.6592298746109009
02-03-1992,10.375,10.375,144500,10.5,10.5,0.6592298746109009
03-03-1992,10.5,10.625,21800,10.625,10.5,0.6592298746109009
04-03-1992,10.375,10.5,163800,10.75,10.5,0.6592298746109009
05-03-1992,10.375,10.5,19800,10.5,10.375,0.6513813734054565
06-03-1992,10.375,10.375,22400,10.375,10.375,0.6513813734054565
09-03-1992,10.5,10.5,2300,10.5,10.5,0.6592298746109009
10-03-1992,10.0,10.375,19300,10.5,10.5,0.6592298746109009
11-03-1992,10.375,10.5,92800,10.5,10.5,0.6592298746109009
12-03-1992,10.375,10.5,19500,10.5,10.5,0.6592298746109009
13-03-1992,10.5,10.5,9000,10.5,10.5,0.6592298746109009
16-03-1992,10.5,10.5,10000,10.625,10.5,0.6592298746109009
17-03-1992,10.375,10.5,8600,10.5,10.5,0.6592298746109009
18-03-1992,10.5,10.5,1000,10.5,10.5,0.6592298746109009
19-03-1992,10.375,10.375,16500,10.375,10.375,0.6513813734054565
20-03-1992,10.375,10.5,14200,10.5,10.375,0.6513813734054565
23-03-1992,10.5,10.5,3100,10.5,10.5,0.6592298746109009
24-03-1992,10.375,10.5,38400,10.75,10.75,0.6749251484870911
25-03-1992,10.625,10.625,6400,10.75,10.625,0.6683202385902405
26-03-1992,10.75,10.875,55000,11.0,10.75,0.67618328332901
27-03-1992,10.5,10.875,23200,10.875,10.625,0.6683202385902405
30-03-1992,10.5,10.5,7200,10.875,10.875,0.6840460300445557
31-03-1992,10.75,10.875,9700,10.875,10.875,0.6840460300445557
01-04-1992,10.75,10.875,6600,10.875,10.75,0.67618328332901
02-04-1992,10.75,10.75,5600,10.75,10.75,0.67618328332901
03-04-1992,10.625,10.625,9200,10.75,10.75,0.67618328332901
06-04-1992,10.75,10.75,7400,10.875,10.875,0.6840460300445557
07-04-1992,10.75,11.0,7700,11.0,10.75,0.67618328332901
08-04-1992,10.75,10.75,40100,10.875,10.875,0.6840460300445557
09-04-1992,10.875,11.0,18600,11.0,10.875,0.6840460300445557
10-04-1992,11.0,11.0,4200,11.0,11.0,0.6919084191322327
13-04-1992,10.75,11.0,2100,11.0,10.75,0.67618328332901
14-04-1992,10.75,10.75,3100,10.75,10.75,0.67618328332901
15-04-1992,10.5,10.75,14600,10.75,10.5,0.6604582667350769
16-04-1992,10.5,10.5,0,10.5,10.5,0.6604582667350769
20-04-1992,10.625,10.625,1000,10.625,10.625,0.6683202385902405
21-04-1992,10.625,10.625,6100,10.75,10.75,0.67618328332901
22-04-1992,10.625,10.625,1800,10.75,10.75,0.67618328332901
23-04-1992,10.5,10.625,10400,10.625,10.625,0.6683202385902405
24-04-1992,10.5,10.5,4900,10.5,10.5,0.6771557927131653
27-04-1992,10.375,10.375,1200,10.5,10.5,0.6771557927131653
28-04-1992,10.5,10.5,0,10.5,10.5,0.6771557927131653
