Date,Low,Open,Volume,High,Close,Adjusted Close
17-02-1989,10.0,0.0,128400,10.0,10.0,1.0659904479980469
21-02-1989,10.0,0.0,23400,10.0,10.0,1.0659904479980469
22-02-1989,10.0,0.0,17800,10.0,10.0,1.0659904479980469
23-02-1989,10.0,0.0,18000,10.0,10.0,1.0659904479980469
24-02-1989,10.0,0.0,14300,10.0,10.0,1.0659904479980469
27-02-1989,10.0,0.0,43900,10.0,10.0,1.0659904479980469
28-02-1989,10.0,0.0,11100,10.0,10.0,1.0659904479980469
01-03-1989,10.0,0.0,11300,10.0,10.0,1.0659904479980469
02-03-1989,10.0,0.0,7900,10.0,10.0,1.0659904479980469
03-03-1989,10.0,0.0,19600,10.0,10.0,1.0659904479980469
06-03-1989,10.0,0.0,40500,10.0,10.0,1.0659904479980469
07-03-1989,10.0,0.0,12600,10.0,10.0,1.0659904479980469
08-03-1989,10.0,0.0,17700,10.0,10.0,1.0659904479980469
09-03-1989,10.0,0.0,7800,10.0,10.0,1.0659904479980469
10-03-1989,10.0,0.0,5900,10.0,10.0,1.0659904479980469
13-03-1989,10.0,0.0,26400,10.0,10.0,1.0659904479980469
14-03-1989,10.0,0.0,12500,10.0,10.0,1.0659904479980469
15-03-1989,10.0,0.0,54700,10.0,10.0,1.0659904479980469
16-03-1989,10.0,0.0,48900,10.0,10.0,1.0659904479980469
17-03-1989,10.0,0.0,35600,10.0,10.0,1.0659904479980469
20-03-1989,10.0,0.0,39300,10.0,10.0,1.0659904479980469
21-03-1989,10.0,0.0,59600,10.0,10.0,1.0659904479980469
22-03-1989,10.0,0.0,19400,10.0,10.0,1.0659904479980469
23-03-1989,10.0,0.0,52600,10.0,10.0,1.0659904479980469
27-03-1989,9.875,0.0,40800,10.0,9.875,1.0526636838912964
28-03-1989,9.875,0.0,65600,9.875,9.875,1.0526636838912964
29-03-1989,9.875,0.0,19600,10.0,10.0,1.0659904479980469
30-03-1989,9.875,0.0,69100,9.875,9.875,1.0526636838912964
31-03-1989,9.875,0.0,56500,9.875,9.875,1.0526636838912964
