Date,Low,Open,Volume,High,Close,Adjusted Close
19-05-1989,12.0,0.0,172100,12.0,12.0,1.6565868854522705
22-05-1989,12.125,0.0,4300,12.125,12.125,1.6738413572311401
23-05-1989,12.0,0.0,4400,12.125,12.125,1.6738413572311401
24-05-1989,12.0,0.0,2800,12.125,12.0,1.6565868854522705
25-05-1989,12.0,0.0,5200,12.125,12.0,1.6565868854522705
26-05-1989,12.0,0.0,17400,12.125,12.125,1.6738413572311401
30-05-1989,12.0,0.0,6600,12.125,12.0,1.6565868854522705
31-05-1989,12.0,0.0,7200,12.125,12.125,1.6738413572311401
01-06-1989,12.0,0.0,1300,12.125,12.0,1.6565868854522705
02-06-1989,12.0,0.0,16300,12.125,12.125,1.6738413572311401
05-06-1989,12.0,0.0,8200,12.125,12.125,1.6738413572311401
06-06-1989,12.0,0.0,4100,12.125,12.0,1.6565868854522705
07-06-1989,12.0,0.0,17300,12.125,12.0,1.6565868854522705
08-06-1989,12.0,0.0,13500,12.0,12.0,1.6565868854522705
09-06-1989,12.0,0.0,23100,12.125,12.0,1.6565868854522705
12-06-1989,12.0,0.0,6200,12.125,12.0,1.6565868854522705
13-06-1989,12.0,0.0,22700,12.0,12.0,1.6565868854522705
14-06-1989,12.0,0.0,6500,12.0,12.0,1.6565868854522705
15-06-1989,11.875,0.0,17300,12.0,11.875,1.6393307447433472
16-06-1989,11.875,0.0,2700,12.0,11.875,1.6393307447433472
19-06-1989,11.625,0.0,55900,11.75,11.625,1.6048178672790527
20-06-1989,11.5,0.0,18000,11.625,11.5,1.5875616073608398
21-06-1989,11.5,0.0,17600,11.75,11.5,1.5875616073608398
22-06-1989,11.5,0.0,10200,11.625,11.5,1.5875616073608398
23-06-1989,11.5,0.0,22000,11.625,11.5,1.5875616073608398
26-06-1989,11.5,0.0,8000,11.625,11.625,1.6048178672790527
27-06-1989,11.625,0.0,7300,11.75,11.75,1.6220731735229492
28-06-1989,11.625,0.0,29200,11.875,11.75,1.6220731735229492
29-06-1989,11.75,0.0,7800,11.875,11.75,1.6220731735229492
30-06-1989,11.75,11.75,3200,11.875,11.875,1.6393307447433472
03-07-1989,11.75,11.75,100,11.75,11.75,1.6220731735229492
05-07-1989,11.75,11.75,15200,11.875,11.75,1.6220731735229492
06-07-1989,11.75,11.75,13700,11.75,11.75,1.6220731735229492
07-07-1989,11.75,11.875,17500,11.875,11.75,1.6220731735229492
10-07-1989,11.875,11.875,13700,12.0,12.0,1.6565868854522705
11-07-1989,11.875,11.875,23800,11.875,11.875,1.6482586860656738
12-07-1989,11.875,11.875,19500,11.875,11.875,1.6482586860656738
13-07-1989,11.875,11.875,15700,11.875,11.875,1.6482586860656738
14-07-1989,11.875,11.875,5500,12.0,12.0,1.6656075716018677
17-07-1989,11.875,11.875,77800,12.0,11.875,1.6482586860656738
18-07-1989,11.875,11.875,6900,12.0,11.875,1.6482586860656738
19-07-1989,11.875,11.875,13700,11.875,11.875,1.6482586860656738
20-07-1989,11.875,11.875,22500,11.875,11.875,1.6482586860656738
21-07-1989,11.875,11.875,16900,12.0,12.0,1.6656075716018677
24-07-1989,11.875,11.875,3400,12.0,12.0,1.6656075716018677
25-07-1989,11.875,12.0,9700,12.0,11.875,1.6482586860656738
26-07-1989,11.875,11.875,3700,12.0,12.0,1.6656075716018677
27-07-1989,11.875,12.0,5500,12.0,11.875,1.6482586860656738
28-07-1989,11.875,11.875,2500,12.0,12.0,1.6656075716018677
31-07-1989,12.0,12.0,3900,12.0,12.0,1.6656075716018677
01-08-1989,12.0,12.0,11800,12.0,12.0,1.6656075716018677
02-08-1989,12.0,12.0,23300,12.125,12.125,1.6829577684402466
03-08-1989,12.0,12.0,6900,12.125,12.0,1.6656075716018677
04-08-1989,12.0,12.0,2100,12.0,12.0,1.6656075716018677
07-08-1989,12.0,12.0,7800,12.0,12.0,1.6656075716018677
08-08-1989,12.0,12.125,4700,12.125,12.0,1.6656075716018677
09-08-1989,11.875,11.875,1600,12.0,11.875,1.6577917337417603
10-08-1989,11.875,11.875,8300,11.875,11.875,1.6577917337417603
11-08-1989,11.875,11.875,3500,11.875,11.875,1.6577917337417603
14-08-1989,11.875,11.875,5200,12.0,12.0,1.6752400398254395
15-08-1989,11.875,11.875,9400,12.0,12.0,1.6752400398254395
16-08-1989,11.875,11.875,8200,12.0,12.0,1.6752400398254395
17-08-1989,11.875,11.875,22600,12.0,11.875,1.6577917337417603
18-08-1989,11.875,11.875,12700,12.0,11.875,1.6577917337417603
21-08-1989,11.875,12.0,20000,12.0,11.875,1.6577917337417603
22-08-1989,11.875,12.0,4900,12.0,11.875,1.6577917337417603
23-08-1989,11.75,11.75,8500,11.875,11.75,1.6403388977050781
24-08-1989,11.75,11.75,8100,11.875,11.75,1.6403388977050781
25-08-1989,11.75,11.75,6300,11.875,11.75,1.6403388977050781
28-08-1989,11.75,11.75,1400,11.875,11.875,1.6577917337417603
29-08-1989,11.875,11.875,3400,11.875,11.875,1.6577917337417603
