Date,Low,Open,Volume,High,Close,Adjusted Close
30-03-1998,30.0,30.0,29467,30.5625,30.375,1.24423086643219
31-03-1998,30.1875,30.5625,28900,30.5625,30.375,1.24423086643219
01-04-1998,30.1875,30.375,33733,30.75,30.5625,1.2519121170043945
02-04-1998,30.375,30.5625,32267,30.75,30.75,1.2595915794372559
03-04-1998,30.375,31.125,37933,31.125,30.375,1.24423086643219
06-04-1998,30.375,30.375,18033,30.5625,30.5625,1.2519121170043945
07-04-1998,30.1875,30.5625,36267,30.5625,30.375,1.24423086643219
08-04-1998,30.1875,30.375,16600,30.5625,30.5625,1.2519121170043945
09-04-1998,30.375,30.5625,22000,30.9375,30.75,1.2595915794372559
13-04-1998,30.375,30.5625,20167,30.9375,30.5625,1.2519121170043945
14-04-1998,30.5625,30.75,17333,30.9375,30.75,1.2595915794372559
15-04-1998,30.5625,30.75,24333,31.3125,31.3125,1.2826340198516846
16-04-1998,30.75,31.125,28633,31.3125,31.125,1.2749545574188232
17-04-1998,30.9375,31.125,18100,31.3125,31.125,1.2749545574188232
20-04-1998,30.5625,30.75,20333,31.125,30.75,1.2595915794372559
21-04-1998,30.5625,30.75,7733,30.75,30.5625,1.2519121170043945
22-04-1998,30.5625,30.75,15333,30.9375,30.75,1.2595915794372559
23-04-1998,30.375,30.75,14100,30.75,30.375,1.24423086643219
24-04-1998,30.1875,30.5625,13333,30.5625,30.1875,1.2365505695343018
27-04-1998,30.0,30.1875,13167,30.1875,30.1875,1.2365505695343018
28-04-1998,29.8125,30.1875,21800,30.1875,30.1875,1.2365505695343018
29-04-1998,30.1875,30.1875,8867,30.375,30.1875,1.2365505695343018
30-04-1998,30.1875,30.375,15467,30.75,30.75,1.2595915794372559
01-05-1998,30.375,30.5625,10433,30.9375,30.9375,1.2672721147537231
04-05-1998,30.5625,30.75,13233,30.9375,30.75,1.2595915794372559
05-05-1998,30.375,30.5625,9367,30.75,30.5625,1.2519121170043945
06-05-1998,30.375,30.375,10533,30.75,30.75,1.2595915794372559
07-05-1998,30.375,30.75,15000,30.9375,30.9375,1.2672721147537231
08-05-1998,30.375,30.9375,9967,30.9375,30.75,1.2595915794372559
