Date,Low,Open,Volume,High,Close,Adjusted Close
28-10-1998,10.0,10.0,595300,10.0625,10.0,1.9443063735961914
29-10-1998,10.0,10.0,55800,10.0625,10.0625,1.956457257270813
30-10-1998,10.0,10.0625,43200,10.0625,10.0,1.9443063735961914
02-11-1998,10.0,10.0,85400,10.0625,10.0,1.9443063735961914
03-11-1998,10.0,10.0,111400,10.0625,10.0625,1.956457257270813
04-11-1998,10.0,10.0625,97500,10.0625,10.0,1.9443063735961914
05-11-1998,10.0,10.0,90900,10.0625,10.0625,1.956457257270813
06-11-1998,10.0,10.0,95900,10.0625,10.0,1.9443063735961914
09-11-1998,10.0,10.0625,73300,10.125,10.0625,1.956457257270813
10-11-1998,10.0,10.0625,51400,10.125,10.0,1.9443063735961914
11-11-1998,10.0,10.0625,100400,10.125,10.0625,1.956457257270813
12-11-1998,10.0,10.0625,39300,10.0625,10.0625,1.956457257270813
13-11-1998,10.0,10.0625,60900,10.0625,10.0,1.9443063735961914
16-11-1998,10.0,10.0,41900,10.0625,10.0,1.9443063735961914
17-11-1998,10.0,10.0625,28800,10.125,10.0625,1.956457257270813
18-11-1998,10.0,10.0625,24900,10.125,10.0625,1.956457257270813
19-11-1998,10.0,10.0,239000,10.0625,10.0,1.9443063735961914
20-11-1998,10.0,10.0,161700,10.0625,10.0,1.9443063735961914
23-11-1998,10.0,10.0,200600,10.0625,10.0625,1.956457257270813
24-11-1998,10.0,10.0,135600,10.0625,10.0,1.9443063735961914
25-11-1998,10.0,10.0,49300,10.0625,10.0,1.9443063735961914
27-11-1998,10.0,10.0,53900,10.0625,10.0,1.9443063735961914
30-11-1998,10.0,10.0625,190700,10.0625,10.0625,1.956457257270813
01-12-1998,10.0,10.0625,64000,10.0625,10.0625,1.956457257270813
02-12-1998,10.0,10.0,54300,10.0625,10.0,1.9443063735961914
03-12-1998,10.0,10.0,63000,10.0625,10.0625,1.956457257270813
04-12-1998,10.0,10.0,76700,10.0625,10.0,1.9443063735961914
07-12-1998,10.0,10.0625,103400,10.0625,10.0,1.9443063735961914
08-12-1998,10.0,10.0625,83000,10.0625,10.0,1.9443063735961914
09-12-1998,10.0,10.0625,85200,10.0625,10.0625,1.956457257270813
10-12-1998,10.0,10.0,55500,10.0625,10.0625,1.956457257270813
11-12-1998,10.0,10.0,105400,10.0625,10.0,1.9443063735961914
14-12-1998,10.0,10.0,55100,10.0625,10.0,1.9443063735961914
15-12-1998,10.0,10.0,97200,10.0625,10.0,1.9443063735961914
16-12-1998,10.0,10.0,169200,10.0625,10.0,1.9443063735961914
17-12-1998,9.9375,10.0,266100,10.0625,10.0,1.9443063735961914
18-12-1998,9.75,10.0,163800,10.0,9.75,1.8956992626190186
21-12-1998,9.75,9.8125,80200,9.9375,9.8125,1.907850742340088
22-12-1998,9.75,9.75,93800,9.875,9.75,1.8956992626190186
23-12-1998,9.75,9.8125,132100,9.875,9.8125,1.907850742340088
24-12-1998,9.75,9.8125,31800,9.875,9.875,1.920003890991211
28-12-1998,9.625,9.875,175100,9.875,9.8125,1.907850742340088
29-12-1998,9.625,9.75,95200,9.8125,9.75,1.9203587770462036
30-12-1998,9.5,9.6875,97400,9.6875,9.625,1.8957380056381226
31-12-1998,9.25,9.5625,161700,9.5625,9.4375,1.858808159828186
04-01-1999,9.3125,9.4375,127900,9.5,9.375,1.8464992046356201
05-01-1999,9.3125,9.375,196900,9.8125,9.8125,1.9326673746109009
06-01-1999,9.375,9.8125,371100,10.0625,9.5,1.871117353439331
07-01-1999,9.4375,9.5,104200,9.625,9.625,1.8957380056381226
08-01-1999,9.5625,9.6875,172600,9.75,9.625,1.8957380056381226
11-01-1999,9.5,9.6875,134000,9.6875,9.5,1.871117353439331
12-01-1999,9.4375,9.5,177300,9.625,9.625,1.8957380056381226
13-01-1999,9.4375,9.5625,85900,9.5625,9.5,1.871117353439331
14-01-1999,9.4375,9.5,138200,9.625,9.625,1.8957380056381226
15-01-1999,9.5,9.5625,105100,9.6875,9.5,1.871117353439331
19-01-1999,9.3125,9.5625,345500,9.5625,9.3125,1.8341902494430542
20-01-1999,9.25,9.3125,189600,9.4375,9.3125,1.8341902494430542
21-01-1999,9.3125,9.3125,106800,9.375,9.375,1.8464992046356201
22-01-1999,9.375,9.375,147100,9.4375,9.375,1.8464992046356201
25-01-1999,9.375,9.4375,137100,9.5625,9.5625,1.8834280967712402
26-01-1999,9.4375,9.5625,172800,9.5625,9.5,1.871117353439331
