Date,Low,Open,Volume,High,Close,Adjusted Close
16-11-1993,12.25,12.375,114700,12.375,12.25,1.0027740001678467
17-11-1993,12.375,12.375,230100,12.5,12.5,1.0232393741607666
18-11-1993,12.375,12.5,69000,12.5,12.375,1.0130064487457275
19-11-1993,12.375,12.375,197600,12.375,12.375,1.0130064487457275
22-11-1993,12.375,12.375,139000,12.375,12.375,1.0130064487457275
23-11-1993,12.375,12.5,93700,12.5,12.375,1.0130064487457275
24-11-1993,12.375,12.375,30400,12.375,12.375,1.0130064487457275
26-11-1993,12.375,12.375,4100,12.5,12.5,1.0232393741607666
29-11-1993,12.375,12.5,51000,12.5,12.375,1.0130064487457275
30-11-1993,12.375,12.5,111700,12.5,12.5,1.0232393741607666
01-12-1993,12.375,12.5,43800,12.5,12.375,1.0130064487457275
02-12-1993,12.375,12.5,29100,12.5,12.375,1.0130064487457275
03-12-1993,12.375,12.375,44700,12.5,12.375,1.0130064487457275
06-12-1993,12.25,12.5,56800,12.5,12.375,1.0130064487457275
07-12-1993,12.375,12.5,39400,12.5,12.5,1.0232393741607666
08-12-1993,12.375,12.5,46600,12.5,12.5,1.0232393741607666
09-12-1993,12.375,12.5,59200,12.5,12.375,1.0130064487457275
10-12-1993,12.375,12.5,56700,12.5,12.5,1.0232393741607666
13-12-1993,12.375,12.5,31600,12.5,12.5,1.0232393741607666
14-12-1993,12.375,12.5,68500,12.5,12.375,1.0130064487457275
15-12-1993,12.375,12.375,107100,12.5,12.5,1.0232393741607666
16-12-1993,12.375,12.5,116000,12.5,12.5,1.0311588048934937
17-12-1993,12.375,12.5,90300,12.5,12.375,1.025275468826294
20-12-1993,12.25,12.5,58200,12.5,12.25,1.0149192810058594
21-12-1993,11.75,12.375,124600,12.375,12.25,1.0149192810058594
22-12-1993,12.0,12.375,87800,12.375,12.25,1.0149192810058594
23-12-1993,12.0,12.125,77700,12.375,12.25,1.0149192810058594
27-12-1993,12.125,12.25,81400,12.5,12.5,1.0356327295303345
28-12-1993,12.25,12.5,98100,12.5,12.375,1.025275468826294
29-12-1993,12.25,12.25,85400,12.375,12.375,1.025275468826294
30-12-1993,12.25,12.375,402500,12.625,12.5,1.0356327295303345
31-12-1993,12.25,12.5,38900,12.5,12.375,1.025275468826294
03-01-1994,12.25,12.375,90400,12.5,12.25,1.0149192810058594
04-01-1994,12.25,12.375,172700,12.625,12.625,1.0459879636764526
05-01-1994,12.5,12.5,222600,12.625,12.625,1.0459879636764526
06-01-1994,12.5,12.5,135200,12.625,12.625,1.0459879636764526
07-01-1994,12.5,12.5,159600,12.625,12.625,1.0459879636764526
10-01-1994,12.5,12.5,144800,12.75,12.625,1.0459879636764526
11-01-1994,12.375,12.5,128800,12.5,12.5,1.0435680150985718
12-01-1994,12.375,12.5,117500,12.875,12.5,1.0435680150985718
13-01-1994,12.375,12.5,91300,12.5,12.5,1.0435680150985718
14-01-1994,12.375,12.5,103400,12.625,12.5,1.0435680150985718
17-01-1994,12.375,12.5,146100,12.625,12.625,1.054003357887268
18-01-1994,12.25,12.5,150900,12.625,12.5,1.0435680150985718
19-01-1994,12.375,12.5,129900,12.5,12.375,1.0331321954727173
20-01-1994,12.125,12.5,180600,12.5,12.375,1.0331321954727173
21-01-1994,12.25,12.5,205300,12.5,12.5,1.0435680150985718
24-01-1994,12.25,12.375,86700,12.75,12.5,1.0435680150985718
25-01-1994,12.375,12.5,106300,12.625,12.625,1.054003357887268
26-01-1994,12.5,12.625,97500,12.625,12.5,1.0435680150985718
27-01-1994,12.5,12.625,310700,12.75,12.5,1.0435680150985718
28-01-1994,12.5,12.625,195100,12.75,12.625,1.054003357887268
31-01-1994,12.5,12.625,227500,12.625,12.625,1.054003357887268
01-02-1994,12.5,12.625,119600,12.625,12.625,1.054003357887268
02-02-1994,12.375,12.625,114300,12.625,12.625,1.054003357887268
03-02-1994,12.375,12.5,101800,12.625,12.5,1.0435680150985718
04-02-1994,12.375,12.625,173400,12.625,12.5,1.0435680150985718
07-02-1994,12.375,12.5,148700,12.75,12.375,1.0331321954727173
08-02-1994,12.0,12.375,142500,12.625,12.375,1.0331321954727173
09-02-1994,12.375,12.375,84500,12.5,12.5,1.0517261028289795
10-02-1994,12.25,12.5,94900,12.625,12.375,1.0412079095840454
11-02-1994,12.375,12.5,66700,12.5,12.375,1.0412079095840454
14-02-1994,12.25,12.5,174300,12.5,12.5,1.0517261028289795
15-02-1994,12.25,12.375,165700,12.5,12.25,1.0306921005249023
16-02-1994,12.125,12.25,150200,12.5,12.25,1.0306921005249023
17-02-1994,12.0,12.25,271400,12.25,12.125,1.020174264907837
18-02-1994,12.0,12.125,133900,12.25,12.0,1.0096567869186401
22-02-1994,12.0,12.25,92100,12.25,12.125,1.020174264907837
