Date,Low,Open,Volume,High,Close,Adjusted Close
24-10-1988,12.0,0.0,86800,12.125,12.0,1.5055515766143799
25-10-1988,12.0,0.0,89000,12.0,12.0,1.5055515766143799
26-10-1988,12.0,0.0,121900,12.0,12.0,1.5055515766143799
27-10-1988,12.0,0.0,156000,12.0,12.0,1.5055515766143799
28-10-1988,12.0,0.0,71800,12.125,12.0,1.5055515766143799
31-10-1988,12.0,0.0,54000,12.0,12.0,1.5055515766143799
01-11-1988,12.0,0.0,32600,12.0,12.0,1.5055515766143799
02-11-1988,12.0,0.0,24300,12.0,12.0,1.5055515766143799
03-11-1988,12.0,0.0,20100,12.0,12.0,1.5055515766143799
04-11-1988,12.0,0.0,31100,12.0,12.0,1.5055515766143799
07-11-1988,12.0,0.0,19900,12.0,12.0,1.5055515766143799
08-11-1988,12.0,0.0,43000,12.0,12.0,1.5055515766143799
09-11-1988,12.0,0.0,15700,12.0,12.0,1.5055515766143799
10-11-1988,12.0,0.0,13200,12.125,12.125,1.5212329626083374
11-11-1988,12.0,0.0,26300,12.125,12.0,1.5055515766143799
14-11-1988,12.0,0.0,30400,12.125,12.0,1.5055515766143799
15-11-1988,12.0,0.0,25000,12.125,12.0,1.5055515766143799
16-11-1988,12.0,0.0,34800,12.125,12.0,1.5055515766143799
17-11-1988,12.0,0.0,58000,12.125,12.0,1.5055515766143799
18-11-1988,12.0,0.0,29700,12.125,12.0,1.5055515766143799
21-11-1988,12.0,0.0,32000,12.125,12.0,1.5055515766143799
22-11-1988,12.0,0.0,57400,12.125,12.0,1.5055515766143799
23-11-1988,12.0,0.0,25500,12.125,12.0,1.5055515766143799
25-11-1988,12.0,0.0,2300,12.125,12.0,1.5055515766143799
28-11-1988,12.0,0.0,168700,12.125,12.0,1.5055515766143799
29-11-1988,12.0,0.0,162000,12.125,12.0,1.5055515766143799
30-11-1988,12.0,0.0,96900,12.125,12.0,1.5055515766143799
01-12-1988,12.0,0.0,91800,12.125,12.0,1.5055515766143799
02-12-1988,12.0,0.0,156400,12.125,12.0,1.5055515766143799
05-12-1988,12.0,0.0,32800,12.125,12.0,1.5055515766143799
06-12-1988,12.0,0.0,34700,12.125,12.125,1.5212329626083374
07-12-1988,12.0,0.0,75600,12.125,12.125,1.5212329626083374
08-12-1988,12.0,0.0,23600,12.125,12.125,1.5212329626083374
09-12-1988,12.0,0.0,33100,12.125,12.0,1.5055515766143799
12-12-1988,12.0,0.0,44800,12.125,12.0,1.5055515766143799
13-12-1988,12.0,0.0,55700,12.125,12.0,1.5055515766143799
14-12-1988,12.0,0.0,47800,12.125,12.0,1.5055515766143799
15-12-1988,12.0,0.0,37800,12.125,12.0,1.5055515766143799
