Date,Low,Open,Volume,High,Close,Adjusted Close
28-01-1994,20.75,21.0,719200,22.5,21.625,4.266330718994141
31-01-1994,21.125,21.5,86900,21.625,21.375,4.217010974884033
01-02-1994,21.125,21.25,56900,21.375,21.25,4.192348480224609
02-02-1994,21.25,21.25,43600,21.5,21.25,4.192348480224609
03-02-1994,21.25,21.25,42900,21.5,21.5,4.241672515869141
04-02-1994,21.125,21.25,56500,21.5,21.125,4.167688369750977
07-02-1994,21.125,21.125,40900,21.5,21.375,4.217010974884033
08-02-1994,21.5,21.5,205400,22.25,22.0,4.340315341949463
09-02-1994,22.125,22.125,76900,22.75,22.25,4.3896355628967285
10-02-1994,22.25,22.25,42500,23.0,23.0,4.53760290145874
11-02-1994,22.875,22.875,49400,23.875,23.5,4.636246681213379
14-02-1994,23.25,23.25,97400,24.5,23.875,4.710226058959961
15-02-1994,23.125,23.75,62100,24.0,23.125,4.562260150909424
16-02-1994,23.125,23.125,26700,23.625,23.375,4.611584186553955
17-02-1994,23.625,23.625,8900,24.125,24.125,4.759549140930176
18-02-1994,24.0,24.125,27900,24.375,24.25,4.784210681915283
22-02-1994,23.75,24.0,25000,24.125,23.75,4.68556547164917
23-02-1994,23.25,24.0,48100,24.0,23.375,4.611584186553955
24-02-1994,23.0,23.25,48500,23.875,23.25,4.586921215057373
25-02-1994,22.75,23.0,36000,23.0,22.875,4.512938022613525
28-02-1994,22.5,23.125,14500,23.125,22.625,4.463618278503418
01-03-1994,22.5,22.625,74900,23.25,23.0,4.53760290145874
02-03-1994,23.0,23.25,21700,23.75,23.5,4.636246681213379
03-03-1994,23.0,23.5,8600,23.5,23.0,4.53760290145874
04-03-1994,22.75,23.25,5000,23.25,23.0,4.53760290145874
07-03-1994,22.75,22.75,13200,23.125,22.875,4.512938022613525
08-03-1994,22.25,22.75,9800,22.75,22.625,4.463618278503418
09-03-1994,22.5,22.625,38700,22.625,22.5,4.438958644866943
10-03-1994,22.25,22.375,28800,22.5,22.5,4.438958644866943
11-03-1994,22.0,22.125,5800,22.125,22.0,4.340315341949463
14-03-1994,22.0,22.0,59900,23.75,23.25,4.586921215057373
15-03-1994,22.875,23.5,4400,23.5,22.875,4.512938022613525
16-03-1994,23.0,23.0,10800,23.5,23.375,4.611584186553955
17-03-1994,23.25,23.25,18900,23.5,23.5,4.636246681213379
18-03-1994,23.25,23.625,7400,23.625,23.25,4.586921215057373
21-03-1994,23.125,23.25,4100,23.25,23.25,4.586921215057373
22-03-1994,23.125,23.125,33600,23.625,23.25,4.586921215057373
23-03-1994,23.25,23.375,1900,23.5,23.375,4.611584186553955
24-03-1994,23.5,23.5,18400,24.0,24.0,4.73488712310791
25-03-1994,23.75,23.75,5300,24.0,23.75,4.68556547164917
28-03-1994,23.25,23.625,11500,23.625,23.5,4.636246681213379
29-03-1994,23.25,23.875,4200,23.875,23.25,4.586921215057373
30-03-1994,23.0,23.125,20600,23.125,23.125,4.562260150909424
31-03-1994,23.0,23.0,14200,23.125,23.125,4.562260150909424
04-04-1994,22.75,23.0,29900,23.125,22.75,4.488278388977051
05-04-1994,22.75,23.0,1500,23.125,23.125,4.562260150909424
06-04-1994,23.0,23.125,5100,23.125,23.125,4.562260150909424
07-04-1994,23.25,23.25,3800,23.5,23.375,4.611584186553955
08-04-1994,23.125,23.5,9900,23.5,23.375,4.611584186553955
11-04-1994,23.375,23.375,900,23.5,23.5,4.636246681213379
12-04-1994,23.25,23.25,1600,23.25,23.25,4.586921215057373
13-04-1994,23.25,23.5,7100,23.5,23.25,4.586921215057373
14-04-1994,23.25,23.375,1300,23.375,23.375,4.611584186553955
15-04-1994,23.25,23.375,10800,23.75,23.75,4.68556547164917
18-04-1994,23.375,23.5,9900,23.625,23.375,4.611584186553955
19-04-1994,23.125,23.25,40200,23.375,23.125,4.562260150909424
20-04-1994,22.875,23.125,22400,23.125,22.875,4.512938022613525
21-04-1994,23.125,23.125,4400,23.375,23.375,4.611584186553955
22-04-1994,23.125,23.25,72100,24.0,24.0,4.73488712310791
25-04-1994,24.0,24.25,19200,24.375,24.0,4.73488712310791
26-04-1994,23.875,23.875,1100,24.0,24.0,4.786744117736816
28-04-1994,24.0,24.0,4000,24.5,24.375,4.861537933349609
