Date,Low,Open,Volume,High,Close,Adjusted Close
04-11-1992,15.0,15.0,1600,15.0,15.0,3.0195677280426025
05-11-1992,15.0,15.0,700,15.0,15.0,3.0195677280426025
06-11-1992,15.0,15.0,1300,15.0,15.0,3.0195677280426025
09-11-1992,15.0,15.0,4600,15.125,15.125,3.0447306632995605
10-11-1992,15.0,15.0,14100,15.0,15.0,3.0195677280426025
11-11-1992,15.0,15.0,22200,15.125,15.0,3.0195677280426025
12-11-1992,15.0,15.0,7400,15.0,15.0,3.0195677280426025
13-11-1992,15.0,15.0,16500,15.0,15.0,3.0195677280426025
16-11-1992,15.0,15.125,14200,16.0,15.0,3.0195677280426025
17-11-1992,15.0,15.0,5500,15.0,15.0,3.0195677280426025
18-11-1992,15.0,15.0,8700,15.0,15.0,3.0195677280426025
19-11-1992,15.0,15.0,18100,15.125,15.0,3.0195677280426025
20-11-1992,15.0,15.0,20000,15.125,15.0,3.0195677280426025
23-11-1992,15.0,15.0,7100,15.0,15.0,3.0195677280426025
24-11-1992,15.0,15.0,7500,15.125,15.125,3.0447306632995605
25-11-1992,15.0,15.0,7300,15.0,15.0,3.0195677280426025
27-11-1992,15.0,15.0,8300,15.0,15.0,3.0195677280426025
30-11-1992,15.0,15.125,12100,15.125,15.0,3.0195677280426025
01-12-1992,15.0,15.0,6200,15.125,15.0,3.0195677280426025
02-12-1992,15.0,15.0,6300,15.125,15.0,3.0195677280426025
03-12-1992,15.0,15.0,5600,15.0,15.0,3.0195677280426025
04-12-1992,15.125,15.125,6100,15.25,15.125,3.0447306632995605
07-12-1992,15.0,15.125,2200,15.25,15.0,3.0195677280426025
08-12-1992,15.0,15.125,5700,15.125,15.125,3.0447306632995605
09-12-1992,15.0,15.0,2100,15.125,15.125,3.0447306632995605
10-12-1992,15.0,15.0,6100,15.0,15.0,3.0195677280426025
11-12-1992,15.0,15.0,7200,15.125,15.0,3.0195677280426025
14-12-1992,15.0,15.0,10400,15.125,15.0,3.0195677280426025
15-12-1992,15.0,15.0,10100,15.125,15.125,3.0447306632995605
16-12-1992,15.0,15.0,20200,15.125,15.0,3.0195677280426025
17-12-1992,15.0,15.0,13300,15.0,15.0,3.0195677280426025
18-12-1992,15.0,15.125,5300,15.125,15.125,3.0447306632995605
21-12-1992,15.0,15.0,46600,15.0,15.0,3.0195677280426025
22-12-1992,15.0,15.0,22400,15.0,15.0,3.0195677280426025
23-12-1992,15.0,15.125,9600,15.125,15.0,3.0195677280426025
24-12-1992,15.0,15.0,14200,15.0,15.0,3.0195677280426025
28-12-1992,14.875,15.0,21300,15.0,15.0,3.0195677280426025
29-12-1992,14.875,15.0,5900,15.0,14.875,2.994408130645752
30-12-1992,14.625,14.75,7000,14.875,14.875,2.994408130645752
31-12-1992,14.75,14.75,5000,14.75,14.75,2.969242811203003
04-01-1993,14.75,14.75,800,14.75,14.75,2.969242811203003
05-01-1993,14.625,14.75,5500,14.875,14.625,2.944080352783203
06-01-1993,14.75,14.75,3200,14.875,14.875,2.994408130645752
07-01-1993,14.75,14.875,7500,14.875,14.875,2.994408130645752
08-01-1993,14.875,14.875,12900,14.875,14.875,2.994408130645752
11-01-1993,14.75,14.75,5300,14.875,14.875,2.994408130645752
12-01-1993,14.875,14.875,5300,14.875,14.875,3.0224478244781494
13-01-1993,14.75,14.75,12500,14.875,14.875,3.0224478244781494
