Date,Low,Open,Volume,High,Close,Adjusted Close
21-07-1989,12.0,0.0,373700,12.125,12.125,0.7841941118240356
24-07-1989,12.0,0.0,42300,12.125,12.0,0.7761095762252808
25-07-1989,12.0,0.0,38900,12.125,12.0,0.7761095762252808
26-07-1989,12.0,0.0,23400,12.125,12.125,0.7841941118240356
27-07-1989,12.0,0.0,74000,12.125,12.125,0.7841941118240356
28-07-1989,12.0,0.0,54900,12.125,12.125,0.7841941118240356
31-07-1989,12.0,0.0,98900,12.125,12.0,0.7761095762252808
01-08-1989,12.0,0.0,53500,12.125,12.125,0.7841941118240356
02-08-1989,12.0,0.0,40900,12.125,12.125,0.7841941118240356
03-08-1989,12.0,0.0,95700,12.125,12.125,0.7841941118240356
04-08-1989,12.0,0.0,55100,12.125,12.0,0.7761095762252808
07-08-1989,12.0,0.0,371400,12.125,12.0,0.7761095762252808
08-08-1989,12.0,0.0,101400,12.125,12.125,0.7841941118240356
09-08-1989,12.0,0.0,77500,12.125,12.0,0.7761095762252808
10-08-1989,12.0,0.0,68200,12.125,12.0,0.7761095762252808
11-08-1989,12.0,0.0,91600,12.125,12.0,0.7761095762252808
14-08-1989,12.0,0.0,94300,12.125,12.0,0.7761095762252808
15-08-1989,12.0,0.0,93100,12.125,12.0,0.7761095762252808
16-08-1989,12.0,0.0,431300,12.125,12.0,0.7761095762252808
17-08-1989,12.0,0.0,149800,12.125,12.0,0.7761095762252808
18-08-1989,12.0,0.0,135000,12.125,12.125,0.7841941118240356
21-08-1989,12.0,0.0,133700,12.125,12.0,0.7761095762252808
22-08-1989,12.0,0.0,138400,12.125,12.125,0.7841941118240356
23-08-1989,12.0,0.0,180300,12.125,12.125,0.7841941118240356
24-08-1989,12.0,0.0,115800,12.125,12.0,0.7761095762252808
25-08-1989,12.0,0.0,88500,12.125,12.0,0.7761095762252808
28-08-1989,12.0,0.0,45500,12.125,12.125,0.7841941118240356
29-08-1989,12.0,0.0,65400,12.125,12.0,0.7761095762252808
30-08-1989,12.0,0.0,55600,12.125,12.0,0.7761095762252808
31-08-1989,12.0,0.0,98700,12.125,12.0,0.7761095762252808
01-09-1989,12.0,0.0,31900,12.125,12.0,0.7761095762252808
05-09-1989,12.0,0.0,88700,12.125,12.0,0.7761095762252808
06-09-1989,12.0,0.0,127700,12.125,12.0,0.7761095762252808
07-09-1989,12.0,0.0,89400,12.125,12.0,0.7761095762252808
08-09-1989,12.0,0.0,145400,12.125,12.0,0.7761095762252808
11-09-1989,12.0,0.0,90500,12.125,12.0,0.7761095762252808
12-09-1989,12.0,0.0,97000,12.125,12.0,0.7761095762252808
13-09-1989,12.0,0.0,81300,12.125,12.0,0.7761095762252808
14-09-1989,12.0,0.0,170300,12.125,12.0,0.7761095762252808
15-09-1989,12.0,0.0,135800,12.125,12.0,0.7761095762252808
18-09-1989,12.0,0.0,141800,12.125,12.0,0.7761095762252808
19-09-1989,12.0,0.0,172900,12.125,12.0,0.7761095762252808
20-09-1989,12.0,0.0,172900,12.125,12.0,0.7761095762252808
21-09-1989,12.0,0.0,172800,12.125,12.125,0.7841941118240356
22-09-1989,11.875,0.0,129100,12.0,11.875,0.7760905623435974
25-09-1989,11.875,0.0,70800,12.0,11.875,0.7760905623435974
26-09-1989,11.875,0.0,80400,12.0,11.875,0.7760905623435974
27-09-1989,11.875,0.0,83600,12.0,12.0,0.7842599153518677
28-09-1989,11.875,0.0,124000,12.0,12.0,0.7842599153518677
29-09-1989,11.875,0.0,130400,12.0,11.875,0.7760905623435974
02-10-1989,11.875,0.0,53200,12.0,12.0,0.7842599153518677
03-10-1989,11.875,0.0,119700,12.0,11.875,0.7760905623435974
04-10-1989,11.875,0.0,109600,12.0,11.875,0.7760905623435974
05-10-1989,11.875,0.0,62300,12.0,11.875,0.7760905623435974
06-10-1989,11.875,0.0,56900,12.0,12.0,0.7842599153518677
09-10-1989,11.875,0.0,38300,12.0,11.875,0.7760905623435974
10-10-1989,11.875,0.0,92900,12.0,11.875,0.7760905623435974
11-10-1989,11.875,0.0,66800,12.0,12.0,0.7842599153518677
