Date,Low,Open,Volume,High,Close,Adjusted Close
20-05-1987,10.0,10.0,6234300,10.0,10.0,0.6448705196380615
21-05-1987,10.0,10.0,514300,10.125,10.0,0.6448705196380615
22-05-1987,10.0,10.125,303000,10.125,10.125,0.6529311537742615
26-05-1987,10.0,10.125,158500,10.125,10.0,0.6448705196380615
27-05-1987,10.0,10.0,186600,10.125,10.125,0.6529311537742615
28-05-1987,10.0,10.125,210000,10.125,10.0,0.6448705196380615
29-05-1987,10.0,10.125,159800,10.125,10.0,0.6448705196380615
01-06-1987,10.0,10.0,246000,10.125,10.0,0.6448705196380615
02-06-1987,10.0,10.125,233200,10.125,10.0,0.6448705196380615
03-06-1987,10.0,10.0,185000,10.125,10.125,0.6529311537742615
04-06-1987,10.0,10.125,155800,10.125,10.0,0.6448705196380615
05-06-1987,10.0,10.125,178100,10.125,10.0,0.6448705196380615
08-06-1987,10.0,10.0,304700,10.125,10.0,0.6448705196380615
09-06-1987,10.0,10.0,182300,10.125,10.0,0.6448705196380615
10-06-1987,10.0,10.0,253900,10.125,10.0,0.6448705196380615
11-06-1987,10.0,10.125,114400,10.125,10.0,0.6448705196380615
12-06-1987,10.0,10.0,89500,10.125,10.125,0.6529311537742615
15-06-1987,10.0,10.125,170200,10.125,10.0,0.6448705196380615
16-06-1987,10.0,10.0,145000,10.125,10.0,0.6448705196380615
17-06-1987,10.0,10.0,112300,10.125,10.0,0.6448705196380615
18-06-1987,10.0,10.0,78400,10.125,10.0,0.6448705196380615
19-06-1987,10.0,10.125,70100,10.125,10.125,0.6529311537742615
22-06-1987,10.0,10.0,110400,10.125,10.0,0.6448705196380615
23-06-1987,10.0,10.0,113000,10.125,10.0,0.6448705196380615
24-06-1987,10.0,10.0,72000,10.125,10.125,0.6529311537742615
25-06-1987,10.0,10.0,71700,10.125,10.0,0.6448705196380615
26-06-1987,10.0,10.125,63400,10.125,10.0,0.6448705196380615
29-06-1987,10.0,10.0,152600,10.125,10.0,0.6448705196380615
30-06-1987,10.0,10.125,70300,10.125,10.0,0.6448705196380615
01-07-1987,10.0,10.125,60100,10.125,10.125,0.6529311537742615
02-07-1987,10.0,10.125,51300,10.125,10.0,0.6448705196380615
06-07-1987,10.0,10.125,59400,10.125,10.125,0.6529311537742615
07-07-1987,10.0,10.125,106200,10.125,10.125,0.6529311537742615
08-07-1987,10.0,10.125,144500,10.25,10.125,0.6529311537742615
09-07-1987,10.0,10.125,149000,10.25,10.125,0.6593133211135864
10-07-1987,10.0,10.0,114400,10.125,10.0,0.6511729955673218
13-07-1987,10.0,10.125,86100,10.25,10.125,0.6593133211135864
14-07-1987,10.0,10.125,82300,10.125,10.0,0.6511729955673218
15-07-1987,10.0,10.125,115800,10.125,10.0,0.6511729955673218
16-07-1987,10.0,10.0,113500,10.125,10.125,0.6593133211135864
17-07-1987,10.0,10.125,77300,10.125,10.0,0.6511729955673218
20-07-1987,10.0,10.0,103800,10.125,10.0,0.6511729955673218
21-07-1987,10.0,10.125,104900,10.25,10.125,0.6593133211135864
22-07-1987,10.0,10.125,127000,10.25,10.125,0.6593133211135864
23-07-1987,10.0,10.0,166900,10.25,10.0,0.6511729955673218
24-07-1987,10.0,10.0,120600,10.25,10.125,0.6593133211135864
27-07-1987,10.0,10.125,110700,10.25,10.25,0.6674525141716003
28-07-1987,10.125,10.125,79900,10.25,10.25,0.6674525141716003
29-07-1987,10.125,10.125,95400,10.25,10.25,0.6674525141716003
30-07-1987,10.0,10.125,91800,10.25,10.125,0.6593133211135864
31-07-1987,10.0,10.125,102900,10.25,10.0,0.6511729955673218
03-08-1987,10.125,10.125,122100,10.25,10.125,0.6593133211135864
04-08-1987,10.125,10.25,139000,10.25,10.125,0.6593133211135864
05-08-1987,10.125,10.25,114800,10.25,10.25,0.6674525141716003
06-08-1987,10.125,10.125,181600,10.25,10.125,0.6593133211135864
07-08-1987,10.125,10.125,99900,10.25,10.125,0.6593133211135864
10-08-1987,10.0,10.25,155300,10.25,10.25,0.6739760041236877
11-08-1987,10.125,10.125,159600,10.25,10.125,0.6657567024230957
12-08-1987,10.0,10.125,205600,10.25,10.125,0.6657567024230957
13-08-1987,10.0,10.125,146900,10.25,10.125,0.6657567024230957
14-08-1987,10.0,10.125,86600,10.25,10.125,0.6657567024230957
17-08-1987,10.0,10.125,94000,10.25,10.125,0.6657567024230957
18-08-1987,10.0,10.125,135200,10.125,10.125,0.6657567024230957
19-08-1987,10.0,10.125,108300,10.125,10.0,0.6575375199317932
20-08-1987,10.0,10.0,107700,10.125,10.125,0.6657567024230957
21-08-1987,9.875,10.125,249200,10.125,10.0,0.6575375199317932
24-08-1987,9.875,9.875,153600,10.125,10.125,0.6657567024230957
25-08-1987,9.875,10.0,102400,10.125,9.875,0.6493180990219116
26-08-1987,9.875,10.0,93400,10.0,10.0,0.6575375199317932
27-08-1987,10.0,10.125,87200,10.125,10.0,0.6575375199317932
28-08-1987,9.875,10.0,116000,10.125,10.125,0.6657567024230957
31-08-1987,10.0,10.125,98900,10.125,10.0,0.6575375199317932
01-09-1987,10.0,10.125,103400,10.125,10.0,0.6575375199317932
02-09-1987,9.875,10.0,149800,10.125,9.875,0.6493180990219116
03-09-1987,9.875,10.0,141200,10.125,9.875,0.6493180990219116
04-09-1987,9.875,10.0,85100,10.0,10.0,0.6575375199317932
08-09-1987,9.5,10.0,179700,10.0,9.75,0.6410989761352539
09-09-1987,9.375,9.625,148300,9.75,9.625,0.6393064260482788
10-09-1987,9.625,9.625,105200,9.875,9.75,0.6476078629493713
11-09-1987,9.625,9.75,106600,9.75,9.75,0.6476078629493713
14-09-1987,9.625,9.625,88300,9.875,9.75,0.6476078629493713
15-09-1987,9.625,9.75,110200,9.875,9.75,0.6476078629493713
16-09-1987,9.5,9.75,149500,9.75,9.5,0.6310024261474609
17-09-1987,9.5,9.5,40500,9.75,9.75,0.6476078629493713
18-09-1987,9.625,9.75,91100,9.875,9.625,0.6393064260482788
21-09-1987,9.625,9.75,72000,9.75,9.625,0.6393064260482788
22-09-1987,9.375,9.625,158300,9.75,9.375,0.6227002739906311
23-09-1987,9.25,9.375,177500,9.5,9.25,0.6143977046012878
24-09-1987,9.25,9.375,91600,9.375,9.25,0.6143977046012878
25-09-1987,9.25,9.375,71700,9.375,9.375,0.6227002739906311
28-09-1987,9.25,9.375,84200,9.5,9.375,0.6227002739906311
29-09-1987,9.375,9.5,82500,9.625,9.5,0.6310024261474609
30-09-1987,9.375,9.375,99100,9.5,9.375,0.6227002739906311
01-10-1987,9.375,9.375,86200,9.625,9.5,0.6310024261474609
02-10-1987,9.5,9.5,66800,9.625,9.5,0.6310024261474609
05-10-1987,9.375,9.375,99300,9.5,9.5,0.6310024261474609
06-10-1987,9.5,9.5,63600,9.625,9.625,0.6393064260482788
07-10-1987,9.375,9.625,87900,9.625,9.625,0.6458818316459656
08-10-1987,9.5,9.5,134400,9.75,9.75,0.6542698740959167
09-10-1987,9.5,9.625,191300,9.75,9.625,0.6458818316459656
12-10-1987,9.375,9.625,191000,9.625,9.5,0.6374938488006592
13-10-1987,9.5,9.5,152800,9.625,9.5,0.6374938488006592
14-10-1987,9.375,9.5,193100,9.625,9.375,0.6291062235832214
15-10-1987,9.0,9.375,178300,9.5,9.0,0.6039405465126038
16-10-1987,8.875,9.0,154800,9.125,9.0,0.6039405465126038
19-10-1987,7.5,8.75,334100,8.75,8.125,0.5452249646186829
20-10-1987,8.25,8.25,360400,9.125,8.75,0.5871652364730835
21-10-1987,9.0,9.0,244700,9.375,9.375,0.6291062235832214
22-10-1987,9.125,9.375,177500,9.5,9.375,0.6291062235832214
23-10-1987,9.375,9.5,149500,9.625,9.375,0.6291062235832214
26-10-1987,9.375,9.375,174400,9.75,9.5,0.6374938488006592
27-10-1987,9.25,9.375,190300,9.5,9.375,0.6291062235832214
28-10-1987,9.125,9.25,211000,9.5,9.25,0.6207171678543091
29-10-1987,9.25,9.375,140500,9.375,9.25,0.6207171678543091
30-10-1987,9.25,9.25,81500,9.5,9.375,0.6291062235832214
02-11-1987,9.375,9.5,92800,9.625,9.625,0.6458818316459656
03-11-1987,9.5,9.625,175600,9.75,9.75,0.6542698740959167
04-11-1987,9.625,9.75,153900,9.875,9.625,0.6458818316459656
05-11-1987,9.75,9.875,230300,9.875,9.875,0.6626577973365784
06-11-1987,9.75,9.75,186000,9.875,9.75,0.6608282327651978
09-11-1987,9.625,9.75,145000,9.875,9.75,0.6608282327651978
10-11-1987,9.625,9.875,142600,9.875,9.75,0.6608282327651978
11-11-1987,9.75,9.875,132900,9.875,9.75,0.6608282327651978
12-11-1987,9.75,9.875,179600,9.875,9.875,0.6693000197410583
13-11-1987,9.75,9.875,166500,9.875,9.75,0.6608282327651978
16-11-1987,9.75,9.875,137000,10.0,9.875,0.6693000197410583
17-11-1987,9.75,9.75,212300,9.875,9.875,0.6693000197410583
18-11-1987,9.75,9.75,190600,10.0,10.0,0.6777728199958801
19-11-1987,9.75,9.875,158700,10.0,10.0,0.6777728199958801
20-11-1987,9.875,10.0,260700,10.0,10.0,0.6777728199958801
23-11-1987,9.875,10.0,210200,10.0,10.0,0.6777728199958801
24-11-1987,9.875,9.875,190000,10.0,10.0,0.6777728199958801
25-11-1987,9.875,10.0,153900,10.0,9.875,0.6693000197410583
27-11-1987,9.875,9.875,108900,10.0,9.875,0.6693000197410583
30-11-1987,9.75,9.875,161200,10.0,9.875,0.6693000197410583
01-12-1987,9.875,10.0,152000,10.0,9.875,0.6693000197410583
02-12-1987,9.875,10.0,149700,10.0,9.875,0.6693000197410583
03-12-1987,9.875,10.0,239000,10.0,10.0,0.6777728199958801
04-12-1987,9.875,10.0,195500,10.0,10.0,0.6777728199958801
07-12-1987,9.875,10.0,146600,10.125,10.0,0.6777728199958801
