Date,Low,Open,Volume,High,Close,Adjusted Close
13-06-1997,4.5,4.8125,16082400,4.9375,4.5,3.8776724338531494
16-06-1997,4.5,4.5625,1424000,4.59375,4.5,3.8776724338531494
17-06-1997,4.40625,4.5,1881600,4.53125,4.53125,3.904601573944092
18-06-1997,4.40625,4.5,636800,4.53125,4.5,3.8776724338531494
19-06-1997,4.3125,4.4375,927600,4.4375,4.34375,3.7430319786071777
20-06-1997,4.375,4.40625,598000,4.53125,4.53125,3.904601573944092
23-06-1997,4.40625,4.5,293600,4.5,4.40625,3.796888828277588
24-06-1997,4.34375,4.4375,184000,4.4375,4.34375,3.7430319786071777
25-06-1997,4.34375,4.375,531200,4.46875,4.4375,3.8238162994384766
26-06-1997,4.375,4.4375,118400,4.46875,4.40625,3.796888828277588
27-06-1997,4.375,4.40625,388400,4.46875,4.46875,3.8507442474365234
30-06-1997,4.25,4.40625,455600,4.5,4.46875,3.8507442474365234
01-07-1997,4.46875,4.46875,117600,4.640625,4.59375,3.9584572315216064
02-07-1997,4.65625,4.65625,576800,4.8125,4.8125,4.146955490112305
03-07-1997,4.75,4.78125,500000,4.78125,4.78125,4.120028972625732
07-07-1997,4.765625,4.78125,174400,4.8125,4.78125,4.120028972625732
08-07-1997,4.875,4.875,392000,4.9375,4.90625,4.2277421951293945
09-07-1997,4.96875,4.96875,470000,5.15625,5.15625,4.443166255950928
10-07-1997,5.1875,5.1875,925600,5.8125,5.5,4.739377498626709
11-07-1997,5.375,5.5,140800,5.5,5.375,4.631665229797363
14-07-1997,5.40625,5.4375,589600,5.5,5.5,4.739377498626709
15-07-1997,5.5,5.5,124400,5.625,5.59375,4.820162773132324
16-07-1997,5.5625,5.640625,773600,5.65625,5.625,4.847091197967529
17-07-1997,5.625,5.65625,556800,5.9375,5.875,5.062516689300537
18-07-1997,5.71875,5.8125,180400,5.8125,5.78125,4.981734752655029
21-07-1997,5.75,5.78125,132800,5.8125,5.78125,4.981734752655029
22-07-1997,5.703125,5.765625,262400,5.765625,5.734375,4.941341400146484
23-07-1997,5.703125,5.71875,252000,6.125,6.0,5.170231342315674
24-07-1997,6.015625,6.0625,96000,6.09375,6.015625,5.18369722366333
25-07-1997,5.9375,6.015625,49600,6.046875,6.046875,5.2106218338012695
28-07-1997,5.9375,6.0625,14400,6.0625,5.9375,5.116374492645264
29-07-1997,5.84375,5.90625,8400,5.90625,5.84375,5.035589218139648
30-07-1997,5.734375,5.8125,27200,5.828125,5.734375,4.941341400146484
31-07-1997,5.65625,5.71875,432400,5.78125,5.78125,4.981734752655029
01-08-1997,5.6875,5.8125,160000,5.8125,5.78125,4.981734752655029
04-08-1997,5.75,5.75,78800,5.84375,5.84375,5.035589218139648
05-08-1997,5.84375,5.859375,22000,5.90625,5.90625,5.089446067810059
06-08-1997,5.9375,5.9375,277600,6.0625,6.0625,5.224086284637451
07-08-1997,5.859375,6.0,281600,6.0,5.9375,5.116374492645264
08-08-1997,5.6875,5.90625,116800,5.90625,5.8125,5.008660316467285
11-08-1997,5.78125,5.796875,12400,5.8125,5.78125,4.981734752655029
12-08-1997,5.75,5.8125,29200,5.8125,5.75,4.954805850982666
13-08-1997,5.65625,5.75,15600,5.75,5.65625,4.874019622802734
14-08-1997,5.59375,5.640625,87200,5.640625,5.59375,4.820162773132324
15-08-1997,5.375,5.578125,59600,5.578125,5.375,4.631665229797363
18-08-1997,5.0625,5.4375,210000,5.5,5.25,4.523951053619385
19-08-1997,5.15625,5.21875,136400,5.21875,5.1875,4.470095157623291
20-08-1997,5.1875,5.1875,32800,5.21875,5.1875,4.470095157623291
21-08-1997,5.171875,5.1875,152000,5.375,5.375,4.631665229797363
22-08-1997,5.375,5.375,339600,5.53125,5.46875,4.712449073791504
25-08-1997,5.5,5.5,46000,5.59375,5.59375,4.820162773132324
26-08-1997,5.5625,5.5625,70800,5.75,5.734375,4.941341400146484
27-08-1997,5.71875,5.75,47200,5.78125,5.78125,4.981734752655029
28-08-1997,5.6875,5.75,20000,5.75,5.734375,4.941341400146484
29-08-1997,5.71875,5.75,17600,5.75,5.71875,4.927877902984619
02-09-1997,5.75,5.75,2800,5.75,5.75,4.954805850982666
03-09-1997,5.71875,5.71875,32800,5.875,5.875,5.062516689300537
04-09-1997,5.84375,5.84375,11200,5.890625,5.890625,5.0759806632995605
05-09-1997,5.890625,5.921875,16800,5.9375,5.921875,5.102910995483398
08-09-1997,6.0,6.0,133600,6.375,6.3125,5.439512729644775
09-09-1997,6.25,6.28125,265200,6.5625,6.5625,5.654939651489258
10-09-1997,6.5,6.5625,73200,6.671875,6.671875,5.749189376831055
11-09-1997,6.53125,6.703125,62000,6.703125,6.5625,5.654939651489258
12-09-1997,6.5625,6.5625,200000,7.0,6.984375,6.0184712409973145
15-09-1997,6.78125,7.015625,425200,7.015625,6.8125,5.870366096496582
16-09-1997,6.65625,6.8125,39600,6.8125,6.65625,5.735724925994873
17-09-1997,6.71875,6.75,120000,6.78125,6.75,5.81650972366333
18-09-1997,6.75,6.78125,306800,6.828125,6.8125,5.870366096496582
19-09-1997,6.78125,6.78125,109600,6.96875,6.96875,6.005007743835449
22-09-1997,7.0625,7.0625,80800,7.28125,7.28125,6.274290561676025
23-09-1997,7.34375,7.34375,111600,7.625,7.625,6.570499897003174
24-09-1997,7.625,7.625,306000,8.21875,8.109375,6.987889289855957
25-09-1997,7.609375,7.75,427600,7.8125,7.734375,6.664748191833496
26-09-1997,7.3125,7.734375,263600,7.734375,7.3125,6.301219463348389
29-09-1997,7.15625,7.28125,110800,7.3125,7.234375,6.23390007019043
30-09-1997,7.21875,7.234375,451600,7.25,7.234375,6.23390007019043
01-10-1997,6.875,7.25,298400,7.25,6.875,5.924223899841309
02-10-1997,6.859375,6.859375,70000,7.0625,7.0625,6.085792541503906
03-10-1997,7.09375,7.09375,173600,7.25,7.25,6.247363567352295
06-10-1997,7.28125,7.28125,278000,7.421875,7.421875,6.395468235015869
07-10-1997,7.40625,7.40625,410400,7.59375,7.59375,6.543572425842285
08-10-1997,7.5625,7.578125,50800,7.59375,7.578125,6.530107021331787
09-10-1997,7.46875,7.546875,144800,7.546875,7.46875,6.435858249664307
10-10-1997,7.4375,7.4375,9600,7.546875,7.546875,6.503180980682373
13-10-1997,7.609375,7.609375,3600,7.625,7.609375,6.557036876678467
14-10-1997,7.625,7.625,4800,7.640625,7.640625,6.583965301513672
15-10-1997,7.640625,7.640625,39200,7.890625,7.890625,6.799391746520996
16-10-1997,7.75,7.90625,46400,7.96875,7.75,6.678214073181152
17-10-1997,7.4375,7.71875,54400,7.71875,7.4375,6.408929347991943
20-10-1997,7.453125,7.5,49200,7.5,7.484375,6.449324131011963
21-10-1997,7.4375,7.4375,66000,7.5,7.5,6.462788105010986
22-10-1997,7.46875,7.46875,17600,7.484375,7.484375,6.449324131011963
23-10-1997,7.375,7.4375,16800,7.4375,7.390625,6.368538856506348
24-10-1997,7.34375,7.40625,6400,7.40625,7.34375,6.3281474113464355
27-10-1997,6.71875,7.3125,124400,7.3125,6.71875,5.78957986831665
28-10-1997,6.53125,6.59375,86000,6.625,6.625,5.708795070648193
