Date,Low,Open,Volume,High,Close,Adjusted Close
20-07-1992,15.0,15.0,109500,15.0,15.0,2.626594305038452
21-07-1992,15.0,15.0,20700,15.125,15.0,2.626594305038452
22-07-1992,15.0,15.125,13000,15.125,15.125,2.6484851837158203
23-07-1992,15.0,15.125,18000,15.125,15.0,2.626594305038452
24-07-1992,15.0,15.0,31600,15.125,15.0,2.626594305038452
27-07-1992,15.0,15.25,13000,15.25,15.0,2.626594305038452
28-07-1992,15.0,15.0,11500,15.125,15.0,2.626594305038452
29-07-1992,15.0,15.125,14000,15.125,15.125,2.6484851837158203
30-07-1992,15.0,15.0,34700,15.0,15.0,2.626594305038452
31-07-1992,15.0,15.0,9000,15.0,15.0,2.626594305038452
03-08-1992,15.0,15.0,18600,15.125,15.0,2.626594305038452
04-08-1992,15.0,15.0,23200,15.125,15.125,2.6484851837158203
05-08-1992,15.0,15.0,10400,15.0,15.0,2.626594305038452
06-08-1992,15.0,15.0,6400,15.125,15.0,2.626594305038452
07-08-1992,15.0,15.0,7800,15.125,15.0,2.626594305038452
10-08-1992,15.0,15.0,11100,15.125,15.0,2.626594305038452
11-08-1992,14.75,15.0,4200,15.0,14.75,2.5828187465667725
12-08-1992,14.625,14.875,5100,14.875,14.75,2.5828187465667725
13-08-1992,14.5,14.75,8500,14.75,14.5,2.5390424728393555
14-08-1992,14.25,14.25,15000,14.75,14.75,2.5828187465667725
17-08-1992,14.625,14.75,6100,14.875,14.625,2.56093168258667
18-08-1992,14.75,14.875,9800,14.875,14.75,2.5828187465667725
19-08-1992,14.5,14.75,10700,14.75,14.5,2.5390424728393555
20-08-1992,14.75,14.75,3000,14.875,14.875,2.604708194732666
21-08-1992,14.75,14.875,3900,14.875,14.875,2.604708194732666
24-08-1992,14.625,14.75,4900,14.75,14.75,2.5828187465667725
25-08-1992,14.625,14.75,9300,14.875,14.625,2.56093168258667
26-08-1992,14.625,14.75,1900,14.75,14.75,2.5828187465667725
27-08-1992,14.625,14.625,1400,14.75,14.75,2.5828187465667725
28-08-1992,14.5,14.75,14900,14.875,14.875,2.604708194732666
31-08-1992,14.75,14.75,13300,14.875,14.875,2.604708194732666
01-09-1992,14.75,14.75,5700,15.0,15.0,2.626594305038452
02-09-1992,14.75,14.875,23800,15.0,14.75,2.5828187465667725
03-09-1992,14.75,14.875,5500,14.875,14.75,2.5828187465667725
04-09-1992,14.75,14.75,9200,14.875,14.75,2.5828187465667725
08-09-1992,14.375,14.75,29500,14.75,14.5,2.5390424728393555
09-09-1992,14.5,14.5,8300,14.75,14.75,2.5828187465667725
10-09-1992,14.75,14.75,3900,14.875,14.875,2.604708194732666
11-09-1992,14.75,14.75,52900,15.0,15.0,2.626594305038452
14-09-1992,14.75,14.875,5900,14.875,14.75,2.604170799255371
15-09-1992,14.625,14.75,13700,14.875,14.625,2.582103967666626
16-09-1992,14.625,14.75,7600,14.75,14.625,2.582103967666626
17-09-1992,14.5,14.75,10200,14.75,14.5,2.5600357055664062
18-09-1992,14.375,14.625,22800,14.625,14.375,2.537964105606079
21-09-1992,14.375,14.5,11200,14.625,14.375,2.537964105606079
22-09-1992,14.375,14.375,4600,14.5,14.5,2.5600357055664062
23-09-1992,14.25,14.375,8500,14.375,14.375,2.537964105606079
24-09-1992,14.25,14.5,12600,14.5,14.5,2.5600357055664062
25-09-1992,14.25,14.375,7500,14.5,14.5,2.5600357055664062
28-09-1992,14.375,14.375,3700,14.5,14.5,2.5600357055664062
29-09-1992,14.375,14.375,5400,14.625,14.625,2.582103967666626
30-09-1992,14.375,14.5,3300,14.5,14.5,2.5600357055664062
01-10-1992,14.375,14.375,9100,14.5,14.375,2.537964105606079
02-10-1992,14.25,14.375,4700,14.5,14.25,2.5158963203430176
05-10-1992,14.25,14.375,3700,14.375,14.25,2.5158963203430176
06-10-1992,14.0,14.25,31800,14.25,14.25,2.5158963203430176
07-10-1992,14.375,14.375,27600,14.625,14.5,2.5600357055664062
08-10-1992,14.125,14.375,53200,14.625,14.5,2.5600357055664062
09-10-1992,14.375,14.375,14500,14.625,14.5,2.573881149291992
12-10-1992,14.375,14.5,24200,14.625,14.5,2.573881149291992
13-10-1992,14.375,14.5,15600,14.625,14.625,2.5960681438446045
14-10-1992,14.5,14.625,10500,14.625,14.5,2.573881149291992
15-10-1992,14.375,14.375,7700,14.5,14.375,2.5516908168792725
16-10-1992,14.25,14.5,5700,14.625,14.5,2.573881149291992
19-10-1992,14.125,14.375,21900,14.375,14.25,2.529503345489502
20-10-1992,14.125,14.25,7600,14.25,14.25,2.529503345489502
21-10-1992,13.125,14.25,31200,14.25,13.5,2.3963701725006104
22-10-1992,12.375,13.625,69000,13.625,13.625,2.4185595512390137
23-10-1992,13.5,13.5,20700,14.0,14.0,2.485124349594116
26-10-1992,13.5,13.75,27700,14.0,14.0,2.485124349594116
27-10-1992,13.375,13.875,23800,13.875,13.5,2.3963701725006104
28-10-1992,13.25,13.25,24100,13.5,13.375,2.3741824626922607
29-10-1992,13.375,13.5,11200,13.75,13.75,2.440746545791626
30-10-1992,13.375,13.75,26100,13.75,13.625,2.4185595512390137
02-11-1992,13.5,13.5,15100,14.0,13.75,2.440746545791626
03-11-1992,13.625,13.75,12100,13.875,13.75,2.440746545791626
04-11-1992,13.375,13.75,39500,14.0,13.5,2.3963701725006104
05-11-1992,13.375,13.5,32000,13.75,13.625,2.4185595512390137
06-11-1992,13.75,13.75,25300,14.375,14.375,2.5516908168792725
09-11-1992,13.875,14.125,15100,14.125,13.875,2.477933168411255
10-11-1992,13.875,13.875,59500,14.5,14.25,2.5449061393737793
11-11-1992,14.25,14.5,36800,14.5,14.375,2.5672268867492676
12-11-1992,14.125,14.25,28600,14.375,14.25,2.5449061393737793
13-11-1992,14.25,14.375,20200,14.375,14.25,2.5449061393737793
16-11-1992,14.0,14.25,35600,14.25,14.0,2.500258207321167
17-11-1992,14.0,14.0,46800,14.125,14.125,2.522582530975342
18-11-1992,14.0,14.125,44600,14.5,14.375,2.5672268867492676
19-11-1992,14.0,14.25,55900,14.25,14.125,2.522582530975342
20-11-1992,13.875,14.125,15700,14.125,14.0,2.500258207321167
23-11-1992,13.875,14.0,31700,14.125,14.125,2.522582530975342
24-11-1992,14.0,14.125,25000,14.125,14.125,2.522582530975342
25-11-1992,14.0,14.0,16500,14.125,14.0,2.500258207321167
27-11-1992,14.0,14.125,19800,14.125,14.0,2.500258207321167
30-11-1992,14.0,14.125,34200,14.125,14.125,2.522582530975342
01-12-1992,14.0,14.125,40200,14.125,14.0,2.500258207321167
02-12-1992,14.0,14.0,69300,14.5,14.5,2.589552402496338
03-12-1992,14.25,14.25,32300,14.625,14.625,2.61187481880188
04-12-1992,14.5,14.5,29600,14.625,14.625,2.61187481880188
07-12-1992,14.375,14.625,52800,14.625,14.375,2.5672268867492676
08-12-1992,14.25,14.375,33100,14.5,14.375,2.5672268867492676
09-12-1992,14.25,14.25,27300,14.5,14.5,2.589552402496338
10-12-1992,14.25,14.375,30000,14.5,14.375,2.5672268867492676
11-12-1992,14.125,14.375,24200,14.375,14.25,2.5449061393737793
14-12-1992,13.75,13.75,66000,14.0,13.875,2.4922759532928467
15-12-1992,13.875,13.875,48600,14.0,13.875,2.4922759532928467
16-12-1992,13.75,13.75,33700,14.0,13.875,2.4922759532928467
17-12-1992,13.625,13.75,69800,13.875,13.875,2.4922759532928467
18-12-1992,13.875,13.875,16800,14.0,13.875,2.4922759532928467
21-12-1992,13.75,14.0,23900,14.0,13.75,2.4698221683502197
22-12-1992,13.75,13.875,28800,14.0,14.0,2.5147271156311035
23-12-1992,13.875,14.0,19800,14.0,13.875,2.4922759532928467
24-12-1992,13.75,14.0,19100,14.0,13.875,2.4922759532928467
28-12-1992,13.75,14.0,24600,14.0,13.875,2.4922759532928467
29-12-1992,13.75,13.875,19500,14.0,13.75,2.4698221683502197
30-12-1992,13.5,13.75,73200,13.875,13.5,2.4249160289764404
31-12-1992,13.625,13.625,42500,13.75,13.625,2.4473683834075928
04-01-1993,13.75,13.75,81400,14.125,14.125,2.5371806621551514
05-01-1993,14.0,14.125,59400,14.5,14.5,2.6045405864715576
06-01-1993,14.375,14.5,77100,14.625,14.5,2.6045405864715576
07-01-1993,14.25,14.5,43200,14.5,14.5,2.6045405864715576
08-01-1993,14.375,14.5,47900,14.5,14.5,2.6045405864715576
11-01-1993,14.5,14.5,30400,14.625,14.625,2.626993179321289
12-01-1993,14.5,14.5,21700,14.625,14.5,2.619586229324341
13-01-1993,14.25,14.625,40900,14.625,14.625,2.6421687602996826
14-01-1993,14.375,14.5,30200,14.625,14.375,2.597001075744629
15-01-1993,14.25,14.625,47200,14.625,14.5,2.619586229324341
18-01-1993,14.25,14.5,36800,14.625,14.5,2.619586229324341
19-01-1993,14.375,14.5,25200,14.625,14.5,2.619586229324341
20-01-1993,14.5,14.5,28500,14.625,14.625,2.6421687602996826
21-01-1993,14.375,14.625,32500,14.625,14.625,2.6421687602996826
