Date,Low,Open,Volume,High,Close,Adjusted Close
16-07-1993,15.0,15.0,115200,15.0,15.0,2.878147602081299
19-07-1993,15.0,15.0,15500,15.0,15.0,2.878147602081299
20-07-1993,15.0,15.0,10900,15.0,15.0,2.878147602081299
21-07-1993,15.0,15.0,19900,15.0,15.0,2.878147602081299
22-07-1993,15.0,15.0,48100,15.0,15.0,2.878147602081299
23-07-1993,15.0,15.0,49800,15.0,15.0,2.878147602081299
26-07-1993,15.0,15.0,3800,15.0,15.0,2.878147602081299
27-07-1993,15.0,15.0,13200,15.0,15.0,2.878147602081299
28-07-1993,15.0,15.0,64600,15.0,15.0,2.878147602081299
29-07-1993,14.75,14.875,1200,14.875,14.75,2.8301782608032227
30-07-1993,14.75,14.75,600,14.75,14.75,2.8301782608032227
02-08-1993,14.75,14.75,0,14.75,14.75,2.8301782608032227
03-08-1993,14.75,14.75,800,14.75,14.75,2.8301782608032227
04-08-1993,14.5,14.625,6000,14.625,14.5,2.7822093963623047
05-08-1993,14.375,14.5,7000,14.5,14.375,2.7582268714904785
06-08-1993,14.375,14.375,100,14.375,14.375,2.7582268714904785
09-08-1993,14.375,14.375,0,14.375,14.375,2.7582268714904785
10-08-1993,14.375,14.375,1400,14.375,14.375,2.7582268714904785
11-08-1993,14.375,14.375,0,14.375,14.375,2.7582268714904785
12-08-1993,14.25,14.25,4400,14.375,14.375,2.7582268714904785
13-08-1993,14.375,14.375,500,14.375,14.375,2.7582268714904785
16-08-1993,14.25,14.25,3300,14.25,14.25,2.7342395782470703
17-08-1993,14.125,14.125,11200,14.25,14.25,2.7342395782470703
18-08-1993,14.375,14.375,200,14.375,14.375,2.7582268714904785
19-08-1993,14.375,14.375,0,14.375,14.375,2.7582268714904785
20-08-1993,14.375,14.375,4100,14.375,14.375,2.7582268714904785
23-08-1993,14.25,14.25,200,14.25,14.25,2.7342395782470703
24-08-1993,14.25,14.25,300,14.25,14.25,2.7342395782470703
25-08-1993,14.375,14.375,100,14.375,14.375,2.7582268714904785
