Date,Low,Open,Volume,High,Close,Adjusted Close
09-03-1999,15.0,15.0,10000,15.5,15.5,4.081233501434326
10-03-1999,15.125,15.375,11700,15.375,15.3125,4.031867027282715
11-03-1999,15.3125,15.3125,700,15.3125,15.3125,4.031867027282715
12-03-1999,15.0625,15.0625,3400,15.1875,15.1875,3.998950958251953
15-03-1999,15.0,15.0,7100,15.25,15.25,4.015408039093018
16-03-1999,15.0,15.25,5000,15.25,15.0,3.9495813846588135
17-03-1999,14.875,15.0,400,15.0,14.875,3.9166712760925293
18-03-1999,15.0,15.0,1600,15.0,15.0,3.9495813846588135
19-03-1999,15.0,15.125,9200,15.1875,15.1875,3.998950958251953
22-03-1999,15.0,15.125,15200,15.3125,15.0,3.9495813846588135
23-03-1999,15.25,15.25,3300,15.25,15.25,4.015408039093018
24-03-1999,15.125,15.1875,2000,15.1875,15.125,3.9824955463409424
25-03-1999,15.25,15.25,100,15.25,15.25,4.015408039093018
26-03-1999,15.25,15.25,0,15.25,15.25,4.015408039093018
29-03-1999,15.25,15.25,600,15.25,15.25,4.015408039093018
30-03-1999,15.0625,15.125,4700,15.1875,15.0625,3.9660375118255615
31-03-1999,14.875,15.0,12100,15.0,14.875,3.9166712760925293
01-04-1999,14.875,14.875,2000,15.0625,15.0625,3.9660375118255615
05-04-1999,15.0,15.0,8000,15.125,15.125,3.9824955463409424
06-04-1999,15.0625,15.0625,1000,15.0625,15.0625,3.9660375118255615
07-04-1999,15.0,15.0,4600,15.0,15.0,3.9495813846588135
08-04-1999,14.875,15.0625,5800,15.0625,14.875,3.9166712760925293
09-04-1999,14.25,14.625,6400,14.625,14.25,3.7521021366119385
12-04-1999,13.8125,14.5,6300,14.5,13.8125,3.636908769607544
13-04-1999,13.75,13.75,8600,14.1875,14.0625,3.702735185623169
14-04-1999,13.5,13.875,16300,14.0625,14.0625,3.702735185623169
15-04-1999,14.0,14.0625,20400,14.125,14.125,3.719193935394287
16-04-1999,14.125,14.25,7400,14.375,14.375,3.785015106201172
19-04-1999,14.375,14.4375,3400,14.5,14.5,3.8179287910461426
20-04-1999,14.5625,14.625,1900,14.625,14.5625,3.8343873023986816
21-04-1999,14.25,14.25,18700,15.375,15.25,4.015408039093018
22-04-1999,15.0,15.125,15900,15.1875,15.0,3.9495813846588135
23-04-1999,14.875,14.875,800,14.875,14.875,3.9166712760925293
26-04-1999,14.125,14.5,8200,14.5,14.125,3.719193935394287
27-04-1999,14.0,14.0,4400,14.25,14.25,3.7521021366119385
28-04-1999,14.25,14.25,6800,14.625,14.625,3.850841522216797
29-04-1999,14.625,14.625,0,14.625,14.625,3.850841522216797
30-04-1999,14.5,14.5,600,14.5,14.5,3.8179287910461426
03-05-1999,14.375,14.375,100,14.375,14.375,3.785015106201172
04-05-1999,14.375,14.5,1800,14.5,14.375,3.785015106201172
05-05-1999,14.3125,14.3125,1600,14.3125,14.3125,3.7685604095458984
06-05-1999,14.25,14.25,9800,14.5,14.3125,3.7685604095458984
07-05-1999,14.1875,14.1875,2400,14.4375,14.4375,3.801473617553711
10-05-1999,13.5625,14.25,10300,14.25,13.8125,3.636908769607544
11-05-1999,13.75,13.8125,4700,13.9375,13.875,3.653362274169922
12-05-1999,13.5625,14.0,23200,14.375,13.625,3.587534189224243
13-05-1999,13.6875,13.875,21000,14.125,14.125,3.719193935394287
14-05-1999,13.5,13.5,16100,13.75,13.5625,3.571080446243286
17-05-1999,13.625,13.625,13600,14.0,13.75,3.6204512119293213
18-05-1999,13.5,13.875,19100,14.0,13.75,3.6204512119293213
19-05-1999,13.6875,13.6875,10400,13.75,13.75,3.6593058109283447
