Date,Low,Open,Volume,High,Close,Adjusted Close
12-04-1993,15.0,15.0,24800,15.125,15.0,2.5094714164733887
13-04-1993,15.0,15.0,24100,15.125,15.0,2.5094714164733887
14-04-1993,15.0,15.125,35000,15.125,15.0,2.5094714164733887
15-04-1993,15.0,15.0,89200,15.125,15.0,2.5094714164733887
16-04-1993,15.0,15.0,40700,15.125,15.0,2.5094714164733887
19-04-1993,15.0,15.125,9700,15.125,15.0,2.5094714164733887
20-04-1993,15.0,15.0,13800,15.0,15.0,2.5094714164733887
21-04-1993,15.0,15.0,28900,15.0,15.0,2.5094714164733887
22-04-1993,15.0,15.0,25000,15.125,15.0,2.5094714164733887
23-04-1993,15.0,15.0,10400,15.125,15.0,2.5094714164733887
26-04-1993,15.0,15.125,17500,15.125,15.0,2.5094714164733887
27-04-1993,15.0,15.125,3500,15.125,15.0,2.5094714164733887
28-04-1993,15.0,15.125,10900,15.125,15.0,2.5094714164733887
29-04-1993,15.0,15.0,1900,15.0,15.0,2.5094714164733887
30-04-1993,15.0,15.0,12600,15.125,15.125,2.530383586883545
03-05-1993,15.0,15.125,7900,15.125,15.0,2.5094714164733887
04-05-1993,14.875,15.0,40500,15.0,15.0,2.5094714164733887
05-05-1993,15.0,15.0,14500,15.125,15.125,2.530383586883545
06-05-1993,15.0,15.0,5700,15.125,15.125,2.530383586883545
07-05-1993,15.0,15.0,23400,15.125,15.0,2.5094714164733887
10-05-1993,15.0,15.0,9300,15.125,15.125,2.530383586883545
11-05-1993,15.0,15.125,14600,15.125,15.0,2.5094714164733887
12-05-1993,15.0,15.0,5300,15.0,15.0,2.5094714164733887
13-05-1993,15.0,15.0,8800,15.0,15.0,2.5094714164733887
14-05-1993,15.0,15.0,3200,15.0,15.0,2.5094714164733887
17-05-1993,15.0,15.125,28600,15.125,15.0,2.5094714164733887
18-05-1993,15.0,15.0,50400,15.0,15.0,2.5094714164733887
19-05-1993,15.0,15.0,14300,15.0,15.0,2.5094714164733887
20-05-1993,15.0,15.0,23400,15.0,15.0,2.5094714164733887
