Date,Low,Open,Volume,High,Close,Adjusted Close
16-12-1991,15.0,15.0,40600,15.0,15.0,2.0570616722106934
17-12-1991,15.0,15.0,6700,15.0,15.0,2.0570616722106934
18-12-1991,15.0,15.0,8400,15.0,15.0,2.0570616722106934
19-12-1991,15.0,15.0,18800,15.25,15.25,2.0913467407226562
20-12-1991,15.125,15.375,13200,15.375,15.125,2.0742058753967285
23-12-1991,15.125,15.25,35900,15.25,15.125,2.0742058753967285
24-12-1991,15.125,15.25,10300,15.25,15.25,2.0913467407226562
26-12-1991,15.125,15.25,43400,15.375,15.125,2.0742058753967285
27-12-1991,15.25,15.25,14800,15.375,15.25,2.0913467407226562
30-12-1991,15.125,15.125,19600,15.25,15.25,2.0913467407226562
31-12-1991,15.25,15.25,12900,15.5,15.5,2.125631809234619
02-01-1992,15.375,15.5,24200,15.5,15.5,2.125631809234619
03-01-1992,15.375,15.375,50200,15.75,15.375,2.1084907054901123
06-01-1992,15.375,15.375,28300,15.625,15.625,2.142773151397705
07-01-1992,15.375,15.5,50000,15.75,15.375,2.1084907054901123
08-01-1992,15.375,15.375,52600,15.875,15.5,2.125631809234619
09-01-1992,15.375,15.5,14200,15.5,15.5,2.125631809234619
10-01-1992,15.25,15.5,33100,15.5,15.375,2.1084907054901123
13-01-1992,15.25,15.375,21800,15.5,15.5,2.125631809234619
14-01-1992,15.25,15.5,98400,15.5,15.375,2.1084907054901123
15-01-1992,15.125,15.375,31000,15.375,15.375,2.1084907054901123
16-01-1992,15.25,15.375,33100,15.5,15.25,2.0913467407226562
17-01-1992,15.25,15.5,30400,15.5,15.375,2.1084907054901123
20-01-1992,15.25,15.25,8100,15.625,15.5,2.125631809234619
21-01-1992,15.125,15.375,29900,15.375,15.125,2.0742058753967285
22-01-1992,15.25,15.375,62100,15.5,15.25,2.0913467407226562
23-01-1992,15.125,15.25,25600,15.5,15.5,2.125631809234619
24-01-1992,15.125,15.375,23400,15.375,15.375,2.1084907054901123
27-01-1992,15.125,15.375,17000,15.375,15.375,2.1084907054901123
28-01-1992,15.25,15.25,18200,15.5,15.25,2.0913467407226562
29-01-1992,15.0,15.375,21600,15.375,15.125,2.0742058753967285
30-01-1992,15.125,15.25,10400,15.375,15.375,2.1084907054901123
31-01-1992,15.125,15.125,32300,15.5,15.25,2.0913467407226562
03-02-1992,15.0,15.125,47600,15.375,15.25,2.0913467407226562
04-02-1992,15.125,15.25,33900,15.625,15.25,2.0913467407226562
05-02-1992,15.125,15.125,8300,15.5,15.25,2.0913467407226562
06-02-1992,15.125,15.125,33700,15.375,15.375,2.1084907054901123
07-02-1992,15.125,15.25,40600,15.5,15.375,2.1084907054901123
10-02-1992,15.25,15.375,48300,15.5,15.25,2.102562665939331
11-02-1992,15.125,15.25,39100,15.375,15.125,2.0853261947631836
12-02-1992,15.25,15.25,33000,15.5,15.25,2.102562665939331
13-02-1992,15.125,15.25,38500,15.375,15.25,2.102562665939331
14-02-1992,15.25,15.25,45200,15.375,15.25,2.102562665939331
18-02-1992,15.25,15.375,66500,15.375,15.375,2.1197943687438965
19-02-1992,15.25,15.25,27400,15.375,15.375,2.1197943687438965
20-02-1992,15.125,15.25,34200,15.375,15.125,2.0853261947631836
21-02-1992,15.125,15.125,40900,15.25,15.125,2.0853261947631836
24-02-1992,15.125,15.125,33700,15.375,15.125,2.0853261947631836
25-02-1992,15.125,15.125,22500,15.25,15.25,2.102562665939331
26-02-1992,14.75,15.125,30500,15.125,15.0,2.0680932998657227
27-02-1992,14.75,14.875,10300,15.0,15.0,2.0680932998657227
28-02-1992,14.5,15.0,7600,15.0,14.75,2.0336251258850098
02-03-1992,14.375,14.75,10200,14.75,14.625,2.0163912773132324
03-03-1992,14.625,14.75,29700,14.875,14.625,2.0163912773132324
04-03-1992,14.375,14.625,23500,14.875,14.875,2.0508601665496826
05-03-1992,14.625,14.75,16000,15.0,14.875,2.0508601665496826
06-03-1992,14.625,14.625,34500,15.0,14.875,2.0508601665496826
09-03-1992,14.625,14.875,15600,15.0,15.0,2.0680932998657227
10-03-1992,14.875,14.875,13700,15.0,14.875,2.0508601665496826
11-03-1992,14.75,14.875,16700,15.0,15.0,2.0680932998657227
12-03-1992,14.75,14.875,27400,15.0,14.875,2.0508601665496826
13-03-1992,14.75,14.75,9300,14.875,14.875,2.0630650520324707
16-03-1992,14.625,14.75,10400,14.875,14.75,2.045727014541626
17-03-1992,14.625,14.75,11800,14.875,14.625,2.0283918380737305
18-03-1992,14.625,14.625,15700,14.875,14.875,2.0630650520324707
19-03-1992,14.5,14.75,24700,14.875,14.625,2.0283918380737305
20-03-1992,14.5,14.625,19300,14.75,14.5,2.011051654815674
23-03-1992,14.5,14.5,16500,14.75,14.75,2.045727014541626
24-03-1992,14.625,14.875,18900,14.875,14.625,2.0283918380737305
25-03-1992,14.375,14.625,36900,14.625,14.5,2.011051654815674
26-03-1992,14.625,14.625,25300,14.875,14.875,2.0630650520324707
27-03-1992,14.625,14.75,9600,14.875,14.625,2.0283918380737305
30-03-1992,14.5,14.75,30300,14.75,14.75,2.045727014541626
31-03-1992,14.5,14.625,14400,14.875,14.875,2.0630650520324707
01-04-1992,14.625,14.75,28100,14.875,14.75,2.045727014541626
02-04-1992,14.875,14.875,51800,15.125,15.125,2.09773588180542
03-04-1992,14.75,15.0,38100,15.25,14.875,2.0630650520324707
06-04-1992,14.75,15.125,56900,15.125,14.75,2.045727014541626
07-04-1992,14.875,14.875,48500,15.0,15.0,2.080399990081787
08-04-1992,14.75,15.0,54700,15.0,14.875,2.0630650520324707
09-04-1992,14.875,14.875,36100,15.0,15.0,2.080399990081787
10-04-1992,14.875,15.0,22300,15.0,15.0,2.0926783084869385
13-04-1992,14.875,14.875,25900,15.125,15.0,2.0926783084869385
14-04-1992,15.0,15.125,35500,15.125,15.0,2.0926783084869385
15-04-1992,14.75,15.0,46200,15.125,14.75,2.0578010082244873
16-04-1992,14.875,15.0,24100,15.0,15.0,2.0926783084869385
20-04-1992,14.875,14.875,24900,15.0,14.875,2.0752389430999756
21-04-1992,14.75,15.0,25700,15.0,15.0,2.0926783084869385
22-04-1992,14.875,15.0,41300,15.125,15.125,2.1101157665252686
23-04-1992,15.0,15.125,51800,15.125,15.0,2.0926783084869385
24-04-1992,15.0,15.125,43900,15.25,15.125,2.1101157665252686
27-04-1992,15.0,15.0,14000,15.125,15.0,2.0926783084869385
28-04-1992,15.0,15.125,23800,15.125,15.0,2.0926783084869385
29-04-1992,15.0,15.0,26800,15.125,15.0,2.0926783084869385
30-04-1992,15.0,15.125,30100,15.125,15.125,2.1101157665252686
01-05-1992,15.125,15.125,41200,15.375,15.25,2.1275551319122314
04-05-1992,15.125,15.25,26000,15.375,15.125,2.1101157665252686
05-05-1992,15.125,15.25,29100,15.25,15.25,2.1275551319122314
06-05-1992,15.0,15.25,54400,15.25,15.125,2.1101157665252686
07-05-1992,15.0,15.125,23600,15.125,15.0,2.0926783084869385
08-05-1992,15.0,15.0,42500,15.375,15.125,2.1101157665252686
11-05-1992,15.0,15.0,11900,15.125,15.0,2.104783296585083
12-05-1992,15.0,15.0,21800,15.25,15.125,2.1223244667053223
13-05-1992,15.0,15.25,34300,15.25,15.25,2.1398651599884033
14-05-1992,15.125,15.125,22000,15.375,15.125,2.1223244667053223
15-05-1992,15.125,15.125,21400,15.375,15.125,2.1223244667053223
18-05-1992,15.0,15.125,54300,15.375,15.0,2.104783296585083
19-05-1992,15.0,15.125,29400,15.25,15.125,2.1223244667053223
20-05-1992,14.875,15.125,34800,15.25,14.875,2.0872457027435303
21-05-1992,14.75,14.875,39200,15.0,15.0,2.104783296585083
22-05-1992,14.875,15.0,14800,15.0,15.0,2.104783296585083
