Date,Low,Open,Volume,High,Close,Adjusted Close
16-03-1992,14.75,15.0,14500,15.0,14.75,2.572856903076172
17-03-1992,14.75,14.875,4400,14.875,14.75,2.572856903076172
18-03-1992,14.75,14.75,4700,15.125,15.0,2.616462469100952
19-03-1992,15.125,15.125,300,15.125,15.125,2.638267993927002
20-03-1992,15.0,15.125,4800,15.25,15.25,2.6600730419158936
23-03-1992,15.0,15.0,1400,15.125,15.0,2.616462469100952
24-03-1992,15.0,15.125,11300,15.25,15.125,2.638267993927002
25-03-1992,15.125,15.125,6700,15.375,15.25,2.6600730419158936
26-03-1992,15.25,15.25,0,15.25,15.25,2.6600730419158936
27-03-1992,15.125,15.25,8600,15.375,15.375,2.681875228881836
30-03-1992,15.125,15.25,1300,15.25,15.125,2.638267993927002
31-03-1992,15.125,15.25,12600,15.5,15.125,2.638267993927002
01-04-1992,15.0,15.25,6800,15.25,15.0,2.616462469100952
02-04-1992,15.0,15.125,2900,15.125,15.0,2.616462469100952
03-04-1992,15.125,15.125,1800,15.125,15.125,2.638267993927002
06-04-1992,15.0,15.125,11600,15.25,15.25,2.6600730419158936
07-04-1992,15.0,15.125,9300,15.125,15.0,2.616462469100952
08-04-1992,15.0,15.0,1100,15.0,15.0,2.616462469100952
09-04-1992,14.875,15.0,8900,15.0,15.0,2.616462469100952
10-04-1992,14.875,14.875,9200,15.0,15.0,2.616462469100952
13-04-1992,15.0,15.0,35000,15.25,15.0,2.616462469100952
14-04-1992,14.875,15.0,1800,15.0,15.0,2.616462469100952
15-04-1992,14.875,15.0,3300,15.0,15.0,2.616462469100952
16-04-1992,14.875,15.0,6300,15.0,15.0,2.616462469100952
20-04-1992,15.0,15.0,38600,15.125,15.0,2.616462469100952
21-04-1992,14.875,14.875,13400,15.0,15.0,2.616462469100952
22-04-1992,15.0,15.125,7500,15.375,15.125,2.638267993927002
23-04-1992,15.25,15.375,5000,15.375,15.25,2.6600730419158936
24-04-1992,15.0,15.0,1100,15.25,15.25,2.6600730419158936
27-04-1992,15.25,15.25,1200,15.25,15.25,2.6600730419158936
28-04-1992,14.875,15.0,9400,15.0,15.0,2.616462469100952
29-04-1992,15.0,15.0,1500,15.125,15.125,2.638267993927002
30-04-1992,15.0,15.0,3200,15.0,15.0,2.616462469100952
01-05-1992,14.875,14.875,7900,15.125,15.125,2.638267993927002
04-05-1992,14.875,15.125,9100,15.125,15.0,2.616462469100952
05-05-1992,15.0,15.0,2800,15.0,15.0,2.616462469100952
06-05-1992,15.0,15.0,4000,15.0,15.0,2.616462469100952
07-05-1992,14.875,14.875,2000,15.0,15.0,2.616462469100952
08-05-1992,14.875,14.875,6900,15.0,15.0,2.616462469100952
11-05-1992,14.75,14.75,14900,15.0,14.875,2.629189968109131
12-05-1992,14.875,15.0,7300,15.0,14.875,2.629189968109131
13-05-1992,14.875,14.875,1400,15.0,15.0,2.651282787322998
14-05-1992,14.875,14.875,7000,15.0,15.0,2.651282787322998
15-05-1992,14.875,15.0,14600,15.0,15.0,2.651282787322998
18-05-1992,15.0,15.0,12200,15.25,15.0,2.651282787322998
19-05-1992,14.875,15.0,6500,15.0,15.0,2.651282787322998
20-05-1992,14.875,15.0,8900,15.125,15.0,2.651282787322998
21-05-1992,14.875,15.0,4700,15.0,15.0,2.651282787322998
22-05-1992,14.875,15.125,1700,15.125,15.0,2.651282787322998
26-05-1992,14.875,14.875,4600,15.125,15.0,2.651282787322998
27-05-1992,14.875,14.875,12900,15.0,15.0,2.651282787322998
28-05-1992,14.875,15.0,2300,15.0,15.0,2.651282787322998
29-05-1992,14.875,15.0,3300,15.0,15.0,2.651282787322998
01-06-1992,15.0,15.0,42300,15.25,15.0,2.651282787322998
02-06-1992,15.0,15.0,3600,15.125,15.125,2.6733779907226562
03-06-1992,14.875,15.125,4000,15.125,15.0,2.651282787322998
04-06-1992,14.875,14.875,1500,15.0,15.0,2.651282787322998
05-06-1992,14.875,14.875,4800,15.0,15.0,2.651282787322998
08-06-1992,14.875,14.875,24700,15.0,15.0,2.651282787322998
09-06-1992,14.875,14.875,6400,15.0,15.0,2.651282787322998
10-06-1992,14.875,15.0,5000,15.0,14.875,2.629189968109131
11-06-1992,14.875,14.875,3700,15.0,15.0,2.651282787322998
12-06-1992,14.875,15.0,21400,15.125,14.875,2.6441731452941895
15-06-1992,14.875,15.0,5100,15.125,15.0,2.6663928031921387
16-06-1992,14.875,14.875,2900,15.0,15.0,2.6663928031921387
17-06-1992,14.875,14.875,6900,15.0,15.0,2.6663928031921387
18-06-1992,14.75,15.0,5100,15.0,15.0,2.6663928031921387
19-06-1992,14.875,14.875,3800,15.0,14.875,2.6441731452941895
22-06-1992,14.875,14.875,7700,15.0,15.0,2.6663928031921387
23-06-1992,15.0,15.125,5100,15.25,15.125,2.6886136531829834
24-06-1992,15.0,15.0,4800,15.125,15.125,2.6886136531829834
25-06-1992,15.0,15.25,36700,15.5,15.25,2.7108349800109863
26-06-1992,15.0,15.25,7000,15.375,15.25,2.7108349800109863
29-06-1992,15.25,15.25,10400,15.5,15.5,2.755272150039673
30-06-1992,15.125,15.375,18200,15.5,15.375,2.733053684234619
01-07-1992,15.5,15.5,12400,15.75,15.625,2.777491807937622
02-07-1992,15.5,15.625,6700,15.625,15.5,2.755272150039673
06-07-1992,15.375,15.5,8500,15.625,15.625,2.777491807937622
07-07-1992,15.5,15.625,19100,15.875,15.75,2.7997119426727295
08-07-1992,15.625,15.75,23500,15.75,15.625,2.777491807937622
09-07-1992,15.375,15.625,16800,15.75,15.625,2.777491807937622
10-07-1992,15.5,15.75,15200,15.75,15.75,2.7997119426727295
13-07-1992,15.375,15.5,23200,15.75,15.5,2.769693613052368
14-07-1992,15.5,15.625,17000,15.625,15.625,2.7920291423797607
15-07-1992,15.5,15.625,19000,15.75,15.625,2.7920291423797607
16-07-1992,15.625,15.625,24900,15.75,15.75,2.8143653869628906
17-07-1992,15.5,15.75,16700,15.75,15.5,2.769693613052368
20-07-1992,15.5,15.75,19900,15.75,15.5,2.769693613052368
21-07-1992,15.375,15.375,13400,15.5,15.5,2.769693613052368
22-07-1992,15.5,15.5,34400,15.75,15.5,2.769693613052368
23-07-1992,15.5,15.625,37300,15.875,15.625,2.7920291423797607
24-07-1992,15.625,15.75,10900,15.75,15.75,2.8143653869628906
27-07-1992,15.5,15.75,12400,15.75,15.625,2.7920291423797607
28-07-1992,15.5,15.5,11400,15.75,15.625,2.7920291423797607
29-07-1992,15.5,15.625,24700,15.875,15.75,2.8143653869628906
30-07-1992,15.5,15.75,13400,15.75,15.625,2.7920291423797607
31-07-1992,15.625,15.625,15300,15.75,15.625,2.7920291423797607
03-08-1992,15.625,15.625,17500,15.75,15.75,2.8143653869628906
04-08-1992,15.625,15.75,11800,15.75,15.75,2.8143653869628906
05-08-1992,15.625,15.875,16200,15.875,15.75,2.8143653869628906
06-08-1992,15.625,15.75,21600,16.0,15.875,2.836703062057495
07-08-1992,15.75,16.0,6700,16.0,15.875,2.836703062057495
10-08-1992,15.625,15.75,24700,16.0,15.75,2.8143653869628906
11-08-1992,15.5,15.5,17600,15.875,15.875,2.8519129753112793
12-08-1992,15.75,15.875,36700,16.25,16.0,2.874368667602539
13-08-1992,15.75,16.0,10100,16.0,15.875,2.8519129753112793
14-08-1992,15.75,15.75,3000,16.0,15.75,2.829453706741333
17-08-1992,15.625,15.75,8400,15.875,15.625,2.8069992065429688
18-08-1992,15.75,15.75,13200,15.875,15.875,2.8519129753112793
19-08-1992,15.75,15.875,21800,16.0,15.875,2.8519129753112793
20-08-1992,15.75,15.75,8600,15.875,15.875,2.8519129753112793
21-08-1992,15.75,15.75,4900,16.0,15.875,2.8519129753112793
24-08-1992,15.75,16.125,21500,16.25,15.75,2.829453706741333
25-08-1992,15.625,15.625,11000,15.875,15.875,2.8519129753112793
26-08-1992,15.75,15.875,12400,15.875,15.75,2.829453706741333
27-08-1992,15.375,15.875,16300,15.875,15.75,2.829453706741333
28-08-1992,15.625,15.75,5300,15.75,15.75,2.829453706741333
31-08-1992,15.625,15.75,5100,15.75,15.75,2.829453706741333
01-09-1992,15.5,15.5,22300,15.75,15.75,2.829453706741333
02-09-1992,15.125,15.625,17700,15.75,15.375,2.7620887756347656
03-09-1992,15.5,15.5,14400,15.75,15.5,2.7845444679260254
04-09-1992,15.625,15.625,3900,15.75,15.625,2.8069992065429688
08-09-1992,15.5,15.75,18800,15.75,15.75,2.829453706741333
09-09-1992,15.5,15.75,27100,15.75,15.5,2.7845444679260254
10-09-1992,15.75,15.75,16400,16.25,16.0,2.874368667602539
11-09-1992,15.75,16.125,13100,16.125,15.875,2.8519129753112793
14-09-1992,15.5,15.5,20000,15.875,15.75,2.844686985015869
15-09-1992,15.625,15.75,16300,15.875,15.625,2.8221099376678467
16-09-1992,15.625,15.625,3200,15.875,15.625,2.8221099376678467
17-09-1992,15.375,15.625,5800,15.625,15.5,2.7995338439941406
18-09-1992,15.375,15.5,7900,15.5,15.5,2.7995338439941406
21-09-1992,15.375,15.5,11600,15.5,15.375,2.776958465576172
22-09-1992,15.25,15.25,9000,15.5,15.375,2.776958465576172
23-09-1992,15.125,15.125,9700,15.25,15.125,2.7318027019500732
24-09-1992,15.125,15.25,13600,15.25,15.25,2.754382610321045
25-09-1992,15.25,15.25,10900,15.625,15.625,2.8221099376678467
28-09-1992,15.0,15.5,6300,15.5,15.125,2.7318027019500732
29-09-1992,15.25,15.25,12000,15.625,15.375,2.776958465576172
30-09-1992,15.25,15.375,13200,15.5,15.5,2.7995338439941406
01-10-1992,15.25,15.25,28700,15.75,15.625,2.8221099376678467
02-10-1992,15.375,15.5,21700,15.875,15.5,2.7995338439941406
05-10-1992,15.0,15.25,7500,15.25,15.0,2.7092251777648926
06-10-1992,15.125,15.125,19200,15.375,15.375,2.776958465576172
07-10-1992,15.125,15.25,1500,15.25,15.125,2.7318027019500732
08-10-1992,15.375,15.375,4700,15.375,15.375,2.776958465576172
09-10-1992,15.25,15.25,5100,15.375,15.375,2.7916653156280518
12-10-1992,15.125,15.375,8900,15.375,15.125,2.7462713718414307
13-10-1992,15.0,15.0,13900,15.375,15.375,2.7916653156280518
14-10-1992,15.0,15.5,13900,15.625,15.125,2.7462713718414307
15-10-1992,14.75,15.125,12100,15.125,14.875,2.7008774280548096
16-10-1992,14.625,15.0,6300,15.0,14.625,2.6554830074310303
19-10-1992,14.25,14.625,4000,14.625,14.5,2.6327877044677734
20-10-1992,14.375,14.5,15800,14.625,14.625,2.6554830074310303
21-10-1992,14.5,14.625,16200,14.875,14.5,2.6327877044677734
22-10-1992,14.5,14.625,10300,14.75,14.625,2.6554830074310303
23-10-1992,14.25,14.375,13700,14.75,14.625,2.6554830074310303
26-10-1992,14.375,14.75,8400,14.75,14.375,2.610095262527466
27-10-1992,14.375,14.375,20400,14.625,14.625,2.6554830074310303
28-10-1992,14.625,14.75,6400,14.875,14.875,2.7008774280548096
29-10-1992,14.75,15.0,9000,15.0,14.75,2.6781809329986572
30-10-1992,14.625,14.875,6500,14.875,14.75,2.6781809329986572
02-11-1992,14.625,14.75,7500,14.875,14.75,2.6781809329986572
03-11-1992,14.375,14.75,11900,14.75,14.375,2.610095262527466
04-11-1992,14.5,14.625,19400,14.75,14.75,2.6781809329986572
05-11-1992,14.25,14.75,15700,14.75,14.25,2.5873963832855225
06-11-1992,14.375,14.375,8300,14.625,14.625,2.6554830074310303
09-11-1992,14.625,14.625,25000,14.75,14.75,2.693837881088257
10-11-1992,14.625,14.75,5200,14.875,14.875,2.716667413711548
11-11-1992,14.75,14.875,4000,14.875,14.75,2.693837881088257
12-11-1992,14.75,14.75,13300,14.875,14.875,2.716667413711548
13-11-1992,14.75,14.75,8200,15.0,15.0,2.739495277404785
16-11-1992,14.875,14.875,5800,15.0,14.875,2.716667413711548
17-11-1992,14.75,14.75,15600,14.75,14.75,2.693837881088257
18-11-1992,14.875,14.875,16400,15.0,15.0,2.739495277404785
19-11-1992,15.0,15.125,21500,15.25,15.125,2.7623260021209717
20-11-1992,14.875,15.125,10300,15.125,14.875,2.716667413711548
23-11-1992,14.875,14.875,8300,14.875,14.875,2.716667413711548
24-11-1992,14.75,14.875,14700,14.875,14.875,2.716667413711548
25-11-1992,14.75,14.875,11600,14.875,14.875,2.716667413711548
27-11-1992,14.875,14.875,1700,14.875,14.875,2.716667413711548
30-11-1992,14.75,14.875,17700,14.875,14.75,2.693837881088257
01-12-1992,14.5,14.875,54500,14.875,14.625,2.671006679534912
02-12-1992,14.625,14.75,30100,14.75,14.75,2.693837881088257
03-12-1992,14.75,14.75,12200,14.75,14.75,2.693837881088257
04-12-1992,14.625,14.75,52700,14.75,14.75,2.693837881088257
07-12-1992,14.75,14.75,22900,14.75,14.75,2.693837881088257
08-12-1992,14.75,14.75,15100,14.875,14.875,2.716667413711548
09-12-1992,14.875,14.875,23000,15.0,15.0,2.739495277404785
10-12-1992,14.875,15.0,11900,15.0,14.875,2.716667413711548
11-12-1992,14.875,15.0,8700,15.0,15.0,2.739495277404785
14-12-1992,14.75,14.75,7100,15.0,15.0,2.7547385692596436
