Date,Low,Open,Volume,High,Close,Adjusted Close
07-10-1987,9.75,9.75,2640800,9.875,9.75,1.5963530540466309
08-10-1987,9.625,9.625,276300,9.75,9.75,1.5963530540466309
09-10-1987,9.75,9.75,93500,9.875,9.75,1.5963530540466309
12-10-1987,9.75,9.875,127300,9.875,9.75,1.5963530540466309
13-10-1987,9.75,9.875,98000,9.875,9.75,1.5963530540466309
14-10-1987,9.75,9.75,36000,9.875,9.75,1.5963530540466309
15-10-1987,9.75,9.75,85600,9.875,9.75,1.5963530540466309
16-10-1987,9.75,9.75,57100,9.875,9.875,1.6168146133422852
19-10-1987,9.75,9.75,64000,9.875,9.75,1.5963530540466309
20-10-1987,9.75,9.875,55500,9.875,9.875,1.6168146133422852
21-10-1987,9.75,9.75,47900,9.875,9.75,1.5963530540466309
22-10-1987,9.625,9.875,49000,9.875,9.75,1.5963530540466309
23-10-1987,9.625,9.625,15700,9.75,9.625,1.5758860111236572
26-10-1987,9.625,9.625,58600,9.75,9.75,1.5963530540466309
27-10-1987,9.625,9.75,35900,9.75,9.625,1.5758860111236572
28-10-1987,9.375,9.625,41200,9.625,9.375,1.5349531173706055
29-10-1987,9.375,9.375,30200,9.5,9.375,1.5349531173706055
30-10-1987,9.375,9.375,18100,9.75,9.5,1.5554195642471313
02-11-1987,9.5,9.5,29000,9.625,9.5,1.5554195642471313
03-11-1987,9.5,9.625,27200,9.75,9.5,1.5554195642471313
04-11-1987,9.5,9.75,35600,9.75,9.625,1.5758860111236572
05-11-1987,9.625,9.625,19700,9.875,9.875,1.6168146133422852
06-11-1987,9.625,9.75,19200,9.875,9.875,1.6168146133422852
09-11-1987,9.75,9.875,34900,10.125,10.0,1.6372824907302856
10-11-1987,10.0,10.0,40700,10.125,10.125,1.6577506065368652
11-11-1987,9.875,10.125,27000,10.125,10.125,1.6577506065368652
12-11-1987,9.875,10.0,12100,10.125,10.125,1.6577506065368652
13-11-1987,9.875,10.0,27600,10.0,10.0,1.6372824907302856
16-11-1987,10.0,10.125,27900,10.125,10.0,1.6372824907302856
17-11-1987,9.875,10.125,30300,10.125,10.125,1.6577506065368652
18-11-1987,10.0,10.125,25700,10.125,10.125,1.6577506065368652
19-11-1987,10.0,10.125,30300,10.125,10.0,1.6372824907302856
20-11-1987,10.0,10.0,36300,10.5,10.5,1.7191479206085205
23-11-1987,10.375,10.625,78100,10.625,10.375,1.698681354522705
24-11-1987,10.25,10.375,27200,10.5,10.375,1.698681354522705
25-11-1987,10.125,10.375,28600,10.375,10.25,1.6782163381576538
27-11-1987,10.125,10.25,16700,10.25,10.125,1.6577506065368652
30-11-1987,9.875,10.0,17200,10.125,10.0,1.6372824907302856
01-12-1987,10.0,10.125,11900,10.125,10.125,1.6577506065368652
02-12-1987,10.0,10.0,19500,10.375,10.375,1.698681354522705
03-12-1987,10.125,10.5,20800,10.5,10.125,1.6577506065368652
04-12-1987,10.0,10.125,29200,10.25,10.25,1.6782163381576538
07-12-1987,10.125,10.125,15900,10.25,10.25,1.6782163381576538
08-12-1987,10.0,10.125,20100,10.25,10.125,1.6577506065368652
09-12-1987,10.0,10.0,19900,10.25,10.125,1.6648198366165161
10-12-1987,10.0,10.0,26400,10.125,10.0,1.6442667245864868
11-12-1987,10.0,10.0,18200,10.125,10.125,1.6648198366165161
14-12-1987,10.0,10.125,14000,10.125,10.0,1.6442667245864868
15-12-1987,10.0,10.0,11500,10.125,10.0,1.6442667245864868
16-12-1987,10.0,10.125,26700,10.125,10.125,1.6648198366165161
17-12-1987,10.0,10.125,25400,10.25,10.25,1.6853728294372559
18-12-1987,10.125,10.25,16900,10.25,10.125,1.6648198366165161
21-12-1987,10.125,10.125,21300,10.25,10.125,1.6648198366165161
22-12-1987,10.125,10.25,62300,10.375,10.25,1.6853728294372559
23-12-1987,10.25,10.375,16500,10.375,10.25,1.6853728294372559
24-12-1987,10.125,10.125,11500,10.375,10.375,1.7059290409088135
28-12-1987,10.25,10.25,3200,10.375,10.375,1.7059290409088135
29-12-1987,10.375,10.375,33800,10.5,10.5,1.726480484008789
30-12-1987,10.25,10.25,44100,10.375,10.375,1.7059290409088135
31-12-1987,10.25,10.25,29900,10.5,10.5,1.726480484008789
04-01-1988,10.25,10.25,28500,10.375,10.375,1.7059290409088135
05-01-1988,10.25,10.375,29100,10.375,10.25,1.6853728294372559
06-01-1988,10.25,10.25,13100,10.375,10.25,1.6853728294372559
07-01-1988,10.0,10.25,23600,10.25,10.0,1.6442667245864868
08-01-1988,10.0,10.125,19600,10.125,10.0,1.6442667245864868
11-01-1988,10.0,10.0,29500,10.125,10.125,1.6731860637664795
12-01-1988,10.0,10.125,18700,10.125,10.0,1.6525288820266724
13-01-1988,10.0,10.125,12700,10.125,10.0,1.6525288820266724
14-01-1988,9.75,9.75,18500,10.0,9.875,1.6318726539611816
15-01-1988,10.0,10.0,17600,10.125,10.0,1.6525288820266724
18-01-1988,10.0,10.125,26100,10.125,10.0,1.6525288820266724
19-01-1988,10.0,10.125,47500,10.125,10.0,1.6525288820266724
20-01-1988,10.0,10.25,17500,10.25,10.0,1.6525288820266724
21-01-1988,10.0,10.0,31300,10.125,10.0,1.6525288820266724
22-01-1988,10.0,10.0,28700,10.125,10.0,1.6525288820266724
25-01-1988,10.0,10.125,22300,10.125,10.125,1.6731860637664795
26-01-1988,10.0,10.25,32100,10.25,10.125,1.6731860637664795
27-01-1988,10.0,10.125,21200,10.25,10.125,1.6731860637664795
28-01-1988,10.125,10.125,18200,10.25,10.125,1.6731860637664795
29-01-1988,10.125,10.25,17700,10.25,10.25,1.693841814994812
01-02-1988,10.25,10.25,92100,10.5,10.375,1.7145003080368042
02-02-1988,10.25,10.25,23200,10.5,10.5,1.735156536102295
03-02-1988,10.25,10.5,43700,10.5,10.375,1.7145003080368042
04-02-1988,10.25,10.375,34200,10.5,10.25,1.693841814994812
05-02-1988,10.25,10.375,30900,10.375,10.375,1.7145003080368042
08-02-1988,10.125,10.25,31800,10.25,10.25,1.7023752927780151
09-02-1988,10.125,10.25,16300,10.25,10.25,1.7023752927780151
10-02-1988,10.125,10.25,38400,10.25,10.125,1.6816149950027466
11-02-1988,10.125,10.125,35400,10.25,10.25,1.7023752927780151
12-02-1988,10.125,10.125,20800,10.25,10.125,1.6816149950027466
16-02-1988,10.0,10.125,31200,10.25,10.0,1.6608529090881348
17-02-1988,10.0,10.25,36800,10.25,10.125,1.6816149950027466
18-02-1988,10.0,10.125,14000,10.125,10.0,1.6608529090881348
19-02-1988,10.0,10.125,30100,10.125,10.125,1.6816149950027466
22-02-1988,10.0,10.125,37900,10.25,10.0,1.6608529090881348
23-02-1988,9.875,10.125,13300,10.125,10.125,1.6816149950027466
24-02-1988,10.125,10.25,15200,10.25,10.125,1.6816149950027466
25-02-1988,10.125,10.125,24800,10.25,10.25,1.7023752927780151
26-02-1988,10.125,10.25,12000,10.25,10.25,1.7023752927780151
