Date,Low,Open,Volume,High,Close,Adjusted Close
07-10-1987,9.5,9.5,2220100,9.75,9.5,1.5837442874908447
08-10-1987,9.0,9.375,142100,9.5,9.0,1.507849931716919
09-10-1987,9.125,9.125,85700,9.25,9.25,1.5497362613677979
12-10-1987,9.125,9.125,61100,9.5,9.375,1.5706793069839478
13-10-1987,9.25,9.5,48400,9.5,9.375,1.5706793069839478
14-10-1987,9.25,9.375,65600,9.375,9.25,1.5497362613677979
15-10-1987,9.125,9.25,93000,9.375,9.125,1.528793215751648
16-10-1987,9.125,9.125,31900,9.375,9.25,1.5497362613677979
19-10-1987,8.375,9.25,57400,9.25,8.625,1.4450258016586304
20-10-1987,8.625,8.625,37200,9.25,8.75,1.4659671783447266
21-10-1987,8.5,8.625,57600,8.875,8.625,1.4450258016586304
22-10-1987,8.375,8.75,83000,8.75,8.5,1.4240806102752686
23-10-1987,8.75,8.875,42200,9.0,8.875,1.486907720565796
26-10-1987,8.625,8.75,23100,9.0,8.75,1.4659671783447266
27-10-1987,8.625,8.75,22000,9.0,8.75,1.4659671783447266
28-10-1987,8.625,8.75,30600,8.875,8.625,1.4450258016586304
29-10-1987,8.625,8.625,20900,8.875,8.625,1.4450258016586304
30-10-1987,8.5,9.125,62900,9.125,8.5,1.4240806102752686
02-11-1987,8.5,8.5,40800,9.125,8.75,1.4659671783447266
03-11-1987,8.625,9.0,31200,9.0,8.875,1.486907720565796
04-11-1987,8.875,9.0,36300,9.125,9.0,1.507849931716919
05-11-1987,8.875,9.125,50300,9.125,9.125,1.528793215751648
06-11-1987,9.0,9.0,35800,9.25,9.0,1.5163267850875854
09-11-1987,9.0,9.125,14600,9.25,9.125,1.5373845100402832
10-11-1987,9.125,9.125,27800,9.5,9.375,1.5795068740844727
11-11-1987,9.25,9.25,15200,9.375,9.375,1.5795068740844727
12-11-1987,9.25,9.375,15200,9.375,9.25,1.558445930480957
13-11-1987,9.125,9.375,19500,9.375,9.125,1.5373845100402832
16-11-1987,9.125,9.25,11500,9.375,9.25,1.558445930480957
17-11-1987,9.25,9.375,35800,9.5,9.25,1.558445930480957
18-11-1987,9.375,9.375,23500,9.5,9.5,1.6005654335021973
19-11-1987,9.375,9.5,17600,9.5,9.5,1.6005654335021973
20-11-1987,9.375,9.5,14400,9.5,9.5,1.6005654335021973
23-11-1987,9.5,9.625,34100,9.75,9.75,1.6426875591278076
24-11-1987,9.625,9.75,23800,9.75,9.75,1.6426875591278076
25-11-1987,9.75,9.875,19100,9.875,9.875,1.663747787475586
27-11-1987,9.5,9.875,15500,9.875,9.5,1.6005654335021973
30-11-1987,9.375,9.625,14000,9.625,9.375,1.5795068740844727
01-12-1987,9.375,9.625,13600,9.625,9.5,1.6005654335021973
02-12-1987,9.375,9.5,25300,9.625,9.625,1.6216257810592651
03-12-1987,9.375,9.5,24300,9.625,9.625,1.6216257810592651
04-12-1987,9.375,9.5,22600,9.5,9.5,1.6005654335021973
07-12-1987,9.5,9.5,11000,9.5,9.5,1.6005654335021973
08-12-1987,9.5,9.5,22200,9.625,9.625,1.6216257810592651
09-12-1987,9.5,9.5,18400,9.625,9.625,1.630435585975647
10-12-1987,9.625,9.625,13800,9.875,9.75,1.6516087055206299
11-12-1987,9.75,9.75,11500,9.875,9.75,1.6516087055206299
14-12-1987,9.875,9.875,7900,9.875,9.875,1.672784686088562
15-12-1987,9.75,9.75,6900,9.875,9.75,1.6516087055206299
16-12-1987,9.75,9.75,23700,9.875,9.75,1.6516087055206299
17-12-1987,9.75,9.875,8100,9.875,9.75,1.6516087055206299
18-12-1987,9.75,9.75,8500,9.875,9.75,1.6516087055206299
21-12-1987,9.625,9.625,15800,9.75,9.625,1.630435585975647
22-12-1987,9.625,9.75,13100,9.75,9.75,1.6516087055206299
23-12-1987,9.625,9.75,13600,9.75,9.625,1.630435585975647
24-12-1987,9.75,9.75,6700,9.875,9.875,1.672784686088562
28-12-1987,9.625,9.875,17400,9.875,9.875,1.672784686088562
29-12-1987,9.75,9.875,14300,9.875,9.75,1.6516087055206299
30-12-1987,9.75,9.75,16300,9.875,9.75,1.6516087055206299
31-12-1987,9.875,9.875,10200,9.875,9.875,1.672784686088562
04-01-1988,9.75,9.875,20900,10.0,10.0,1.6939576864242554
05-01-1988,9.875,10.0,25100,10.0,10.0,1.6939576864242554
06-01-1988,10.0,10.0,14600,10.0,10.0,1.6939576864242554
07-01-1988,9.875,9.875,40800,10.0,10.0,1.6939576864242554
08-01-1988,9.875,9.875,6800,10.0,9.875,1.672784686088562
11-01-1988,9.875,9.875,6600,10.0,10.0,1.703618049621582
12-01-1988,9.875,10.0,8200,10.0,9.875,1.6823252439498901
13-01-1988,9.75,10.0,16800,10.0,9.875,1.6823252439498901
14-01-1988,9.75,9.875,17900,10.0,10.0,1.703618049621582
15-01-1988,9.875,10.0,15500,10.0,10.0,1.703618049621582
18-01-1988,9.75,9.875,25200,9.875,9.875,1.6823252439498901
19-01-1988,9.875,9.875,11000,9.875,9.875,1.6823252439498901
20-01-1988,9.875,9.875,10700,9.875,9.875,1.6823252439498901
21-01-1988,9.75,9.875,26500,10.0,10.0,1.703618049621582
22-01-1988,9.875,9.875,12900,10.0,10.0,1.703618049621582
25-01-1988,9.875,9.875,9900,10.0,10.0,1.703618049621582
26-01-1988,9.875,10.0,23400,10.0,10.0,1.703618049621582
27-01-1988,9.875,10.0,14500,10.0,9.875,1.6823252439498901
28-01-1988,9.875,10.0,13100,10.0,10.0,1.703618049621582
29-01-1988,9.875,9.875,14900,10.0,9.875,1.6823252439498901
01-02-1988,9.875,10.0,17400,10.0,10.0,1.703618049621582
02-02-1988,9.875,9.875,22000,10.0,9.875,1.6823252439498901
03-02-1988,10.0,10.0,14300,10.0,10.0,1.703618049621582
04-02-1988,10.0,10.0,17600,10.0,10.0,1.703618049621582
05-02-1988,9.875,10.0,16800,10.125,10.0,1.703618049621582
08-02-1988,10.0,10.0,8500,10.125,10.125,1.734627604484558
09-02-1988,10.0,10.0,20200,10.125,10.125,1.734627604484558
10-02-1988,10.0,10.0,19900,10.125,10.125,1.734627604484558
11-02-1988,10.0,10.125,20800,10.125,10.125,1.734627604484558
12-02-1988,10.0,10.0,14400,10.125,10.125,1.734627604484558
16-02-1988,10.0,10.0,14000,10.125,10.125,1.734627604484558
17-02-1988,10.0,10.125,12200,10.125,10.125,1.734627604484558
18-02-1988,10.0,10.0,6100,10.0,10.0,1.7132148742675781
19-02-1988,10.0,10.0,19500,10.125,10.125,1.734627604484558
22-02-1988,10.0,10.0,18000,10.125,10.125,1.734627604484558
23-02-1988,10.0,10.0,10100,10.125,10.125,1.734627604484558
24-02-1988,10.0,10.125,13400,10.125,10.125,1.734627604484558
25-02-1988,10.0,10.125,25700,10.125,10.125,1.734627604484558
26-02-1988,10.0,10.0,21300,10.125,10.125,1.734627604484558
29-02-1988,10.0,10.125,19700,10.125,10.0,1.7132148742675781
01-03-1988,10.0,10.125,24800,10.125,10.125,1.734627604484558
02-03-1988,10.0,10.125,16800,10.125,10.125,1.734627604484558
03-03-1988,10.0,10.0,15300,10.125,10.125,1.734627604484558
04-03-1988,10.0,10.0,6300,10.0,10.0,1.7132148742675781
07-03-1988,10.0,10.125,12300,10.125,10.0,1.7132148742675781
08-03-1988,10.0,10.125,7300,10.125,10.125,1.734627604484558
09-03-1988,9.875,10.0,12900,10.0,10.0,1.7229127883911133
10-03-1988,9.875,10.0,13400,10.0,9.875,1.7013754844665527
11-03-1988,9.875,10.0,7600,10.0,10.0,1.7229127883911133
14-03-1988,9.875,9.875,19600,10.0,9.875,1.7013754844665527
15-03-1988,9.875,10.0,17900,10.0,10.0,1.7229127883911133
16-03-1988,9.875,10.0,16500,10.0,9.875,1.7013754844665527
17-03-1988,9.875,10.0,8300,10.0,9.875,1.7013754844665527
18-03-1988,9.875,10.0,39700,10.0,10.0,1.7229127883911133
21-03-1988,10.0,10.0,19500,10.0,10.0,1.7229127883911133
22-03-1988,9.875,10.0,12700,10.0,10.0,1.7229127883911133
23-03-1988,10.0,10.0,22600,10.0,10.0,1.7229127883911133
24-03-1988,9.875,9.875,12300,10.0,10.0,1.7229127883911133
25-03-1988,9.875,9.875,11700,10.0,9.875,1.7013754844665527
28-03-1988,9.875,9.875,16400,10.0,10.0,1.7229127883911133
29-03-1988,9.75,10.0,15100,10.0,9.75,1.679839849472046
30-03-1988,9.75,9.75,6000,9.875,9.875,1.7013754844665527
