Date,Low,Open,Volume,High,Close,Adjusted Close
27-10-1999,10.0,10.0,1006600,10.0625,10.0,1.8523728847503662
28-10-1999,10.0,10.0,42600,10.0625,10.0,1.8523728847503662
29-10-1999,10.0,10.0,91700,10.0625,10.0625,1.8639495372772217
01-11-1999,10.0,10.0,70900,10.0625,10.0,1.8523728847503662
02-11-1999,10.0,10.0,88600,10.0625,10.0625,1.8639495372772217
03-11-1999,10.0,10.0625,61200,10.0625,10.0625,1.8639495372772217
04-11-1999,10.0,10.0,35900,10.0625,10.0,1.8523728847503662
05-11-1999,10.0,10.0,78700,10.0625,10.0625,1.8639495372772217
08-11-1999,10.0,10.0,96200,10.0625,10.0625,1.8639495372772217
09-11-1999,10.0,10.0625,86700,10.0625,10.0625,1.8639495372772217
10-11-1999,10.0,10.0,194600,10.0625,10.0625,1.8639495372772217
11-11-1999,10.0,10.0,70200,10.0625,10.0625,1.8639495372772217
12-11-1999,10.0,10.0,52300,10.0625,10.0625,1.8639495372772217
15-11-1999,10.0,10.0625,65300,10.0625,10.0,1.8523728847503662
16-11-1999,10.0,10.0,46200,10.0625,10.0625,1.8639495372772217
17-11-1999,10.0,10.0,83000,10.0625,10.0625,1.8639495372772217
18-11-1999,10.0,10.0625,74400,10.0625,10.0,1.8523728847503662
19-11-1999,10.0,10.0,55100,10.0625,10.0625,1.8639495372772217
22-11-1999,10.0,10.0625,71000,10.0625,10.0625,1.8639495372772217
23-11-1999,10.0,10.0625,100100,10.0625,10.0625,1.8639495372772217
24-11-1999,10.0,10.0625,94900,10.0625,10.0,1.8523728847503662
26-11-1999,10.0,10.0,38700,10.0625,10.0,1.8523728847503662
29-11-1999,10.0,10.0,134000,10.0625,10.0625,1.8639495372772217
30-11-1999,10.0,10.0,59600,10.0625,10.0625,1.8639495372772217
01-12-1999,9.875,10.0,51900,10.0625,9.9375,1.8407965898513794
02-12-1999,9.875,9.875,148400,9.9375,9.9375,1.8407965898513794
03-12-1999,9.9375,10.0,77300,10.0,10.0,1.8523728847503662
06-12-1999,9.9375,10.0,76000,10.0625,9.9375,1.8407965898513794
07-12-1999,9.875,10.0,93300,10.0625,9.9375,1.8407965898513794
08-12-1999,9.9375,10.0,91700,10.0,10.0,1.8523728847503662
09-12-1999,9.9375,10.0,77100,10.0,10.0,1.8523728847503662
10-12-1999,9.9375,10.0,56700,10.0,10.0,1.8523728847503662
13-12-1999,9.9375,10.0,80700,10.0625,10.0,1.8665586709976196
14-12-1999,9.9375,9.9375,111000,10.0,10.0,1.8665586709976196
15-12-1999,9.875,9.9375,167300,10.0,9.875,1.8432270288467407
16-12-1999,9.875,9.875,111900,9.9375,9.9375,1.8548938035964966
17-12-1999,9.875,9.875,86300,9.9375,9.9375,1.8548938035964966
20-12-1999,9.875,9.9375,70200,9.9375,9.9375,1.8548938035964966
21-12-1999,9.875,9.875,80700,9.9375,9.875,1.8432270288467407
22-12-1999,9.875,9.875,136900,9.9375,9.875,1.8432270288467407
23-12-1999,9.875,9.9375,63100,9.9375,9.9375,1.8548938035964966
27-12-1999,9.875,9.9375,78400,9.9375,9.875,1.8432270288467407
28-12-1999,8.875,9.875,218900,9.9375,9.0625,1.6915686130523682
29-12-1999,9.0625,9.125,26700,9.375,9.375,1.7499001026153564
30-12-1999,8.8125,9.125,179600,9.25,8.9375,1.6682378053665161
31-12-1999,8.8125,8.875,47700,9.5,9.5,1.7732316255569458
03-01-2000,9.3125,9.375,36500,9.5625,9.5,1.7732316255569458
04-01-2000,9.1875,9.625,72000,9.625,9.1875,1.7149012088775635
05-01-2000,9.0625,9.375,54900,9.4375,9.4375,1.761565923690796
06-01-2000,9.3125,9.375,54100,9.4375,9.3125,1.7382330894470215
07-01-2000,9.3125,9.3125,55100,9.625,9.625,1.7965627908706665
10-01-2000,9.4375,9.625,98000,9.875,9.625,1.7965627908706665
11-01-2000,9.5,9.5,30200,9.625,9.5,1.7732316255569458
12-01-2000,9.4375,9.5,71000,9.75,9.625,1.8110512495040894
13-01-2000,9.4375,9.5625,61700,9.6875,9.4375,1.7757725715637207
14-01-2000,9.4375,9.5,57700,9.625,9.625,1.8110512495040894
18-01-2000,9.4375,9.5625,88400,9.75,9.5625,1.7992925643920898
19-01-2000,9.5625,9.5625,84400,9.75,9.625,1.8110512495040894
20-01-2000,9.625,9.6875,54300,9.8125,9.8125,1.8463315963745117
21-01-2000,9.6875,9.875,81400,9.875,9.75,1.8345715999603271
24-01-2000,9.5625,9.6875,79300,9.75,9.625,1.8110512495040894
25-01-2000,9.375,9.5,64900,9.5625,9.5625,1.7992925643920898
26-01-2000,9.1875,9.5625,160500,9.5625,9.3125,1.7522517442703247
27-01-2000,9.25,9.375,68300,9.4375,9.375,1.7640131711959839
28-01-2000,9.3125,9.3125,51500,9.4375,9.4375,1.7757725715637207
31-01-2000,9.3125,9.375,115300,9.5625,9.5625,1.7992925643920898
01-02-2000,9.3125,9.5625,119600,9.625,9.3125,1.7522517442703247
02-02-2000,9.375,9.4375,92900,9.5,9.4375,1.7757725715637207
03-02-2000,9.4375,9.5,72900,9.5625,9.5,1.7875324487686157
04-02-2000,9.4375,9.4375,50300,9.6875,9.6875,1.8228119611740112
07-02-2000,9.5625,9.5625,55200,9.6875,9.625,1.8110512495040894
08-02-2000,9.5625,9.625,46800,9.6875,9.6875,1.8228119611740112
09-02-2000,9.5625,9.6875,70600,9.6875,9.625,1.8110512495040894
10-02-2000,9.5,9.6875,96700,9.6875,9.5,1.7875324487686157
11-02-2000,9.375,9.375,70500,9.5,9.4375,1.7906638383865356
14-02-2000,9.375,9.4375,76500,9.5,9.4375,1.7906638383865356
15-02-2000,9.25,9.5,84200,9.5,9.375,1.7788050174713135
16-02-2000,9.25,9.25,65500,9.375,9.3125,1.7669453620910645
17-02-2000,9.25,9.3125,102800,9.375,9.3125,1.7669453620910645
18-02-2000,9.25,9.3125,77000,9.375,9.25,1.7550859451293945
22-02-2000,9.1875,9.3125,61800,9.375,9.3125,1.7669453620910645
23-02-2000,9.1875,9.3125,77700,9.3125,9.1875,1.7432271242141724
24-02-2000,9.1875,9.25,112100,9.375,9.25,1.7550859451293945
25-02-2000,9.1875,9.1875,54500,9.3125,9.1875,1.7432271242141724
28-02-2000,8.875,9.1875,76100,9.25,8.875,1.6839340925216675
29-02-2000,8.9375,9.0,74500,9.0625,8.9375,1.6957926750183105
01-03-2000,9.0,9.25,138200,9.25,9.0625,1.719509243965149
02-03-2000,9.125,9.125,98400,9.1875,9.125,1.7313687801361084
03-03-2000,9.125,9.1875,144100,9.3125,9.125,1.7313687801361084
06-03-2000,8.875,9.0625,117100,9.1875,8.875,1.6839340925216675
07-03-2000,8.875,8.9375,97900,9.0625,9.0625,1.719509243965149
08-03-2000,8.9375,9.0625,121500,9.0625,8.9375,1.6957926750183105
09-03-2000,8.9375,9.0,112600,9.0,8.9375,1.6957926750183105
10-03-2000,8.9375,8.9375,123700,9.0625,8.9375,1.6957926750183105
13-03-2000,8.8125,8.9375,82100,8.9375,8.875,1.699527621269226
14-03-2000,8.875,8.875,57000,9.0,8.9375,1.7114956378936768
15-03-2000,8.8125,9.0,135200,9.0,8.8125,1.687558650970459
16-03-2000,8.75,8.875,82100,8.9375,8.8125,1.687558650970459
17-03-2000,8.75,8.8125,99600,8.9375,8.8125,1.687558650970459
20-03-2000,8.75,8.8125,105000,9.0,8.9375,1.7114956378936768
21-03-2000,8.875,8.875,111300,9.0,9.0,1.723463535308838
22-03-2000,8.8125,9.0,126500,9.0,8.875,1.699527621269226
23-03-2000,8.8125,8.875,120400,8.875,8.8125,1.687558650970459
24-03-2000,8.8125,8.875,113400,8.9375,8.9375,1.7114956378936768
27-03-2000,8.875,8.9375,92500,9.0,8.9375,1.7114956378936768
28-03-2000,8.875,8.875,66300,8.9375,8.9375,1.7114956378936768
29-03-2000,8.8125,8.875,111200,9.0,8.8125,1.687558650970459
30-03-2000,8.8125,8.8125,138200,8.9375,8.8125,1.687558650970459
31-03-2000,8.75,8.875,141100,8.875,8.8125,1.687558650970459
03-04-2000,8.75,8.875,126400,8.875,8.8125,1.687558650970459
04-04-2000,8.75,8.875,129700,8.875,8.75,1.6755903959274292
05-04-2000,8.6875,8.75,140100,8.9375,8.6875,1.6636219024658203
06-04-2000,8.6875,8.6875,94500,8.75,8.6875,1.6636219024658203
07-04-2000,8.6875,8.75,110300,8.8125,8.75,1.6755903959274292
10-04-2000,8.75,8.75,178800,8.8125,8.75,1.6755903959274292
11-04-2000,8.75,8.8125,112000,8.8125,8.75,1.6755903959274292
12-04-2000,8.625,8.625,135200,8.6875,8.625,1.6676629781723022
13-04-2000,8.625,8.625,100400,8.6875,8.6875,1.6797473430633545
14-04-2000,8.4375,8.6875,185900,8.6875,8.5,1.6434937715530396
17-04-2000,8.4375,8.5,151500,8.625,8.5,1.6434937715530396
18-04-2000,8.4375,8.5,92900,8.5625,8.5625,1.6555778980255127
19-04-2000,8.5,8.5625,88400,8.6875,8.6875,1.6797473430633545
20-04-2000,8.625,8.6875,89600,8.75,8.6875,1.6797473430633545
24-04-2000,8.625,8.625,45200,8.75,8.75,1.691832184791565
25-04-2000,8.6875,8.6875,181000,8.875,8.75,1.691832184791565
26-04-2000,8.75,8.8125,113100,8.875,8.8125,1.703916311264038
27-04-2000,8.8125,8.875,60900,8.9375,8.9375,1.7280863523483276
28-04-2000,8.875,8.9375,116400,9.0,9.0,1.7401695251464844
01-05-2000,8.875,9.0,131900,9.0,9.0,1.7401695251464844
02-05-2000,9.125,9.375,136800,9.375,9.25,1.788506031036377
03-05-2000,9.125,9.25,98000,9.25,9.125,1.7643383741378784
04-05-2000,9.0625,9.125,86400,9.1875,9.125,1.7643383741378784
05-05-2000,9.0,9.0625,66200,9.125,9.0625,1.7522547245025635
08-05-2000,9.0625,9.0625,73400,9.1875,9.0625,1.7522547245025635
09-05-2000,9.0625,9.0625,135400,9.1875,9.125,1.7643383741378784
10-05-2000,9.125,9.125,103600,9.3125,9.25,1.788506031036377
11-05-2000,9.125,9.1875,64500,9.1875,9.1875,1.7927032709121704
12-05-2000,9.125,9.125,46700,9.1875,9.1875,1.7927032709121704
15-05-2000,9.0625,9.1875,60600,9.1875,9.1875,1.7927032709121704
16-05-2000,9.0,9.1875,116300,9.1875,9.0,1.756117582321167
17-05-2000,9.0,9.0625,76800,9.1875,9.1875,1.7927032709121704
18-05-2000,9.125,9.1875,92600,9.3125,9.1875,1.7927032709121704
19-05-2000,9.125,9.125,52100,9.1875,9.125,1.7805083990097046
22-05-2000,9.125,9.125,68200,9.25,9.25,1.8048962354660034
23-05-2000,9.1875,9.25,76100,9.25,9.25,1.8048962354660034
24-05-2000,9.125,9.1875,102300,9.25,9.125,1.7805083990097046
25-05-2000,9.125,9.125,59000,9.25,9.1875,1.7927032709121704
26-05-2000,9.125,9.25,47100,9.25,9.25,1.8048962354660034
30-05-2000,9.125,9.25,97900,9.375,9.375,1.8292886018753052
31-05-2000,9.375,9.4375,107400,9.5625,9.5,1.8536783456802368
01-06-2000,9.5625,9.5625,111100,9.75,9.625,1.8780696392059326
02-06-2000,9.375,9.75,154100,9.75,9.5,1.8536783456802368
05-06-2000,9.375,9.5,101700,9.5,9.4375,1.8414849042892456
06-06-2000,9.3125,9.5,159000,9.5,9.3125,1.817091464996338
07-06-2000,9.25,9.3125,108500,9.375,9.3125,1.817091464996338
08-06-2000,9.25,9.375,81000,9.4375,9.3125,1.817091464996338
09-06-2000,9.25,9.25,87500,9.625,9.625,1.8780696392059326
12-06-2000,9.5,9.625,99800,9.6875,9.5625,1.8658736944198608
13-06-2000,9.375,9.4375,110500,9.625,9.4375,1.8585888147354126
14-06-2000,9.5,9.5,54200,9.625,9.5,1.870896816253662
15-06-2000,9.5,9.5625,81600,9.5625,9.5,1.870896816253662
16-06-2000,9.5,9.5625,52200,9.5625,9.5625,1.8832048177719116
19-06-2000,9.5,9.5,92900,9.5625,9.5625,1.8832048177719116
20-06-2000,9.4375,9.5625,121900,9.5625,9.5,1.870896816253662
21-06-2000,9.375,9.5625,103400,9.5625,9.375,1.8462799787521362
22-06-2000,9.375,9.4375,88500,9.5,9.375,1.8462799787521362
23-06-2000,9.0625,9.3125,134900,9.3125,9.3125,1.8339686393737793
26-06-2000,9.25,9.3125,47500,9.4375,9.375,1.8462799787521362
27-06-2000,9.3125,9.4375,72200,9.4375,9.4375,1.8585888147354126
28-06-2000,9.375,9.5,66700,9.5,9.4375,1.8585888147354126
29-06-2000,9.375,9.4375,49300,9.5,9.5,1.870896816253662
30-06-2000,9.5,9.5,63500,9.5625,9.5,1.870896816253662
03-07-2000,9.5625,9.625,61900,9.75,9.6875,1.9078218936920166
05-07-2000,9.5625,9.75,62600,9.75,9.5625,1.8832048177719116
06-07-2000,9.5,9.5625,59600,9.625,9.5625,1.8832048177719116
07-07-2000,9.5625,9.5625,118500,9.75,9.6875,1.9078218936920166
10-07-2000,9.5625,9.75,119100,9.75,9.6875,1.9078218936920166
11-07-2000,9.5,9.625,126300,9.6875,9.5,1.870896816253662
12-07-2000,9.4375,9.5,104200,9.6875,9.6875,1.925659418106079
13-07-2000,9.5625,9.6875,126200,9.75,9.5625,1.9008113145828247
