Date,Low,Open,Volume,High,Close,Adjusted Close
21-11-1997,22.75,23.5,3821400,23.5,23.0,8.544042587280273
24-11-1997,22.25,23.0,541600,23.0,22.75,8.451177597045898
25-11-1997,22.6875,22.875,425000,23.0,23.0,8.544042587280273
26-11-1997,22.75,23.0,165200,23.0,22.75,8.451177597045898
28-11-1997,22.75,22.75,60500,23.0,23.0,8.544042587280273
01-12-1997,23.0,23.0625,120300,23.125,23.0625,8.567262649536133
02-12-1997,22.875,23.125,164200,23.125,23.0,8.544042587280273
03-12-1997,22.9375,23.0625,540000,23.0625,23.0,8.544042587280273
04-12-1997,23.0,23.0,43800,23.0625,23.0,8.544042587280273
05-12-1997,22.875,22.875,147500,23.375,23.0625,8.567262649536133
08-12-1997,23.0,23.0,74900,23.25,23.1875,8.613697052001953
09-12-1997,23.0,23.125,61000,23.1875,23.1875,8.613697052001953
10-12-1997,23.0625,23.125,104500,23.25,23.0625,8.567262649536133
11-12-1997,23.0,23.0,153600,23.125,23.0625,8.567262649536133
12-12-1997,23.0625,23.0625,59900,23.1875,23.1875,8.613697052001953
15-12-1997,23.0625,23.125,24400,23.1875,23.1875,8.613697052001953
16-12-1997,23.1875,23.1875,107900,23.75,23.625,8.827231407165527
17-12-1997,23.6875,23.75,63900,24.25,24.1875,9.037405967712402
18-12-1997,24.125,24.125,35700,24.25,24.25,9.06075668334961
19-12-1997,23.75,24.25,134400,24.25,23.875,8.92064380645752
22-12-1997,23.875,23.9375,34400,24.125,24.0,8.9673490524292
23-12-1997,24.0,24.0,88500,24.1875,24.0,8.9673490524292
24-12-1997,23.8125,23.9375,63300,24.0,24.0,8.9673490524292
26-12-1997,23.5625,23.875,34600,23.875,23.6875,8.850584983825684
29-12-1997,23.75,23.875,159600,24.0625,23.8125,8.897292137145996
30-12-1997,23.6875,24.0,52400,24.3125,24.3125,9.084111213684082
31-12-1997,24.375,24.375,215700,25.125,25.125,9.387694358825684
02-01-1998,24.625,25.0,52000,25.0,24.875,9.294281005859375
05-01-1998,24.625,24.75,42300,24.9375,24.625,9.200876235961914
06-01-1998,24.625,24.75,26900,24.75,24.6875,9.224228858947754
07-01-1998,24.4375,24.6875,49500,24.75,24.625,9.200876235961914
08-01-1998,24.375,24.5,95700,24.75,24.5625,9.177521705627441
09-01-1998,24.125,24.5,37800,24.5,24.375,9.107461929321289
12-01-1998,23.75,24.125,24500,24.4375,24.4375,9.130817413330078
13-01-1998,24.4375,24.5,190300,24.625,24.5625,9.177521705627441
14-01-1998,24.25,24.5,201800,24.75,24.75,9.247577667236328
15-01-1998,24.5,24.75,39200,24.75,24.5,9.154169082641602
16-01-1998,24.375,24.5625,13600,24.5625,24.5,9.154169082641602
20-01-1998,24.5625,24.625,63200,24.75,24.625,9.200876235961914
21-01-1998,24.5625,24.6875,90400,24.875,24.75,9.247577667236328
22-01-1998,24.625,24.875,99600,24.875,24.6875,9.224228858947754
23-01-1998,24.4375,24.75,11200,24.75,24.4375,9.130817413330078
26-01-1998,24.125,24.3125,50500,24.375,24.125,9.014053344726562
27-01-1998,24.0,24.25,17300,24.5,24.25,9.06075668334961
28-01-1998,23.875,24.125,68700,24.125,24.0,8.9673490524292
29-01-1998,23.75,23.75,67700,24.125,24.0,8.9673490524292
30-01-1998,24.0,24.0,33000,24.5,24.5,9.154169082641602
02-02-1998,24.4375,24.5,31000,24.75,24.75,9.247577667236328
03-02-1998,24.5,24.625,18300,24.75,24.5,9.154169082641602
04-02-1998,24.375,24.5625,29200,24.5625,24.375,9.107461929321289
05-02-1998,24.375,24.375,10900,24.625,24.5,9.154169082641602
06-02-1998,24.125,24.5,129200,24.5,24.5,9.154169082641602
09-02-1998,23.9375,24.1875,101100,24.3125,24.3125,9.084111213684082
10-02-1998,24.3125,24.375,35000,24.625,24.625,9.200876235961914
11-02-1998,24.4375,24.625,40400,24.625,24.625,9.200876235961914
12-02-1998,24.3125,24.5,34500,24.625,24.5,9.154169082641602
13-02-1998,24.375,24.5625,73100,24.625,24.5,9.154169082641602
17-02-1998,24.5,24.625,110500,24.8125,24.8125,9.2709321975708
18-02-1998,23.875,24.6875,85500,24.6875,24.125,9.014053344726562
19-02-1998,24.0,24.25,7900,24.25,24.0,8.9673490524292
20-02-1998,24.0,24.0,82700,24.375,24.1875,9.037405967712402
23-02-1998,24.0,24.125,26300,24.25,24.0625,8.990702629089355
24-02-1998,23.875,24.0625,8700,24.1875,23.875,8.92064380645752
25-02-1998,23.75,23.875,45600,23.9375,23.75,8.873940467834473
26-02-1998,23.625,23.75,21300,23.875,23.625,8.827231407165527
27-02-1998,23.5,23.625,42700,23.8125,23.5,8.78053092956543
02-03-1998,23.4375,23.75,102800,23.75,23.4375,8.75717830657959
03-03-1998,23.4375,23.4375,24500,23.6875,23.5625,8.803884506225586
04-03-1998,23.375,23.625,108100,23.625,23.375,8.7338228225708
05-03-1998,23.375,23.375,43100,23.5,23.4375,8.75717830657959
06-03-1998,23.4375,23.4375,17400,23.8125,23.5,8.78053092956543
09-03-1998,23.5,23.5,105300,24.1875,24.0,8.9673490524292
10-03-1998,24.0,24.125,89800,24.25,24.0,8.9673490524292
11-03-1998,24.0,24.0,8200,24.1875,24.1875,9.037405967712402
12-03-1998,24.0,24.1875,103000,24.1875,24.0,8.9673490524292
13-03-1998,23.8125,23.8125,438900,24.0,23.875,8.92064380645752
16-03-1998,23.25,23.625,16000,23.625,23.5625,8.9318265914917
17-03-1998,23.375,23.4375,15300,23.5625,23.5,8.908134460449219
18-03-1998,23.5,23.5,39800,23.625,23.5,8.908134460449219
19-03-1998,23.5,23.5,100200,23.875,23.875,9.050285339355469
20-03-1998,23.8125,23.8125,137800,24.375,24.25,9.192434310913086
23-03-1998,24.25,24.25,13400,24.5,24.375,9.239819526672363
24-03-1998,24.25,24.5,10800,24.5,24.25,9.192434310913086
25-03-1998,24.25,24.375,18700,24.5,24.3125,9.2161283493042
26-03-1998,24.5,24.625,22800,24.9375,24.75,9.381969451904297
27-03-1998,24.625,24.75,45500,24.9375,24.9375,9.453042984008789
30-03-1998,24.5625,24.9375,20000,24.9375,24.625,9.33459186553955
31-03-1998,24.125,24.5,113200,24.5,24.125,9.145054817199707
01-04-1998,23.8125,24.0625,32600,24.25,24.125,9.145054817199707
02-04-1998,24.0,24.25,58100,24.5625,24.0,9.097665786743164
03-04-1998,23.25,23.9375,64100,23.9375,23.5,8.908134460449219
06-04-1998,23.1875,23.5,114700,23.5625,23.25,8.813366889953613
07-04-1998,23.0,23.125,139600,23.1875,23.0,8.71860122680664
08-04-1998,23.125,23.1875,24700,23.4375,23.4375,8.884445190429688
09-04-1998,23.375,23.5,125900,23.5,23.5,8.908134460449219
13-04-1998,23.125,23.5,61300,23.5,23.1875,8.789673805236816
14-04-1998,22.875,23.0625,93300,23.1875,23.1875,8.789673805236816
15-04-1998,23.125,23.125,8100,23.625,23.5,8.908134460449219
16-04-1998,23.0,23.375,21100,23.375,23.125,8.765984535217285
17-04-1998,22.75,23.0625,103200,23.1875,23.0625,8.742289543151855
20-04-1998,22.8125,23.25,20600,23.25,22.875,8.671215057373047
21-04-1998,22.5625,22.75,32700,22.75,22.6875,8.600141525268555
22-04-1998,22.5625,22.5625,67900,23.5,23.375,8.860748291015625
23-04-1998,23.1875,23.375,16500,23.5,23.375,8.860748291015625
24-04-1998,23.375,23.375,24700,23.75,23.5,8.908134460449219
27-04-1998,23.0625,23.375,6800,23.5,23.0625,8.742289543151855
28-04-1998,23.0,23.375,16400,23.375,23.0,8.71860122680664
29-04-1998,23.125,23.1875,12500,23.1875,23.125,8.765984535217285
30-04-1998,23.0,23.25,15900,23.375,23.0,8.71860122680664
01-05-1998,23.0,23.0,72100,24.0625,24.0625,9.121357917785645
04-05-1998,24.125,24.125,102900,25.0,24.75,9.381969451904297
05-05-1998,24.375,24.875,73300,24.875,24.75,9.381969451904297
06-05-1998,24.375,24.75,65800,24.75,24.5,9.28720474243164
07-05-1998,24.5,24.5,69100,24.875,24.875,9.429353713989258
08-05-1998,24.4375,24.875,55600,24.875,24.5,9.28720474243164
11-05-1998,23.5,24.5,53400,24.5,23.5,8.908134460449219
12-05-1998,23.25,23.625,57700,23.625,23.4375,8.884445190429688
13-05-1998,23.5,23.5625,3300,23.625,23.5,8.908134460449219
14-05-1998,23.5,23.5,1600,23.625,23.5,8.908134460449219
15-05-1998,23.5,23.5,27300,23.625,23.625,8.95551586151123
18-05-1998,23.5625,23.6875,27000,23.6875,23.6875,8.979208946228027
19-05-1998,23.375,23.6875,9600,23.6875,23.375,8.860748291015625
20-05-1998,23.125,23.5,15300,23.5,23.3125,8.837060928344727
21-05-1998,23.125,23.4375,82800,23.5625,23.125,8.765984535217285
22-05-1998,23.125,23.125,2500,23.25,23.25,8.813366889953613
26-05-1998,23.25,23.25,96500,23.75,23.375,8.860748291015625
27-05-1998,23.125,23.125,49200,23.4375,23.4375,8.884445190429688
28-05-1998,23.1875,23.375,23200,23.4375,23.25,8.813366889953613
29-05-1998,23.25,23.25,48000,23.8125,23.8125,9.026591300964355
01-06-1998,23.5625,23.9375,77300,23.9375,23.625,8.95551586151123
02-06-1998,23.5,23.5,11400,23.5625,23.5625,8.9318265914917
03-06-1998,23.5,23.5625,521600,23.5625,23.5,8.908134460449219
04-06-1998,23.5,23.5,6000,23.625,23.5625,8.9318265914917
05-06-1998,23.6875,23.6875,52400,23.8125,23.6875,8.979208946228027
08-06-1998,23.5,23.8125,40800,23.8125,23.5,8.908134460449219
09-06-1998,23.125,23.375,13500,23.4375,23.1875,8.789673805236816
10-06-1998,23.0625,23.1875,25200,23.3125,23.25,8.813366889953613
11-06-1998,22.5,23.25,33100,23.25,22.875,8.671215057373047
12-06-1998,22.625,22.75,46100,22.75,22.625,8.576446533203125
15-06-1998,22.3125,22.625,33800,22.625,22.375,8.481678009033203
16-06-1998,22.375,22.375,13000,22.75,22.625,8.576446533203125
17-06-1998,22.5,22.5,59700,23.0625,23.0625,8.742289543151855
18-06-1998,22.6875,22.875,141400,24.25,24.25,9.192434310913086
19-06-1998,23.8125,24.0625,116200,24.0625,24.0,9.097665786743164
22-06-1998,23.25,23.875,66100,23.875,23.5,8.908134460449219
23-06-1998,23.375,23.375,36100,23.4375,23.4375,8.884445190429688
24-06-1998,23.25,23.375,97100,24.0,23.9375,9.07397747039795
25-06-1998,23.625,24.0,158000,24.125,24.0625,9.121357917785645
26-06-1998,23.625,23.8125,59300,24.125,24.0,9.228838920593262
29-06-1998,23.625,24.0,81900,25.0,25.0,9.613372802734375
30-06-1998,24.25,25.0,298200,25.0,24.5,9.421109199523926
01-07-1998,24.0625,24.5,14900,24.5,24.1875,9.300938606262207
02-07-1998,24.0625,24.125,14500,24.125,24.0625,9.252872467041016
06-07-1998,23.75,24.0625,19000,24.0625,24.0,9.228838920593262
07-07-1998,23.875,24.0,36100,24.5625,24.4375,9.397069931030273
08-07-1998,24.125,24.4375,10000,24.5,24.125,9.276909828186035
09-07-1998,23.6875,24.0,21100,24.0,23.9375,9.204806327819824
10-07-1998,23.8125,23.8125,13700,24.0,24.0,9.228838920593262
13-07-1998,23.875,24.0,207600,24.5,24.1875,9.300938606262207
14-07-1998,24.25,24.3125,5500,24.4375,24.25,9.324970245361328
15-07-1998,24.125,24.25,16100,24.375,24.375,9.373037338256836
16-07-1998,24.25,24.25,27200,24.5,24.5,9.421109199523926
17-07-1998,24.25,24.25,376900,24.875,24.875,9.565303802490234
20-07-1998,24.25,24.75,37100,24.75,24.3125,9.349005699157715
21-07-1998,24.25,24.25,31200,24.8125,24.5625,9.44513988494873
22-07-1998,24.3125,24.625,13700,24.625,24.4375,9.397069931030273
23-07-1998,24.25,24.5,18600,24.625,24.625,9.469173431396484
24-07-1998,24.5,24.625,22900,24.625,24.5,9.421109199523926
27-07-1998,23.75,24.375,35200,24.375,23.8125,9.15673542022705
28-07-1998,23.5625,23.75,23200,23.75,23.5625,9.060604095458984
29-07-1998,23.5,23.5,31400,23.6875,23.5,9.03657341003418
30-07-1998,23.5625,23.5625,41100,23.9375,23.875,9.18077278137207
31-07-1998,23.875,23.875,186500,24.375,23.875,9.18077278137207
03-08-1998,23.6875,24.0,104100,24.0625,23.6875,9.108668327331543
04-08-1998,23.5625,23.625,181000,24.0625,23.625,9.084636688232422
05-08-1998,23.3125,23.75,37300,23.75,23.375,8.988503456115723
06-08-1998,23.25,23.25,27000,23.625,23.625,9.084636688232422
07-08-1998,23.5,23.75,288500,23.875,23.5,9.03657341003418
10-08-1998,23.375,23.5,60100,23.6875,23.6875,9.108668327331543
11-08-1998,23.4375,23.5625,37800,23.75,23.625,9.084636688232422
12-08-1998,23.5625,23.75,32200,23.75,23.625,9.084636688232422
13-08-1998,22.75,23.5625,172200,23.625,23.625,9.084636688232422
14-08-1998,23.5625,23.75,24500,23.75,23.625,9.084636688232422
17-08-1998,23.6875,23.8125,50100,24.0,23.875,9.18077278137207
18-08-1998,23.875,23.875,27900,24.125,23.9375,9.204806327819824
19-08-1998,23.8125,23.9375,97300,24.1875,24.1875,9.300938606262207
20-08-1998,23.875,24.0625,104000,24.625,24.4375,9.397069931030273
21-08-1998,23.75,24.25,26700,24.25,24.0,9.228838920593262
24-08-1998,24.0,24.0,72500,24.5625,24.5625,9.44513988494873
25-08-1998,24.8125,24.8125,68700,25.375,25.125,9.661439895629883
26-08-1998,24.875,25.75,145600,25.875,25.25,9.70950698852539
27-08-1998,24.5,25.125,89300,25.1875,24.625,9.469173431396484
28-08-1998,24.375,24.625,43800,24.8125,24.5,9.421109199523926
31-08-1998,23.5,24.5,152300,24.5625,23.5,9.03657341003418
