Date,Low,Open,Volume,High,Close,Adjusted Close
24-05-1993,15.0,15.0,29400,15.125,15.0,2.647284746170044
25-05-1993,15.0,15.125,4000,15.125,15.0,2.647284746170044
26-05-1993,15.0,15.125,6600,15.125,15.0,2.647284746170044
27-05-1993,15.0,15.125,10100,15.125,15.0,2.647284746170044
28-05-1993,15.0,15.125,34700,15.125,15.0,2.647284746170044
01-06-1993,15.0,15.0,27300,15.125,15.125,2.6693458557128906
02-06-1993,15.0,15.0,14500,15.125,15.0,2.647284746170044
03-06-1993,15.0,15.0,11200,15.0,15.0,2.647284746170044
04-06-1993,15.0,15.0,13800,15.125,15.125,2.6693458557128906
07-06-1993,15.0,15.0,36600,15.125,15.0,2.647284746170044
08-06-1993,15.0,15.0,4300,15.0,15.0,2.647284746170044
09-06-1993,15.0,15.0,6100,15.0,15.0,2.647284746170044
10-06-1993,15.0,15.0,8200,15.0,15.0,2.647284746170044
11-06-1993,15.0,15.0,27300,15.125,15.0,2.647284746170044
14-06-1993,15.0,15.0,6100,15.125,15.0,2.647284746170044
15-06-1993,15.0,15.0,15700,15.125,15.0,2.647284746170044
16-06-1993,15.0,15.0,11000,15.125,15.125,2.6693458557128906
17-06-1993,15.0,15.0,9300,15.0,15.0,2.647284746170044
18-06-1993,15.0,15.0,11400,15.0,15.0,2.647284746170044
21-06-1993,15.0,15.0,11800,15.0,15.0,2.647284746170044
22-06-1993,15.0,15.0,19800,15.0,15.0,2.647284746170044
23-06-1993,15.0,15.0,72400,15.125,15.0,2.647284746170044
24-06-1993,15.0,15.0,90800,15.0,15.0,2.647284746170044
25-06-1993,15.0,15.0,33000,15.0,15.0,2.647284746170044
28-06-1993,15.0,15.0,8400,15.0,15.0,2.647284746170044
29-06-1993,15.0,15.0,5300,15.125,15.0,2.647284746170044
30-06-1993,15.0,15.0,3200,15.125,15.0,2.647284746170044
01-07-1993,15.0,15.125,16200,15.125,15.0,2.647284746170044
02-07-1993,15.0,15.0,25300,15.125,15.125,2.6693458557128906
06-07-1993,14.875,15.125,19300,15.25,15.0,2.647284746170044
07-07-1993,14.875,15.0,13700,15.125,15.125,2.6693458557128906
08-07-1993,14.875,15.0,2400,15.0,14.875,2.6252241134643555
09-07-1993,14.5,14.625,4900,14.75,14.5,2.559041976928711
12-07-1993,14.5,14.75,1500,14.75,14.5,2.559041976928711
