Date,Low,Open,Volume,High,Close,Adjusted Close
24-10-1980,14.5,0.0,97200,16.5,14.75,0.9296873211860657
27-10-1980,12.5,0.0,143100,14.75,12.75,0.8036295771598816
28-10-1980,11.5,0.0,243000,12.875,12.75,0.8036295771598816
29-10-1980,12.75,0.0,240700,13.375,13.25,0.8351442813873291
30-10-1980,12.75,0.0,253400,13.5,12.875,0.8115078806877136
31-10-1980,12.125,0.0,261500,12.875,12.25,0.7721141576766968
03-11-1980,12.625,0.0,183100,13.0,13.0,0.8193862438201904
05-11-1980,12.375,0.0,172300,13.25,12.75,0.8036295771598816
06-11-1980,12.5,0.0,128400,12.875,12.625,0.7957502007484436
07-11-1980,12.5,0.0,62200,12.875,12.75,0.8036295771598816
10-11-1980,12.75,0.0,193200,13.25,12.75,0.8036295771598816
11-11-1980,12.875,0.0,151000,13.75,13.5,0.8509019613265991
12-11-1980,13.625,0.0,177200,14.625,14.5,0.9139304161071777
13-11-1980,14.0,0.0,366300,15.25,15.125,0.9533240795135498
14-11-1980,15.125,0.0,402700,16.25,15.875,1.000597357749939
17-11-1980,15.25,0.0,136100,16.0,16.0,1.008475422859192
18-11-1980,15.75,0.0,128800,16.75,16.0,1.008475422859192
19-11-1980,15.125,0.0,633200,16.25,15.875,1.000597357749939
20-11-1980,15.875,0.0,269900,17.0,17.0,1.0715053081512451
21-11-1980,17.0,0.0,230700,17.875,17.75,1.1187782287597656
24-11-1980,17.0,0.0,132600,18.25,18.25,1.1502933502197266
25-11-1980,18.125,0.0,185200,19.625,19.375,1.2212002277374268
26-11-1980,18.5,0.0,213000,19.75,18.875,1.1896857023239136
28-11-1980,18.125,0.0,59600,19.0,18.875,1.1896857023239136
01-12-1980,17.25,0.0,91600,18.75,17.25,1.0872631072998047
02-12-1980,16.5,0.0,105500,17.5,17.25,1.0872631072998047
03-12-1980,16.875,0.0,37300,17.25,17.25,1.0872631072998047
04-12-1980,16.625,0.0,65400,17.375,16.625,1.0478692054748535
05-12-1980,14.875,0.0,149900,16.75,15.875,1.000597357749939
08-12-1980,14.0,0.0,99200,16.0,14.25,0.8981735706329346
09-12-1980,14.375,0.0,126500,15.125,15.0,0.945446252822876
10-12-1980,14.875,0.0,105000,16.625,15.75,0.9927185773849487
11-12-1980,15.125,0.0,51700,15.875,15.5,0.9769604206085205
12-12-1980,15.25,0.0,42900,15.875,15.375,0.9690828323364258
15-12-1980,14.75,0.0,41400,15.5,14.875,0.937566876411438
16-12-1980,14.375,0.0,50900,14.875,14.875,0.937566876411438
17-12-1980,14.875,0.0,79900,15.875,15.5,0.9769604206085205
18-12-1980,15.375,0.0,78600,16.125,15.5,0.9769604206085205
19-12-1980,15.125,0.0,30400,15.75,15.5,0.9769604206085205
22-12-1980,15.125,0.0,68500,16.25,16.25,1.0242329835891724
23-12-1980,15.375,0.0,34800,16.25,15.375,0.9690828323364258
24-12-1980,15.25,0.0,27600,15.625,15.375,0.9690828323364258
26-12-1980,15.25,0.0,12100,15.625,15.375,0.9690828323364258
29-12-1980,15.25,0.0,38900,16.125,15.25,0.9612036943435669
30-12-1980,15.75,0.0,54300,16.625,16.5,1.0399904251098633
31-12-1980,16.25,0.0,74900,17.0,16.75,1.0557479858398438
02-01-1981,16.125,0.0,19100,16.75,16.25,1.0242329835891724
05-01-1981,15.5,0.0,46600,16.375,16.125,1.0163544416427612
06-01-1981,15.125,0.0,97800,16.5,15.5,0.9769604206085205
07-01-1981,14.25,0.0,91900,15.0,14.75,0.9296873211860657
08-01-1981,14.375,0.0,60800,15.25,14.625,0.9218106865882874
09-01-1981,14.625,0.0,38500,15.0,14.625,0.9218106865882874
12-01-1981,14.375,0.0,52600,15.25,14.75,0.9296873211860657
13-01-1981,13.875,0.0,111100,14.5,14.25,0.8981735706329346
14-01-1981,14.0,0.0,78300,14.5,14.375,0.9060527682304382
15-01-1981,14.25,0.0,68600,14.75,14.625,0.9218106865882874
16-01-1981,14.0,0.0,76400,14.875,14.5,0.9139304161071777
19-01-1981,14.25,0.0,77500,15.0,14.5,0.9139304161071777
20-01-1981,14.125,0.0,87100,15.0,14.5,0.9139304161071777
21-01-1981,14.375,0.0,60200,14.75,14.625,0.9218106865882874
22-01-1981,14.125,0.0,30300,14.625,14.25,0.8981735706329346
23-01-1981,14.125,0.0,39100,14.625,14.25,0.8981735706329346
26-01-1981,13.875,0.0,41400,14.375,14.375,0.9060527682304382
27-01-1981,13.875,0.0,54000,14.5,14.0,0.8824162483215332
28-01-1981,14.0,0.0,87100,14.5,14.375,0.9060527682304382
29-01-1981,14.25,0.0,63600,14.75,14.375,0.9060527682304382
30-01-1981,14.25,0.0,34300,14.625,14.375,0.9060527682304382
02-02-1981,13.0,0.0,89600,14.375,13.25,0.8351442813873291
03-02-1981,12.875,0.0,75900,13.375,13.125,0.827265202999115
04-02-1981,13.0,0.0,59700,13.625,13.0,0.8193862438201904
05-02-1981,13.125,0.0,69300,13.625,13.625,0.8587794303894043
06-02-1981,13.75,0.0,44800,14.375,14.125,0.8902954459190369
09-02-1981,13.25,0.0,130700,14.375,13.25,0.8351442813873291
10-02-1981,13.0,0.0,52700,13.25,13.25,0.8351442813873291
11-02-1981,12.875,0.0,101400,13.375,12.875,0.8115078806877136
12-02-1981,12.875,0.0,33700,13.125,13.125,0.827265202999115
13-02-1981,13.0,0.0,49600,13.5,13.375,0.8430234789848328
17-02-1981,13.0,0.0,122000,13.5,13.25,0.8351442813873291
18-02-1981,13.25,0.0,114500,13.625,13.25,0.8351442813873291
19-02-1981,13.0,0.0,74700,13.5,13.125,0.827265202999115
20-02-1981,12.875,0.0,79700,13.25,13.0,0.8193862438201904
23-02-1981,12.875,0.0,132000,13.125,13.0,0.8193862438201904
24-02-1981,12.875,0.0,465300,13.25,13.125,0.827265202999115
25-02-1981,13.0,0.0,44000,13.25,13.0,0.8193862438201904
26-02-1981,13.125,0.0,79400,13.625,13.25,0.8351442813873291
