Date,Low,Open,Volume,High,Close,Adjusted Close
23-09-1993,15.0,15.0,704000,15.125,15.0,1.1662702560424805
24-09-1993,15.0,15.0,189700,15.0,15.0,1.1662702560424805
27-09-1993,15.0,15.0,58100,15.125,15.0,1.1662702560424805
28-09-1993,15.0,15.0,63800,15.125,15.125,1.1759896278381348
29-09-1993,15.0,15.0,68800,15.125,15.0,1.1662702560424805
30-09-1993,15.0,15.125,97500,15.125,15.0,1.1662702560424805
01-10-1993,15.0,15.0,76600,15.125,15.125,1.1759896278381348
04-10-1993,15.0,15.0,56300,15.125,15.0,1.1662702560424805
05-10-1993,15.0,15.0,56100,15.125,15.125,1.1759896278381348
06-10-1993,15.0,15.0,195300,15.125,15.0,1.1662702560424805
07-10-1993,15.0,15.125,84800,15.125,15.125,1.1759896278381348
08-10-1993,15.0,15.125,40100,15.125,15.0,1.1662702560424805
11-10-1993,15.0,15.0,45600,15.125,15.125,1.1759896278381348
12-10-1993,15.0,15.125,44700,15.125,15.125,1.1759896278381348
13-10-1993,15.0,15.0,159400,15.125,15.0,1.1662702560424805
14-10-1993,15.0,15.0,107800,15.125,15.0,1.1662702560424805
15-10-1993,15.0,15.125,110400,15.125,15.0,1.1662702560424805
18-10-1993,15.0,15.0,96800,15.125,15.125,1.1759896278381348
19-10-1993,15.0,15.0,112500,15.125,15.0,1.1662702560424805
20-10-1993,15.0,15.125,96300,15.125,15.0,1.1662702560424805
21-10-1993,14.625,15.0,97800,15.0,14.75,1.1468329429626465
22-10-1993,14.625,14.75,52500,14.75,14.625,1.1371134519577026
25-10-1993,14.5,14.75,47900,14.75,14.625,1.1371134519577026
26-10-1993,14.5,14.625,58100,14.75,14.75,1.1468329429626465
27-10-1993,14.625,14.75,67000,14.75,14.75,1.1468329429626465
28-10-1993,14.5,14.75,45500,14.75,14.75,1.1468329429626465
29-10-1993,14.625,14.625,34700,14.75,14.75,1.1468329429626465
01-11-1993,14.625,14.75,61200,14.875,14.75,1.1468329429626465
02-11-1993,14.625,14.75,62200,14.875,14.75,1.1468329429626465
03-11-1993,14.625,14.75,44000,14.875,14.875,1.1565512418746948
04-11-1993,14.75,14.875,33400,14.875,14.875,1.1565512418746948
05-11-1993,14.5,14.625,87700,14.75,14.625,1.1371134519577026
08-11-1993,14.5,14.75,51400,14.875,14.625,1.1371134519577026
09-11-1993,14.625,14.625,74100,14.875,14.75,1.1468329429626465
10-11-1993,14.625,14.875,86200,14.875,14.625,1.1371134519577026
11-11-1993,14.625,14.875,76200,14.875,14.75,1.1468329429626465
12-11-1993,14.5,14.75,66000,14.75,14.625,1.1371134519577026
15-11-1993,14.625,14.625,61700,14.75,14.625,1.1371134519577026
16-11-1993,14.625,14.625,73300,14.75,14.625,1.1371134519577026
17-11-1993,14.5,14.75,132800,14.75,14.5,1.1273949146270752
18-11-1993,14.5,14.625,129600,14.75,14.5,1.1273949146270752
19-11-1993,14.5,14.625,80600,14.625,14.625,1.1371134519577026
22-11-1993,14.5,14.625,97700,14.625,14.625,1.1371134519577026
23-11-1993,14.375,14.5,44800,14.625,14.625,1.1371134519577026
24-11-1993,14.5,14.625,116100,14.625,14.625,1.1371134519577026
26-11-1993,14.625,14.75,62700,14.75,14.75,1.1468329429626465
29-11-1993,14.5,14.625,98300,14.75,14.625,1.1371134519577026
30-11-1993,14.5,14.5,28300,14.75,14.75,1.1468329429626465
01-12-1993,14.5,14.75,135700,14.75,14.75,1.1468329429626465
02-12-1993,14.625,14.75,43800,14.75,14.75,1.1468329429626465
03-12-1993,14.625,14.75,160000,14.875,14.625,1.1371134519577026
06-12-1993,14.625,14.625,64200,14.75,14.625,1.1371134519577026
07-12-1993,14.625,14.625,69900,14.75,14.75,1.1468329429626465
08-12-1993,14.625,14.75,82700,14.75,14.75,1.1468329429626465
09-12-1993,14.625,14.75,99700,14.75,14.75,1.1468329429626465
10-12-1993,14.625,14.625,64700,14.75,14.625,1.1371134519577026
13-12-1993,14.625,14.75,102200,14.75,14.625,1.1371134519577026
14-12-1993,14.625,14.625,69000,14.75,14.75,1.1468329429626465
15-12-1993,14.625,14.75,97800,14.75,14.75,1.1468329429626465
16-12-1993,14.625,14.625,92900,14.75,14.75,1.1468329429626465
17-12-1993,14.5,14.75,85700,14.75,14.75,1.1468329429626465
20-12-1993,14.5,14.75,62700,14.75,14.75,1.1468329429626465
21-12-1993,14.5,14.75,88600,14.75,14.625,1.1371134519577026
22-12-1993,14.5,14.5,68300,14.625,14.625,1.1371134519577026
23-12-1993,14.25,14.625,97300,14.75,14.75,1.1468329429626465
27-12-1993,14.5,14.625,52400,14.625,14.625,1.1663717031478882
28-12-1993,14.5,14.5,88100,14.75,14.75,1.1763412952423096
29-12-1993,14.625,14.75,231400,14.875,14.75,1.1763412952423096
30-12-1993,14.75,14.75,173800,14.875,14.75,1.1763412952423096
